filename,image_id,course,unit,lesson,image_type,characters,style,generation_size,aspect_ratio,display_width,kp_link,quiz_link,text_in_image,alt_text,expandable,safety_check,clothing_check,political_check,notes
AEW2_U008_IMG01_cover_body_move_quest.png,IMG01,Adventure English World V2,8,Cover,cover,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,cover title only,Unit 8 IMG01 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG12_lesson4_my_your_contrast.png,IMG12,Adventure English World V2,8,Lesson 4,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1448x1086,4:3,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG12 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG13_lesson4_my_your_head_practice.png,IMG13,Adventure English World V2,8,Lesson 4,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG13 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG14_lesson5_move_with_team.png,IMG14,Adventure English World V2,8,Lesson 5,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG14 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG15_lesson5_clap_your_hands.png,IMG15,Adventure English World V2,8,Lesson 5,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG15 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG16_lesson5_wave_your_arms.png,IMG16,Adventure English World V2,8,Lesson 5,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG16 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG17_lesson5_feet_legs_step.png,IMG17,Adventure English World V2,8,Lesson 5,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG17 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG18_lesson6_listen_and_do.png,IMG18,Adventure English World V2,8,Lesson 6,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG18 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG19_lesson6_three_step_sequence.png,IMG19,Adventure English World V2,8,Lesson 6,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG19 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG20_lesson6_repair_try_again.png,IMG20,Adventure English World V2,8,Lesson 6,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG20 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG21_lesson7_build_the_chant.png,IMG21,Adventure English World V2,8,Lesson 7,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG21 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG22_watch_toto_starts_move_game.png,IMG22,Adventure English World V2,8,Watch,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG22 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG23_watch_team_movement_chant.png,IMG23,Adventure English World V2,8,Watch,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG23 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
AEW2_U008_IMG24_project_movement_chant_model.png,IMG24,Adventure English World V2,8,Project,learning visual,Leo; Mia; Emma; Toto as applicable,Adventure semi-realistic children coursebook,1672x941,16:9,70-100%,body parts; Touch your …; my/your as fixed chunks,mapped in question_bank.csv,none/minimal icons,Unit 8 IMG24 learning visual,yes,passed,passed,passed,Generated and locked for Unit 8.
