course,unit,title,band,image_id,filename,section,lesson,image_type,aspect_ratio,display_width,kp_link,lexical_link,text_in_image,prompt,negative_restrictions,full_prompt,audit_status,control_notes
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG11,AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,Lesson 5,Choose Clothes,lesson anchor,16:9,70-85%,Choose clothes for weather,"choose, clothes, rain, coat, boots, umbrella",No readable text,"Create a lesson anchor scene for choosing clothes for the weather. Mia looks at the weather window while Leo and Emma help choose what to wear. Show weather clearly and place a few clothing options nearby. The scene should support simple weather-to-clothes matching. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a lesson anchor scene for choosing clothes for the weather. Mia looks at the weather window while Leo and Emma help choose what to wear. Show weather clearly and place a few clothing options nearby. The scene should support simple weather-to-clothes matching. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG12,AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,Lesson 5,Choose Clothes,choice scene,16:9,70-85%,Choose clothes for weather,"sunny day, rainy day, windy day, cloudy day, clothes",No readable text,"Create a weather-and-clothes choice scene. Show one child choosing from a few clothing items while looking at a clear weather clue outside the window. The image should support simple choosing such as sunny day clothes, rainy day clothes, windy day clothes, or cloudy day clothes. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a weather-and-clothes choice scene. Show one child choosing from a few clothing items while looking at a clear weather clue outside the window. The image should support simple choosing such as sunny day clothes, rainy day clothes, windy day clothes, or cloudy day clothes. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG13,AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,Lesson 6,Help a Friend,role-play scene,16:9,70-85%,Help a friend choose clothes,"help, friend, choose, coat, boots, umbrella",No readable text,"Create a role-play scene for helping a friend choose clothes. Leo helps Mia choose clothes for the weather, while Emma watches and Toto sits nearby. The weather clue should be visible and the clothing choices should be clear. The mood should be supportive and cooperative. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a role-play scene for helping a friend choose clothes. Leo helps Mia choose clothes for the weather, while Emma watches and Toto sits nearby. The weather clue should be visible and the clothing choices should be clear. The mood should be supportive and cooperative. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG14,AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,Lesson 6,Help a Friend,dress-choice visual,4:3,60-75%,Choose clothes for a friend,"child, coat, boots, hat, shoes, umbrella",No readable text,"Create a simple dress-the-friend visual. Show one child standing ready and a few nearby clothing choices that could fit the weather, such as coat, boots, hat, shoes, or umbrella. Make the visual easy for learners to choose the best weather clothes. No text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a simple dress-the-friend visual. Show one child standing ready and a few nearby clothing choices that could fit the weather, such as coat, boots, hat, shoes, or umbrella. Make the visual easy for learners to choose the best weather clothes. No text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG15,AEW2_U011_IMG15_lesson6_weather_review_scene.png,Lesson 6,Mixed Review,review anchor,16:9,70-85%,Mixed weather/clothes review,"weather clues, clothes choices, compare, choose",No readable text,"Create a mixed review scene for weather and clothes. Show several simple weather clues and a few correct clothing choices in one classroom setting. Leo, Mia, and Emma can point, compare, or choose. Toto adds warmth to the scene. Keep it clear and picture-supported. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a mixed review scene for weather and clothes. Show several simple weather clues and a few correct clothing choices in one classroom setting. Leo, Mia, and Emma can point, compare, or choose. Toto adds warmth to the scene. Keep it clear and picture-supported. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG16,AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,Lesson 7,Project Rehearsal,rehearsal scene,16:9,70-85%,Weather choice card rehearsal,"weather clue, choose clothes, card, board",No readable text,"Create a project rehearsal scene. The children prepare for making a weather choice card. One child points to a weather clue, another chooses clothes, and another arranges a simple card or board. Keep the scene classroom-friendly and encouraging. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a project rehearsal scene. The children prepare for making a weather choice card. One child points to a weather clue, another chooses clothes, and another arranges a simple card or board. Keep the scene classroom-friendly and encouraging. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG17,AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,Lesson 7,Project Model,project model,16:9,70-90%,Project model: My Weather Choice Card,"weather picture, clothes pictures, card",No readable text,"Create a project model visual for My Weather Choice Card. Show a simple student-made weather choice card with picture-only content: one weather picture and a few matching clothes pictures. A child holds or presents the card proudly. Do not include readable text. Keep it simple and clear. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a project model visual for My Weather Choice Card. Show a simple student-made weather choice card with picture-only content: one weather picture and a few matching clothes pictures. A child holds or presents the card proudly. Do not include readable text. Keep it simple and clear. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG18,AEW2_U011_IMG18_repair_weather_visual.png,Repair,Weather Repair,repair visual,4:3,60-75%,Weather recognition repair,"sunny, rainy, windy, cloudy",No readable text,"Create a focused repair visual for weather recognition. Show clear, simple examples of sunny, rainy, windy, and cloudy weather in a clean visual arrangement. Use pictures only, not labels, and keep the style bright and clear for re-teaching. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a focused repair visual for weather recognition. Show clear, simple examples of sunny, rainy, windy, and cloudy weather in a clean visual arrangement. Use pictures only, not labels, and keep the style bright and clear for re-teaching. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG19,AEW2_U011_IMG19_repair_clothes_choice_visual.png,Repair,Clothes Repair,repair visual,4:3,60-75%,Clothes choice repair,"weather clues, coat, boots, hat, shoes, umbrella",No readable text,"Create a focused repair visual for choosing clothes. Show a few weather clues and a small set of clothing options, arranged simply so learners can review what to choose for each kind of weather. Keep everything clear and picture-supported. No text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a focused repair visual for choosing clothes. Show a few weather clues and a small set of clothing options, arranged simply so learners can review what to choose for each kind of weather. Keep everything clear and picture-supported. No text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG20,AEW2_U011_IMG20_project_sharing_scene.png,Final Project,Project Sharing,sharing scene,16:9,70-85%,Final project sharing,"weather choice cards, weather pictures, clothes pictures",No readable text,"Create a final project sharing scene. Leo, Mia, and Emma share their weather choice cards in a cheerful classroom. Each child’s card shows a weather picture and matching clothes pictures. Toto sits nearby happily. The scene should feel like a successful end-of-unit sharing moment. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a final project sharing scene. Leo, Mia, and Emma share their weather choice cards in a cheerful classroom. Each child’s card shows a weather picture and matching clothes pictures. Toto sits nearby happily. The scene should feel like a successful end-of-unit sharing moment. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
