item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U011-L3-Q11,Lesson 3,It's Windy / It's Cloudy,choose_best_reply,A friend points to many clouds. What do you say?,It's cloudy.,It's rainy. | Choose an apple. | This is my dad.,Pre-A1.2,SI simple response,It's cloudy.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,Lesson 3 model
AEW2-U011-L3-Q12,Lesson 3,It's Windy / It's Cloudy,choose_best_reply,A friend points to moving leaves. What do you say?,It's windy.,It's sunny. | I want milk. | Choose boots.,Pre-A1.2,SI simple response,It's windy.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-ITS-02,Lesson 3 model
AEW2-U011-L4-Q01,Lesson 4,Clothes Basics,mcq,Choose the coat.,coat,sunny | dog | apple,Pre-A1.2,VOC clothes words,coat,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q02,Lesson 4,Clothes Basics,mcq,Choose the hat.,hat,rainy | boots | milk,Pre-A1.2,VOC clothes words,hat,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q03,Lesson 4,Clothes Basics,mcq,Choose the boots.,boots,cloudy | juice | toy,Pre-A1.2,VOC clothes words,boots,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q04,Lesson 4,Clothes Basics,mcq,Choose the T-shirt.,T-shirt,sandwich | rainy | mom,Pre-A1.2,VOC clothes words,T-shirt,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q05,Lesson 4,Clothes Basics,mcq,Choose the shoes.,shoes,windy | cookie | dad,Pre-A1.2,VOC clothes words,shoes,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q06,Lesson 4,Clothes Basics,mcq,Choose the umbrella.,umbrella,sunny | bird | banana,Pre-A1.2,VOC clothes words,umbrella,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q07,Lesson 4,Clothes Basics,mcq,Choose the jacket.,jacket,cloudy | fish | water,Pre-A1.2,VOC clothes words,jacket,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q08,Lesson 4,Clothes Basics,mcq,Choose the sweater.,sweater,rainy | orange | ball,Pre-A1.2,VOC clothes words,sweater,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG09/IMG10
AEW2-U011-L4-Q09,Lesson 4,Clothes Basics,matching,Match the rainy-day object.,umbrella,T-shirt | hat | shoes,Pre-A1.2,VOC clothes words,umbrella,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG10
AEW2-U011-L4-Q10,Lesson 4,Clothes Basics,matching,Match the rainy-day shoes.,boots,hat | T-shirt | sweater,Pre-A1.2,VOC clothes words,boots,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,IMG10
AEW2-U011-L4-Q11,Lesson 4,Clothes Basics,vocabulary_in_context,Which pair is clothes only?,coat and hat,sunny and rainy | apple and juice | cat and dog,Pre-A1.2,VOC clothes words,coat and hat,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,Lesson 4 word set
AEW2-U011-L4-Q12,Lesson 4,Clothes Basics,vocabulary_in_context,Which pair can help on a rainy day?,boots and umbrella,T-shirt and sun | banana and milk | ball and kite,Pre-A1.2,VOC clothes words,boots and umbrella,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U011-Repair-CLOTHES-01,Lesson 4 word set
AEW2-U011-L5-Q01,Lesson 5,Choose Clothes,mcq,It's sunny. Choose one.,hat,boots | umbrella | coat,Pre-A1.2,MED choose clothes,hat,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q02,Lesson 5,Choose Clothes,mcq,It's sunny. Choose one.,T-shirt,boots | coat | umbrella,Pre-A1.2,MED choose clothes,T-shirt,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q03,Lesson 5,Choose Clothes,mcq,It's rainy. Choose one.,boots,hat | T-shirt | shoes,Pre-A1.2,MED choose clothes,boots,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q04,Lesson 5,Choose Clothes,mcq,It's rainy. Choose one.,umbrella,T-shirt | hat | shorts,Pre-A1.2,MED choose clothes,umbrella,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q05,Lesson 5,Choose Clothes,mcq,It's windy. Choose one.,jacket,juice | apple | toy,Pre-A1.2,MED choose clothes,jacket,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q06,Lesson 5,Choose Clothes,mcq,It's cloudy. Choose one.,sweater,cookie | dog | rainy,Pre-A1.2,MED choose clothes,sweater,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,IMG11/IMG12
AEW2-U011-L5-Q07,Lesson 5,Choose Clothes,sentence_build,Build a choice for sunny weather.,Choose a hat.,It's boots. | I want rain. | This is cloudy.,Pre-A1.2,CHK Choose ...,Choose a hat.,Vocabulary/Grammar,medium,chunk/form confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5 model
AEW2-U011-L5-Q08,Lesson 5,Choose Clothes,sentence_build,Build a choice for rainy weather.,Choose boots.,It's hat. | This is rain. | I like cloudy.,Pre-A1.2,CHK Choose ...,Choose boots.,Vocabulary/Grammar,medium,chunk/form confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5 model
AEW2-U011-L5-Q09,Lesson 5,Choose Clothes,choose_best_reply,Friend: It's rainy. What do you say?,Choose an umbrella.,It's sunny. | I want milk. | This is my friend.,Pre-A1.2,SI choice,Choose an umbrella.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5/6 bridge
AEW2-U011-L5-Q10,Lesson 5,Choose Clothes,choose_best_reply,Friend: It's sunny. What do you say?,Choose a T-shirt.,Choose boots. | It's rainy. | I'm Emma.,Pre-A1.2,SI choice,Choose a T-shirt.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5/6 bridge
AEW2-U011-L5-Q11,Lesson 5,Choose Clothes,error_correction,Fix the choice: It's sunny. Choose boots.,Choose a hat.,Choose a coat. | Choose an umbrella. | It's rainy.,Pre-A1.2,MED choose clothes,Choose a hat.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5 repair
AEW2-U011-L5-Q12,Lesson 5,Choose Clothes,error_correction,Fix the choice: It's rainy. Choose a T-shirt.,Choose boots.,Choose a hat. | It's sunny. | Choose shoes.,Pre-A1.2,MED choose clothes,Choose boots.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-CHOICE-01,Lesson 5 repair
AEW2-U011-L6-Q01,Lesson 6,Help a Friend,choose_best_reply,Mia: It's rainy. Help Mia.,Choose a coat.,Choose a T-shirt. | Choose a toy. | I want juice.,Pre-A1.2,SI help a friend,Choose a coat.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG13/IMG14/IMG15
AEW2-U011-L6-Q02,Lesson 6,Help a Friend,choose_best_reply,Leo: It's rainy. Help Leo.,Choose boots.,Choose a hat. | It's sunny. | This is my sister.,Pre-A1.2,SI help a friend,Choose boots.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG13/IMG14/IMG15
AEW2-U011-L6-Q03,Lesson 6,Help a Friend,choose_best_reply,Emma: It's sunny. Help Emma.,Choose a hat.,Choose boots. | Choose an umbrella. | It's rainy.,Pre-A1.2,SI help a friend,Choose a hat.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG13/IMG14/IMG15
AEW2-U011-L6-Q04,Lesson 6,Help a Friend,choose_best_reply,Mia: It's windy. Help Mia.,Choose a jacket.,Choose juice. | Choose a cookie. | It's sunny.,Pre-A1.2,SI help a friend,Choose a jacket.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG13/IMG14/IMG15
AEW2-U011-L6-Q05,Lesson 6,Help a Friend,matching,Match cloudy day.,sweater,water | ball | fish,Pre-A1.2,MED choose clothes,cloudy + sweater,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG15
AEW2-U011-L6-Q06,Lesson 6,Help a Friend,matching,Match rainy day.,umbrella,T-shirt | hat | shoes,Pre-A1.2,MED choose clothes,rainy + umbrella,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,IMG15
AEW2-U011-L6-Q07,Lesson 6,Help a Friend,sequence,Choose the good order.,Look at weather. Choose clothes.,Choose clothes. Say hello. | Eat snack. Choose toy. | Count first. Say family.,Pre-A1.2,SI help a friend,weather then choice,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,Lesson 6 routine
AEW2-U011-L6-Q08,Lesson 6,Help a Friend,gap_fill,____ a coat.,Choose,It's | Rainy | Sunny,Pre-A1.2,CHK Choose ...,Choose,Vocabulary/Grammar,medium,chunk/form confusion,AEW2-U011-Repair-HELP-01,Lesson 6 model
AEW2-U011-L6-Q09,Lesson 6,Help a Friend,gap_fill,Choose an ____.,umbrella,rainy | sunny | cloudy,Pre-A1.2,CHK Choose ...,umbrella,Vocabulary/Grammar,medium,chunk/form confusion,AEW2-U011-Repair-HELP-01,Lesson 6 model
AEW2-U011-L6-Q10,Lesson 6,Help a Friend,true_false,It's rainy. Choose boots.,true,false,Pre-A1.2,MED choice,rainy + boots,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,Lesson 6 check
AEW2-U011-L6-Q11,Lesson 6,Help a Friend,true_false,It's sunny. Choose an umbrella is the only good choice.,false,true,Pre-A1.2,MED choice,sunny + umbrella,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,Lesson 6 check
AEW2-U011-L6-Q12,Lesson 6,Help a Friend,choose_best_reply,Friend: Choose a hat. Best reply?,Thank you.,It's rainy. | I want milk. | This is my dog.,Pre-A1.2,SI help a friend,Thank you.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-HELP-01,Lesson 6 role-play
AEW2-U011-L7-Q01,Lesson 7,Project Rehearsal,mcq,A Weather Choice Card needs one ____.,weather picture,toy picture | family name | toy box,Pre-A1.2,PRJ card elements,weather picture,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-01,IMG16/IMG17
AEW2-U011-L7-Q02,Lesson 7,Project Rehearsal,mcq,A Weather Choice Card needs matching ____.,clothes pictures,animal sounds | number signs | food words,Pre-A1.2,PRJ card elements,clothes pictures,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-01,IMG16/IMG17
AEW2-U011-L7-Q03,Lesson 7,Project Rehearsal,mcq,Choose the weather sentence.,It's rainy.,Choose boots. | This is my mom. | I want juice.,Pre-A1.2,PRJ weather sentence,It's rainy.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Lesson 7 model
AEW2-U011-L7-Q04,Lesson 7,Project Rehearsal,mcq,Choose the clothes choice.,Choose boots.,It's cloudy. | Hello Mia. | I like cats.,Pre-A1.2,PRJ choice chunk,Choose boots.,Vocabulary/Grammar,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Lesson 7 model
AEW2-U011-L7-Q05,Lesson 7,Project Rehearsal,matching,Rainy card: choose ____.,boots,T-shirt | hat | sneakers,Pre-A1.2,PRJ weather/clothes link,rainy card,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,IMG17
AEW2-U011-L7-Q06,Lesson 7,Project Rehearsal,matching,Sunny card: choose ____.,hat,boots | coat | umbrella,Pre-A1.2,PRJ weather/clothes link,sunny card,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,IMG17
AEW2-U011-L7-Q07,Lesson 7,Project Rehearsal,sentence_build,Build a weather sentence.,It's cloudy.,Choose cloudy. | Cloudy boots. | This is boots.,Pre-A1.2,PRJ model sentence,It's cloudy.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Lesson 7 model
AEW2-U011-L7-Q08,Lesson 7,Project Rehearsal,sentence_build,Build a clothes choice.,Choose a sweater.,It's sweater. | Sweater is weather. | I want cloudy.,Pre-A1.2,PRJ model chunk,Choose a sweater.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Lesson 7 model
AEW2-U011-L7-Q09,Lesson 7,Project Rehearsal,sequence,Choose the good project order.,Choose weather. Choose clothes. Share card.,Share card. Choose weather. Choose clothes. | Choose toy. Choose snack. Share card. | Count. Read. Sleep.,Pre-A1.2,PRJ process,project steps,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Project plan
AEW2-U011-L7-Q10,Lesson 7,Project Rehearsal,true_false,A Weather Choice Card shows weather and clothes.,true,false,Pre-A1.2,PRJ card elements,weather + clothes,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,IMG17
AEW2-U011-L7-Q11,Lesson 7,Project Rehearsal,true_false,The project needs a long story.,false,true,Pre-A1.2,PRJ card elements,long writing blocked,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Project plan
AEW2-U011-L7-Q12,Lesson 7,Project Rehearsal,choose_best_reply,Present a sunny card.,It's sunny. Choose a hat.,It's rainy. Choose boots. | I want an apple. | This is my brother.,Pre-A1.2,PRJ presentation,It's sunny. Choose a hat.,Vocabulary/Grammar,medium,project readiness confusion,AEW2-U011-Repair-PROJECT-01,Project model
AEW2-U011-W-Q01,Watch,Watch: The Weather Window,mcq,What is the Watch about?,weather window,snack table | toy box | family tree,Pre-A1.2,LST main idea,weather window,Listening/Reading,easy,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q02,Watch,Watch: The Weather Window,mcq,Mia sees the sun. What is it?,sunny,rainy | windy | cloudy,Pre-A1.2,LST detail,sunny,Listening/Reading,easy,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q03,Watch,Watch: The Weather Window,mcq,Emma sees rain. What is it?,rainy,sunny | windy | hat,Pre-A1.2,LST detail,rainy,Listening/Reading,easy,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q04,Watch,Watch: The Weather Window,mcq,Leaves move. What is it?,windy,cloudy | rainy | boots,Pre-A1.2,LST detail,windy,Listening/Reading,easy,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q05,Watch,Watch: The Weather Window,mcq,Big clouds appear. What is it?,cloudy,sunny | umbrella | coat,Pre-A1.2,LST detail,cloudy,Listening/Reading,easy,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q06,Watch,Watch: The Weather Window,sequence,Choose the Watch order.,"sunny, rainy, windy, cloudy","rainy, snack, family, toy | cloudy, sunny, animal, number | boots, hat, coat, shoes",Pre-A1.2,LST sequence,weather order,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q07,Watch,Watch: The Weather Window,matching,Leo chooses a ____ for a sunny day.,hat,boots | umbrella | coat,Pre-A1.2,LST detail,hat,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q08,Watch,Watch: The Weather Window,matching,Mia chooses ____ for a rainy day.,boots,T-shirt | hat | sweater,Pre-A1.2,LST detail,boots,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q09,Watch,Watch: The Weather Window,matching,Mia chooses an ____ for a rainy day.,umbrella,hat | apple | kite,Pre-A1.2,LST detail,umbrella,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q10,Watch,Watch: The Weather Window,mcq,Emma chooses a ____ for a cloudy day.,sweater,juice | toy | sandwich,Pre-A1.2,LST detail,sweater,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q11,Watch,Watch: The Weather Window,best_summary,Choose the best summary.,The team looks at weather and chooses clothes.,The team counts toys. | The team finds a toy. | The team writes a long story.,Pre-A1.2,LST summary,weather + clothes,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script
AEW2-U011-W-Q12,Watch,Watch: The Weather Window,reflection,What can you make after Watch?,Weather Choice Card,Snack menu | Family tree | Toy box,Pre-A1.2,Project connection,weather choice card,Listening/Reading,medium,project readiness confusion,AEW2-U011-Repair-WATCH-01,Watch script + Project
AEW2-U011-P-Q01,Project,Final Project: My Weather Choice Card,mcq,Choose one thing for your card.,weather picture,money price | long story | weather map,Pre-A1.2,PRJ readiness,weather picture,Project readiness,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project instructions
AEW2-U011-P-Q02,Project,Final Project: My Weather Choice Card,mcq,Choose one more thing for your card.,clothes pictures,number card | toy picture | color card,Pre-A1.2,PRJ readiness,clothes pictures,Project readiness,easy,project readiness confusion,AEW2-U011-Repair-PROJECT-02,Project instructions
