audio_id,section,character,voice,text,audio_file,sha256
adventure-u7-6-1,model,Model,en-US-AnaNeural,under. Where is the ball? It's under the table.,assets/audio/generated/06_model_01.mp3,2ad401da388c6bdfd6ccc7ee03730577729500a33994fbc70bd035e3f7fdff8a
adventure-u7-6-2,model,Model,en-US-AnaNeural,in. It's in the box.,assets/audio/generated/06_model_02.mp3,1a5eee4d194d2845e9f87ab872ec25b1ddd052305eeafecf7e1302a125e8b7b8
adventure-u7-6-model,model,combined,mixed,under. Where is the ball? It's under the table. / in. It's in the box.,assets/audio/generated/06_model_model.mp3,98652bf8fb2179bb2534f34d52e792da6ab0f66f5b0f6368e054b8cf62efaf4f
adventure-u7-7-1,model,Model,en-US-AnaNeural,Where is the ball? It's in the box.,assets/audio/generated/07_model_01.mp3,1bc48c27dbe9969894ef470c1d9c07a3450a66a85c46392fa1747d4c9a7d099c
adventure-u7-7-2,model,Model,en-US-AnaNeural,Where is the car? It's on the shelf.,assets/audio/generated/07_model_02.mp3,74e6b3fad741bd6e94e05a307c59f56aa17474e6aec591797c15402f028b457f
adventure-u7-7-3,model,Model,en-US-AnaNeural,Where is the robot? It's under the table.,assets/audio/generated/07_model_03.mp3,c42a21d802af523d6099c6c32d2fa9fbdcd2a46916643c03b351d5666ce09dd0
adventure-u7-7-model,model,combined,mixed,Where is the ball? It's in the box. / Where is the car? It's on the shelf. / Where is the robot? It's under the table.,assets/audio/generated/07_model_model.mp3,e1ea23260d62c8e48d8e33a8b7734f24d85d7035ee66d7aa404edf1e89720cf0
adventure-u7-8-1,model,Model,en-US-AnaNeural,Where is the robot? It's in the box.,assets/audio/generated/08_model_01.mp3,b394f019aa36abc55ef3d5d3b0c3b324abcc4ee7cdcd895ab0745b1e15cd06a9
adventure-u7-8-2,model,Model,en-US-AnaNeural,Where is the car? It's on the shelf.,assets/audio/generated/08_model_02.mp3,74e6b3fad741bd6e94e05a307c59f56aa17474e6aec591797c15402f028b457f
adventure-u7-8-3,model,Model,en-US-AnaNeural,Where is the ball? It's under the table.,assets/audio/generated/08_model_03.mp3,17c14877e57ca7ee1312b0b43149a9246c05381a631800b60133fae479ec8d7a
adventure-u7-8-model,model,combined,mixed,Where is the robot? It's in the box. / Where is the car? It's on the shelf. / Where is the ball? It's under the table.,assets/audio/generated/08_model_model.mp3,744fb98edfaf00c282db760e08933ee5515d0566df9f0a16f1f5faea0dfc8ac8
adventure-u7-9-1,model,Model,en-US-AnaNeural,Where is the ball? It's in the box.,assets/audio/generated/09_model_01.mp3,1bc48c27dbe9969894ef470c1d9c07a3450a66a85c46392fa1747d4c9a7d099c
adventure-u7-9-2,model,Model,en-US-AnaNeural,Where is the robot? It's on the shelf.,assets/audio/generated/09_model_02.mp3,be041d229f2968c0bf03e1feee7ed0fad2e42a6df035d5a902fa53be7d4b92c8
adventure-u7-9-3,model,Model,en-US-AnaNeural,"Where is the teddy bear? It's under the table. 1. Choose 3 or 4 toys. 2. Put each toy in, on, or under. 3. Say a short sentence. 4. Show your page.",assets/audio/generated/09_model_03.mp3,ca8223289d04a96fabd73dc15997ac6b90f752afdd3417cef0023f15b8356323
adventure-u7-9-model,model,combined,mixed,"Where is the ball? It's in the box. / Where is the robot? It's on the shelf. / Where is the teddy bear? It's under the table. 1. Choose 3 or 4 toys. 2. Put each toy in, on, or under. 3. Say a short sentence. 4. Show your page.",assets/audio/generated/09_model_model.mp3,036d06f33332916a304b639a9d0fc80a6794ade9cab68b563c3f7a4aa3104ce4
