Item_ID,Section,Item_No,Skill,KP_Target,Source_Image,Item_Type,Prompt,Option_A,Option_B,Option_C,Option_D,Correct_Option,Correct_Answer,Feedback,Difficulty,Repair_Link
AEW2-U007-L3-Q02,Lesson 3,2,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Choose the best sentence for a toy on the shelf.,It's in the box.,It's on the shelf.,It's under the table.,Where is the shelf?,B,It's on the shelf.,Correct. The toy is on the shelf.,Easy,On the shelf repair
AEW2-U007-L3-Q03,Lesson 3,3,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Where is the car?,It's in the box.,It's under the table.,It's on the shelf.,It's a doll.,C,It's on the shelf.,Correct. The car is on the shelf.,Easy,On the shelf repair
AEW2-U007-L3-Q04,Lesson 3,4,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,The toy is sitting on top. Choose the place word.,in,under,where,on,D,on,Correct. On means on top.,Easy,On the shelf repair
AEW2-U007-L3-Q05,Lesson 3,5,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Choose the place phrase.,on the shelf,in the box,under the table,toy shelf,A,on the shelf,Correct. The toy is on the shelf.,Easy,On the shelf repair
AEW2-U007-L3-Q06,Lesson 3,6,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,What word goes with a toy on a table?,in,on,under,car,B,on,Correct. A toy on top uses on.,Easy,On the shelf repair
AEW2-U007-L3-Q07,Lesson 3,7,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Complete: It’s on the ___.,box,kite,shelf,under,C,shelf,Correct. It’s on the shelf.,Easy,On the shelf repair
AEW2-U007-L3-Q08,Lesson 3,8,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Choose the answer to: Where is the robot?,Where is robot?,It's in the box.,It's under the table.,It's on the shelf.,D,It's on the shelf.,Correct. This is a short location answer.,Easy,On the shelf repair
AEW2-U007-L3-Q09,Lesson 3,9,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Choose the correct place word: toy ___ shelf.,on,in,under,who,A,on,Correct. Use on with a toy on the shelf.,Easy,On the shelf repair
AEW2-U007-L3-Q10,Lesson 3,10,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Which answer uses on?,It's in the box.,It's on the shelf.,It's under the table.,It's a robot.,B,It's on the shelf.,Correct. This sentence uses on.,Easy,On the shelf repair
AEW2-U007-L3-Q11,Lesson 3,11,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Look at the shelf. Which word tells the place?,doll,kite,on,train,C,on,Correct. On tells the place.,Easy,On the shelf repair
AEW2-U007-L3-Q12,Lesson 3,12,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Choose the correct chunk.,On it's shelf.,It's in under.,Where on toy?,It's on the shelf.,D,It's on the shelf.,Correct. It’s on the shelf is the correct chunk.,Easy,On the shelf repair
AEW2-U007-L4-Q01,Lesson 4,1,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Complete: It’s ___ the table.,in,under,on,toy,B,under,Correct. Below the table = under.,Easy,Under the table repair
AEW2-U007-L4-Q02,Lesson 4,2,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Choose the best sentence for a toy under the table.,It's in the box.,It's on the shelf.,It's under the table.,Where is the table?,C,It's under the table.,Correct. The toy is under the table.,Easy,Under the table repair
AEW2-U007-L4-Q03,Lesson 4,3,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Where is the ball?,It's in the box.,It's on the shelf.,It's a kite.,It's under the table.,D,It's under the table.,Correct. The ball is under the table.,Easy,Under the table repair
AEW2-U007-L4-Q04,Lesson 4,4,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,The toy is below the table. Choose the place word.,under,in,on,where,A,under,Correct. Below means under.,Easy,Under the table repair
AEW2-U007-L4-Q05,Lesson 4,5,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Choose the place phrase.,in the box,under the table,on the shelf,toy table,B,under the table,Correct. The toy is under the table.,Easy,Under the table repair
AEW2-U007-L4-Q06,Lesson 4,6,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,What word goes with a toy below a table?,in,on,under,car,C,under,Correct. A toy below something is under.,Easy,Under the table repair
AEW2-U007-L4-Q07,Lesson 4,7,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Complete: It’s under the ___.,box,shelf,kite,table,D,table,Correct. It’s under the table.,Easy,Under the table repair
AEW2-U007-L4-Q08,Lesson 4,8,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Choose the answer to: Where is the ball?,It's under the table.,Where is ball?,It's in the box.,It's on the shelf.,A,It's under the table.,Correct. This is a short location answer.,Easy,Under the table repair
AEW2-U007-L4-Q09,Lesson 4,9,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Choose the correct place word: toy ___ table.,on,under,in,who,B,under,Correct. Use under with a toy below the table.,Easy,Under the table repair
AEW2-U007-L4-Q10,Lesson 4,10,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Which answer uses under?,It's in the box.,It's on the shelf.,It's under the table.,It's a robot.,C,It's under the table.,Correct. This sentence uses under.,Easy,Under the table repair
AEW2-U007-L4-Q11,Lesson 4,11,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Look below the table. Which word tells the place?,doll,kite,train,under,D,under,Correct. Under tells the place.,Easy,Under the table repair
AEW2-U007-L4-Q12,Lesson 4,12,Grammar,GRM under + place / CHK It's under the table,"IMG09, IMG10",gap_or_choice,Choose the correct chunk.,It's under the table.,Under it's table.,It's box under.,Where under toy?,A,It's under the table.,Correct. It’s under the table is the correct chunk.,Easy,Under the table repair
AEW2-U007-L5-Q01,Lesson 5,1,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the question for a toy location.,What color is it?,How many toys?,Where is the toy?,"Hello, toy.",C,Where is the toy?,Correct. Where is asks about place.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q02,Lesson 5,2,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Complete: Where ___ the robot?,in,on,under,is,D,is,Correct. The question is Where is the robot?,Easy,Where is / It's answer repair
AEW2-U007-L5-Q03,Lesson 5,3,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the answer to: Where is the robot?,It's in the box.,"Yes, robot.",It's red.,Where is the robot?,A,It's in the box.,Correct. The answer gives the place.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q04,Lesson 5,4,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the answer to: Where is the car?,It's a car.,It's on the shelf.,It's blue.,Where is the car?,B,It's on the shelf.,Correct. The answer gives the place.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q05,Lesson 5,5,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the answer to: Where is the ball?,It's a ball.,It is one.,It's under the table.,Where is ball?,C,It's under the table.,Correct. The answer gives the place.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q06,Lesson 5,6,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Put the dialogue idea in order. First ask:,It's in the box.,toy box,under the table,Where is the toy?,D,Where is the toy?,Correct. Ask first: Where is the toy?,Easy,Where is / It's answer repair
AEW2-U007-L5-Q07,Lesson 5,7,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the short answer with in.,It's in the box.,It's on the shelf.,It's under the table.,It's a doll.,A,It's in the box.,Correct. This answer uses in.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q08,Lesson 5,8,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the short answer with on.,It's in the box.,It's on the shelf.,It's under the table.,It's a doll.,B,It's on the shelf.,Correct. This answer uses on.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q09,Lesson 5,9,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the short answer with under.,It's in the box.,It's on the shelf.,It's under the table.,It's a doll.,C,It's under the table.,Correct. This answer uses under.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q10,Lesson 5,10,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Which word starts the question?,It's,toy,box,Where,D,Where,Correct. The question starts with Where.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q11,Lesson 5,11,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the complete question.,Where is the kite?,Where kite?,Is the where kite?,It's kite.,A,Where is the kite?,Correct. Where is the kite? is complete.,Easy,Where is / It's answer repair
AEW2-U007-L5-Q12,Lesson 5,12,Spoken Interaction,CHK Where is...? / It's...,"IMG11, IMG12",dialogue_choice,Choose the complete answer.,Under table it.,It's under the table.,Where under?,It's toy under.,B,It's under the table.,Correct. It’s under the table is complete.,Easy,Where is / It's answer repair
AEW2-U007-L6-Q01,Lesson 6,1,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Clue card: in. Choose the place.,on the shelf,under the table,robot,in the box,D,in the box,Correct. In goes with the box clue.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q02,Lesson 6,2,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Clue card: on. Choose the place.,on the shelf,in the box,under the table,ball,A,on the shelf,Correct. On goes with the shelf clue.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q03,Lesson 6,3,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Clue card: under. Choose the place.,in the box,under the table,on the shelf,car,B,under the table,Correct. Under goes with the table clue.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q04,Lesson 6,4,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Toto looks below the table. Choose the word.,in,on,under,toy,C,under,Correct. Below the table is under.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q05,Lesson 6,5,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,The robot is inside the box. Choose the word.,on,under,where,in,D,in,Correct. Inside means in.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q06,Lesson 6,6,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,The car is sitting on top of the shelf. Choose the word.,on,in,under,box,A,on,Correct. On means on top.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q07,Lesson 6,7,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Find the ball: It’s under the table. Where is the ball?,in the box,under the table,on the shelf,in the train,B,under the table,Correct. The clue says under the table.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q08,Lesson 6,8,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Find the robot: It’s in the box. Where is the robot?,under the table,on the shelf,in the box,on the kite,C,in the box,Correct. The clue says in the box.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q09,Lesson 6,9,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Find the car: It’s on the shelf. Where is the car?,under the table,in the box,under the kite,on the shelf,D,on the shelf,Correct. The clue says on the shelf.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q10,Lesson 6,10,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Choose the best question for the clue hunt.,Where is the toy?,What color is the toy?,How many dogs?,"Hello, Leo.",A,Where is the toy?,Correct. Toy hunt asks where the toy is.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q11,Lesson 6,11,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Choose the best answer for a hidden toy.,Where is under?,It's under the table.,Toy is where?,It's hello.,B,It's under the table.,Correct. This gives a hidden toy location.,Easy,Toy hunt clue repair
AEW2-U007-L6-Q12,Lesson 6,12,Listening/Reading,MED clue → location / GRM in-on-under,"IMG13, IMG14, IMG15",clue_choice,Choose the project phrase from the hunt.,I like apples.,Touch your head.,It's in the box.,My name is Leo.,C,It's in the box.,Correct. It’s in the box is the unit phrase.,Easy,Toy hunt clue repair
AEW2-U007-L7-Q01,Lesson 7,1,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose a good toy for your page.,ball,mom,banana,red,A,ball,Correct. Ball is a toy word.,Easy,Project frame repair
AEW2-U007-L7-Q02,Lesson 7,2,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose another good toy for your page.,grandpa,robot,listen,blue,B,robot,Correct. Robot is a toy word.,Easy,Project frame repair
AEW2-U007-L7-Q03,Lesson 7,3,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose a good place phrase.,my friend,I want,in the box,seven,C,in the box,Correct. In the box tells a place.,Easy,Project frame repair
AEW2-U007-L7-Q04,Lesson 7,4,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose another good place phrase.,hello teacher,red dog,three toys,on the shelf,D,on the shelf,Correct. On the shelf tells a place.,Easy,Project frame repair
AEW2-U007-L7-Q05,Lesson 7,5,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose the third place phrase.,under the table,goodbye,open your book,green car,A,under the table,Correct. Under the table tells a place.,Easy,Project frame repair
AEW2-U007-L7-Q06,Lesson 7,6,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose the question for your presentation.,What is your name?,Where is the ball?,How many colors?,I like dogs.,B,Where is the ball?,Correct. The project asks where the toy is.,Easy,Project frame repair
AEW2-U007-L7-Q07,Lesson 7,7,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose the answer for your presentation.,It's my mom.,I am Leo.,It's in the box.,Open the box.,C,It's in the box.,Correct. This is a toy location answer.,Easy,Project frame repair
AEW2-U007-L7-Q08,Lesson 7,8,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Complete the project frame: Where is the ___?,on,under,is,robot,D,robot,Correct. Use a toy word in the question.,Easy,Project frame repair
AEW2-U007-L7-Q09,Lesson 7,9,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Complete the project answer: It's ___ the shelf.,on,where,toy,in,A,on,Correct. Use on with shelf.,Easy,Project frame repair
AEW2-U007-L7-Q10,Lesson 7,10,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose a clear project line.,Under is it table.,It's under the table.,Where under toy?,Table under is.,B,It's under the table.,Correct. This line is clear.,Easy,Project frame repair
AEW2-U007-L7-Q11,Lesson 7,11,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose a good speaking check.,fast jump,closed eyes,clear voice,tiny words,C,clear voice,Correct. Use a clear voice.,Easy,Project frame repair
AEW2-U007-L7-Q12,Lesson 7,12,Speaking Prep,PRJ toy location page,"IMG16, IMG17",project_prep_choice,Choose what your project shows.,food prices,family names,weather words,toy places,D,toy places,Correct. The project shows toy places.,Easy,Project frame repair
AEW2-U007-WATCH-Q01,Watch,1,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,What is the video about?,finding toys,ordering snacks,saying family words,counting numbers,A,finding toys,Correct. The video is about finding toys.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q02,Watch,2,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,What does Toto see first?,a menu,a toy box,a bed,a weather card,B,a toy box,Correct. Toto sees a toy box.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q03,Watch,3,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Where is the teddy bear?,on the shelf,under the table,in the box,in the bag,C,in the box,Correct. The teddy bear is in the box.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q04,Watch,4,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Where is the car?,in the box,under the table,under the chair,on the shelf,D,on the shelf,Correct. The car is on the shelf.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q05,Watch,5,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Where is the ball?,under the table,on the shelf,in the box,on the wall,A,under the table,Correct. The ball is under the table.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q06,Watch,6,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Which word means inside?,on,in,under,where,B,in,Correct. In means inside.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q07,Watch,7,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Which word means on top?,in,under,on,box,C,on,Correct. On means on top.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q08,Watch,8,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Which word means below?,in,on,shelf,under,D,under,Correct. Under means below.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q09,Watch,9,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Choose the question you hear in the story.,Where is the robot?,Who is this?,What color is red?,How many dogs?,A,Where is the robot?,Correct. This asks for a toy place.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q10,Watch,10,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,Choose the best story order.,table → snack → hello,box → shelf → table,family → dog → mom,color → number → apple,B,box → shelf → table,"Correct. The story checks box, shelf, and table.",Easy,Watch replay with location words
AEW2-U007-WATCH-Q11,Watch,11,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,What does the team make at the end?,a family tree,a snack order,a toy location page,a weather card,C,a toy location page,Correct. The team makes a toy location page.,Easy,Watch replay with location words
AEW2-U007-WATCH-Q12,Watch,12,Listening,LST Watch story / GRM in-on-under,"IMG02, IMG05, IMG07, IMG09, IMG20",watch_comprehension,What can you say after watching?,"I want juice, please.",This is my mom.,It's rainy.,Where is the toy? It's in the box.,D,Where is the toy? It's in the box.,Correct. This uses the unit language.,Easy,Watch replay with location words
AEW2-U007-PROJ-Q01,Project,1,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,What is the final project?,My Toy Location Page,My Snack Order,My Family Tree,My Weather Card,A,My Toy Location Page,Correct. The project is My Toy Location Page.,Easy,Project checklist repair
AEW2-U007-PROJ-Q02,Project,2,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,How many toy locations should you show?,zero,three,ten,twenty,B,three,Correct. Show three toy locations.,Easy,Project checklist repair
AEW2-U007-PROJ-Q03,Project,3,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose a toy word for your page.,grandma,please,kite,cloudy,C,kite,Correct. Kite is a toy word.,Easy,Project checklist repair
AEW2-U007-PROJ-Q04,Project,4,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose a place word for your page.,mom,yellow,listen,under,D,under,Correct. Under is a place word.,Easy,Project checklist repair
AEW2-U007-PROJ-Q05,Project,5,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose a location phrase.,on the shelf,my sister,I like fish,touch your head,A,on the shelf,Correct. On the shelf tells a toy place.,Easy,Project checklist repair
AEW2-U007-PROJ-Q06,Project,6,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose a project question.,Who is this?,Where is the doll?,How old are you?,What is your name?,B,Where is the doll?,Correct. This asks for a toy place.,Easy,Project checklist repair
AEW2-U007-PROJ-Q07,Project,7,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose a project answer.,It's my dad.,I want water.,It's in the box.,I am seven.,C,It's in the box.,Correct. This answers with a toy location.,Easy,Project checklist repair
AEW2-U007-PROJ-Q08,Project,8,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose another project answer.,It's my friend.,It is snack.,Close the book.,It's under the table.,D,It's under the table.,Correct. This answers with a toy location.,Easy,Project checklist repair
AEW2-U007-PROJ-Q09,Project,9,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,Choose the best pair.,Where is the car? / It's on the shelf.,Where is the car? / Blue.,Hello. / It's under.,How many? / It's in.,A,Where is the car? / It's on the shelf.,Correct. The question and answer match.,Easy,Project checklist repair
AEW2-U007-PROJ-Q10,Project,10,Project Readiness,PRJ My Toy Location Page,"IMG17, IMG20",project_readiness,What should you do before speaking?,hide the page,point to the toy,read very fast,close your eyes,B,point to the toy,Correct. Point to the toy first.,Easy,Project checklist repair
