Item_ID,Section,Correct_Answer,Feedback
AEW2-U007-L5-Q01,Lesson 5,Where is the toy?,Correct. Where is asks about place.
AEW2-U007-L5-Q02,Lesson 5,is,Correct. The question is Where is the robot?
AEW2-U007-L5-Q03,Lesson 5,It's in the box.,Correct. The answer gives the place.
AEW2-U007-L5-Q04,Lesson 5,It's on the shelf.,Correct. The answer gives the place.
AEW2-U007-L5-Q05,Lesson 5,It's under the table.,Correct. The answer gives the place.
AEW2-U007-L5-Q06,Lesson 5,Where is the toy?,Correct. Ask first: Where is the toy?
AEW2-U007-L5-Q07,Lesson 5,It's in the box.,Correct. This answer uses in.
AEW2-U007-L5-Q08,Lesson 5,It's on the shelf.,Correct. This answer uses on.
AEW2-U007-L5-Q09,Lesson 5,It's under the table.,Correct. This answer uses under.
AEW2-U007-L5-Q10,Lesson 5,Where,Correct. The question starts with Where.
AEW2-U007-L5-Q11,Lesson 5,Where is the kite?,Correct. Where is the kite? is complete.
AEW2-U007-L5-Q12,Lesson 5,It's under the table.,Correct. It’s under the table is complete.
AEW2-U007-L6-Q01,Lesson 6,in the box,Correct. In goes with the box clue.
AEW2-U007-L6-Q02,Lesson 6,on the shelf,Correct. On goes with the shelf clue.
AEW2-U007-L6-Q03,Lesson 6,under the table,Correct. Under goes with the table clue.
AEW2-U007-L6-Q04,Lesson 6,under,Correct. Below the table is under.
AEW2-U007-L6-Q05,Lesson 6,in,Correct. Inside means in.
AEW2-U007-L6-Q06,Lesson 6,on,Correct. On means on top.
AEW2-U007-L6-Q07,Lesson 6,under the table,Correct. The clue says under the table.
AEW2-U007-L6-Q08,Lesson 6,in the box,Correct. The clue says in the box.
AEW2-U007-L6-Q09,Lesson 6,on the shelf,Correct. The clue says on the shelf.
AEW2-U007-L6-Q10,Lesson 6,Where is the toy?,Correct. Toy hunt asks where the toy is.
AEW2-U007-L6-Q11,Lesson 6,It's under the table.,Correct. This gives a hidden toy location.
AEW2-U007-L6-Q12,Lesson 6,It's in the box.,Correct. It’s in the box is the unit phrase.
AEW2-U007-L7-Q01,Lesson 7,ball,Correct. Ball is a toy word.
AEW2-U007-L7-Q02,Lesson 7,robot,Correct. Robot is a toy word.
AEW2-U007-L7-Q03,Lesson 7,in the box,Correct. In the box tells a place.
AEW2-U007-L7-Q04,Lesson 7,on the shelf,Correct. On the shelf tells a place.
AEW2-U007-L7-Q05,Lesson 7,under the table,Correct. Under the table tells a place.
AEW2-U007-L7-Q06,Lesson 7,Where is the ball?,Correct. The project asks where the toy is.
AEW2-U007-L7-Q07,Lesson 7,It's in the box.,Correct. This is a toy location answer.
AEW2-U007-L7-Q08,Lesson 7,robot,Correct. Use a toy word in the question.
AEW2-U007-L7-Q09,Lesson 7,on,Correct. Use on with shelf.
AEW2-U007-L7-Q10,Lesson 7,It's under the table.,Correct. This line is clear.
AEW2-U007-L7-Q11,Lesson 7,clear voice,Correct. Use a clear voice.
AEW2-U007-L7-Q12,Lesson 7,toy places,Correct. The project shows toy places.
AEW2-U007-WATCH-Q01,Watch,finding toys,Correct. The video is about finding toys.
AEW2-U007-WATCH-Q02,Watch,a toy box,Correct. Toto sees a toy box.
AEW2-U007-WATCH-Q03,Watch,in the box,Correct. The teddy bear is in the box.
AEW2-U007-WATCH-Q04,Watch,on the shelf,Correct. The car is on the shelf.
AEW2-U007-WATCH-Q05,Watch,under the table,Correct. The ball is under the table.
AEW2-U007-WATCH-Q06,Watch,in,Correct. In means inside.
AEW2-U007-WATCH-Q07,Watch,on,Correct. On means on top.
AEW2-U007-WATCH-Q08,Watch,under,Correct. Under means below.
AEW2-U007-WATCH-Q09,Watch,Where is the robot?,Correct. This asks for a toy place.
AEW2-U007-WATCH-Q10,Watch,box → shelf → table,"Correct. The story checks box, shelf, and table."
AEW2-U007-WATCH-Q11,Watch,a toy location page,Correct. The team makes a toy location page.
AEW2-U007-WATCH-Q12,Watch,Where is the toy? It's in the box.,Correct. This uses the unit language.
AEW2-U007-PROJ-Q01,Project,My Toy Location Page,Correct. The project is My Toy Location Page.
AEW2-U007-PROJ-Q02,Project,three,Correct. Show three toy locations.
AEW2-U007-PROJ-Q03,Project,kite,Correct. Kite is a toy word.
AEW2-U007-PROJ-Q04,Project,under,Correct. Under is a place word.
AEW2-U007-PROJ-Q05,Project,on the shelf,Correct. On the shelf tells a toy place.
AEW2-U007-PROJ-Q06,Project,Where is the doll?,Correct. This asks for a toy place.
AEW2-U007-PROJ-Q07,Project,It's in the box.,Correct. This answers with a toy location.
AEW2-U007-PROJ-Q08,Project,It's under the table.,Correct. This answers with a toy location.
AEW2-U007-PROJ-Q09,Project,Where is the car? / It's on the shelf.,Correct. The question and answer match.
AEW2-U007-PROJ-Q10,Project,point to the toy,Correct. Point to the toy first.
AEW2-U007-PROJ-Q11,Project,3 toy places,Correct. Show 3 toy places.
AEW2-U007-PROJ-Q12,Project,toy page + short voice,Correct. The portfolio is a toy page with short speaking.
