item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U009-L1-Q11,Lesson 1,Snack Words,sentence_build,Put the words in order: cookie / a / is / It,It is a cookie.,,Pre-A1.2,SP repeat snack word,It is a cookie.,Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q12,Lesson 1,Snack Words,mcq,Which word is an extra snack picture word?,bread,water | juice | milk,Pre-A1.2,VOC snack words,bread,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L2-Q01,Lesson 2,I Want...,mcq,Choose the model line.,I want an apple.,I see a toy. | Touch your head. | It is under the box.,Pre-A1.2,CHK I want ...,I want an apple.,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q02,Lesson 2,I Want...,mcq,What can Leo say for a banana?,I want a banana.,I want water. | This is my family. | Open the book.,Pre-A1.2,CHK I want ...,I want a banana.,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q03,Lesson 2,I Want...,mcq,Choose the orange line.,I want an orange.,I want a cookie. | I want milk. | I want water.,Pre-A1.2,CHK I want ...,I want an orange.,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q04,Lesson 2,I Want...,mcq,Choose the sandwich line.,I want a sandwich.,I want an apple. | I want juice. | I want milk.,Pre-A1.2,CHK I want ...,I want a sandwich.,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q05,Lesson 2,I Want...,gap_fill,Complete: I _____ a cookie.,want,,Pre-A1.2,CHK I want ...,want,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q06,Lesson 2,I Want...,gap_fill,Complete: I want an _____.,apple,,Pre-A1.2,CHK I want ...,apple,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q07,Lesson 2,I Want...,gap_fill,Complete: I want a _____.,banana,,Pre-A1.2,CHK I want ...,banana,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q08,Lesson 2,I Want...,choose_best_reply,Friend: What do you want? Choose the best answer.,I want a cookie.,"Hello, teacher. | It is purple. | Touch your ear.",Pre-A1.2,SI simple choice answer,I want a cookie.,Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-SI-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q09,Lesson 2,I Want...,sentence_build,Put the words in order: want / I / apple / an,I want an apple.,,Pre-A1.2,CHK I want ...,I want an apple.,Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-02,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q10,Lesson 2,I Want...,sentence_build,Put the words in order: a / sandwich / want / I,I want a sandwich.,,Pre-A1.2,CHK I want ...,I want a sandwich.,Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-02,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q11,Lesson 2,I Want...,true_false,The words I want show a choice.,True,False,Pre-A1.2,CHK I want ...,I want,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L2-Q12,Lesson 2,I Want...,mcq,Which line is a snack choice?,I want a cookie.,Look and listen. | My name is Leo. | Where is the ball?,Pre-A1.2,CHK I want ...,I want a cookie.,Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-CHK-01,IMG05/IMG06 + Lesson 2 model lines
AEW2-U009-L3-Q01,Lesson 3,Please,mcq,Which word makes the snack line polite?,please,apple | banana | cookie,Pre-A1.2,REG polite asking,please,Speaking prep,easy,politeness omission,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q02,Lesson 3,Please,mcq,Choose the polite line.,"I want an apple, please.",I want an apple. | Apple. | Look.,Pre-A1.2,"CHK I want ..., please.","I want an apple, please.",Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q03,Lesson 3,Please,mcq,What can Mia say politely?,"I want a banana, please.",I want a banana. | Banana! | I am Mia.,Pre-A1.2,"CHK I want ..., please.","I want a banana, please.",Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q04,Lesson 3,Please,gap_fill,"Complete: I want a cookie, _____.",please,,Pre-A1.2,REG polite asking,please,Speaking prep,easy,politeness omission,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q05,Lesson 3,Please,gap_fill,Complete the reply: Here you are. / _____.,Thank you.,,Pre-A1.2,REG polite asking,Thank you.,Speaking prep,easy,politeness omission,AEW2-U009-Repair-POLITE-02,IMG07/IMG08 + polite model
AEW2-U009-L3-Q06,Lesson 3,Please,choose_best_reply,"Learner: I want an orange, please. Helper: ____",Here you are.,I want a book. | Touch your nose. | No name.,Pre-A1.2,SI helper exchange,Here you are.,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-SI-02,IMG07/IMG08 + polite model
AEW2-U009-L3-Q07,Lesson 3,Please,choose_best_reply,Helper: Here you are. Learner: ____,Thank you.,"I want desk. | Goodbye, ball. | It is under.",Pre-A1.2,SI polite reply,Thank you.,Speaking prep,medium,politeness omission,AEW2-U009-Repair-SI-02,IMG07/IMG08 + polite model
AEW2-U009-L3-Q08,Lesson 3,Please,sentence_build,Put the words in order: I / a sandwich / want / please,"I want a sandwich, please.",,Pre-A1.2,"CHK I want ..., please.","I want a sandwich, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-03,IMG07/IMG08 + polite model
AEW2-U009-L3-Q09,Lesson 3,Please,true_false,The word please can come at the end of the snack line.,True,False,Pre-A1.2,REG polite asking,please,Listening,easy,politeness omission,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q10,Lesson 3,Please,mcq,Which line is polite?,"I want juice, please.",Juice! | I want juice. | Drink.,Pre-A1.2,REG polite asking,"I want juice, please.",Speaking prep,medium,politeness omission,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L3-Q11,Lesson 3,Please,matching,Match the role-play parts.,Hello.=start; Here you are.=helper gives; Thank you.=polite reply,,Pre-A1.2,SI polite exchange,Hello; Here you are.; Thank you.,Speaking prep,medium,politeness omission,AEW2-U009-Repair-SI-02,IMG07/IMG08 + polite model
AEW2-U009-L3-Q12,Lesson 3,Please,mcq,"What is missing? I want an apple, _____.",please,banana | water | Toto,Pre-A1.2,REG polite asking,please,Speaking prep,medium,politeness omission,AEW2-U009-Repair-POLITE-01,IMG07/IMG08 + polite model
AEW2-U009-L4-Q01,Lesson 4,A / An Snack Chunks,mcq,Choose the fixed chunk.,an apple,a apple | apple an | apple a,Pre-A1.2,GRM a/an fixed chunks,an apple,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q02,Lesson 4,A / An Snack Chunks,mcq,Choose the fixed chunk.,a banana,an banana | banana a | banana an,Pre-A1.2,GRM a/an fixed chunks,a banana,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q03,Lesson 4,A / An Snack Chunks,mcq,Choose the fixed chunk.,an orange,a orange | orange an | orange a,Pre-A1.2,GRM a/an fixed chunks,an orange,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q04,Lesson 4,A / An Snack Chunks,mcq,Choose the fixed chunk.,a sandwich,an sandwich | sandwich a | sandwich an,Pre-A1.2,GRM a/an fixed chunks,a sandwich,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q05,Lesson 4,A / An Snack Chunks,mcq,Choose the fixed chunk.,a cookie,an cookie | cookie an | cookie a,Pre-A1.2,GRM a/an fixed chunks,a cookie,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q06,Lesson 4,A / An Snack Chunks,matching,Match the chunk to the snack.,banana=a banana; apple=an apple; orange=an orange,,Pre-A1.2,GRM a/an fixed chunks,a banana; an apple; an orange,Vocabulary/Grammar,medium,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q07,Lesson 4,A / An Snack Chunks,gap_fill,"Complete: I want ___ apple, please.",an,,Pre-A1.2,GRM a/an fixed chunks,an,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q08,Lesson 4,A / An Snack Chunks,gap_fill,"Complete: I want ___ banana, please.",a,,Pre-A1.2,GRM a/an fixed chunks,a,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q09,Lesson 4,A / An Snack Chunks,gap_fill,"Complete: I want ___ orange, please.",an,,Pre-A1.2,GRM a/an fixed chunks,an,Vocabulary/Grammar,easy,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q10,Lesson 4,A / An Snack Chunks,sentence_build,Build the line: I / want / an apple / please,"I want an apple, please.",,Pre-A1.2,GRM a/an fixed chunks,"I want an apple, please.",Vocabulary/Grammar,medium,a/an chunk error,AEW2-U009-Repair-SENT-04,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q11,Lesson 4,A / An Snack Chunks,sentence_build,Build the line: a cookie / please / I / want,"I want a cookie, please.",,Pre-A1.2,GRM a/an fixed chunks,"I want a cookie, please.",Vocabulary/Grammar,medium,a/an chunk error,AEW2-U009-Repair-SENT-04,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L4-Q12,Lesson 4,A / An Snack Chunks,error_correction,"Fix the line: I want a orange, please.","I want an orange, please.",,Pre-A1.2,GRM a/an fixed chunks,"I want an orange, please.",Vocabulary/Grammar,medium,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG09/IMG10/IMG18 + chunk list
AEW2-U009-L5-Q01,Lesson 5,Drinks,mcq,Choose the drink word: water.,water,cookie | sandwich | banana,Pre-A1.2,VOC drink words,water,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q02,Lesson 5,Drinks,mcq,Choose the drink word: milk.,milk,orange | apple | cookie,Pre-A1.2,VOC drink words,milk,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q03,Lesson 5,Drinks,mcq,Choose the drink word: juice.,juice,sandwich | banana | apple,Pre-A1.2,VOC drink words,juice,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q04,Lesson 5,Drinks,true_false,Water is a snack.,False,True,Pre-A1.2,VOC snack/drink difference,water,Listening,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q05,Lesson 5,Drinks,true_false,A cookie is a drink.,False,True,Pre-A1.2,VOC snack/drink difference,cookie,Listening,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q06,Lesson 5,Drinks,matching,Match the drink words.,water=clear drink; milk=white drink; juice=fruit drink,,Pre-A1.2,VOC drink words,water; milk; juice,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-DRINK-01,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q07,Lesson 5,Drinks,gap_fill,"Complete: I want _____, please.",juice,,Pre-A1.2,CHK I want drink please,juice,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-DRINK-02,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q08,Lesson 5,Drinks,gap_fill,"Complete: I want _____, please.",water,,Pre-A1.2,CHK I want drink please,water,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-DRINK-02,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q09,Lesson 5,Drinks,gap_fill,"Complete: I want _____, please.",milk,,Pre-A1.2,CHK I want drink please,milk,Vocabulary/Grammar,easy,sequence/role-play confusion,AEW2-U009-Repair-DRINK-02,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q10,Lesson 5,Drinks,choose_best_reply,Friend: What drink do you want?,"I want water, please.","I want an apple, please. | Touch your hand. | It is on the table.",Pre-A1.2,SI simple drink choice,"I want water, please.",Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-DRINK-02,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q11,Lesson 5,Drinks,sentence_build,Put the words in order: juice / want / I / please,"I want juice, please.",,Pre-A1.2,CHK I want drink please,"I want juice, please.",Vocabulary/Grammar,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-05,IMG11/IMG12 + drink word set
AEW2-U009-L5-Q12,Lesson 5,Drinks,mcq,Choose one snack + one drink.,sandwich and milk,water and juice | milk and juice | apple and cookie,Pre-A1.2,VOC snack + drink,sandwich and milk,Vocabulary/Grammar,medium,vocabulary confusion,AEW2-U009-Repair-MIX-01,IMG11/IMG12 + drink word set
AEW2-U009-L6-Q01,Lesson 6,Snack Order Role-play,sequence,Put the role-play in order.,"Hello. | I want an apple and water, please. | Here you are. | Thank you.",,Pre-A1.2,SI role-play order,"Hello. | I want an apple and water, please. | Here you are. | Thank you.",Listening,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q02,Lesson 6,Snack Order Role-play,choose_best_reply,What is a good first line?,Hello.,Thank you. | Here you are. | Cookie.,Pre-A1.2,SI role-play greeting,Hello.,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q03,Lesson 6,Snack Order Role-play,choose_best_reply,Choose a full snack order line.,"I want a sandwich and juice, please.",I am a sandwich. | Here you are. | Touch your nose.,Pre-A1.2,SI snack order,"I want a sandwich and juice, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-02,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q04,Lesson 6,Snack Order Role-play,mcq,Which choice has one snack and one drink?,an apple and water,water and milk | a cookie and a sandwich | juice and milk,Pre-A1.2,VOC snack + drink,an apple and water,Speaking prep,medium,vocabulary confusion,AEW2-U009-Repair-MIX-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q05,Lesson 6,Snack Order Role-play,gap_fill,Complete the helper line: _____.,Here you are.,,Pre-A1.2,SI helper reply,Here you are.,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q06,Lesson 6,Snack Order Role-play,gap_fill,Complete the learner reply: _____.,Thank you.,,Pre-A1.2,SI polite reply,Thank you.,Speaking prep,easy,politeness omission,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q07,Lesson 6,Snack Order Role-play,sentence_build,Build the order: I / want / an orange / and / milk / please,"I want an orange and milk, please.",,Pre-A1.2,SI snack order,"I want an orange and milk, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-SENT-06,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q08,Lesson 6,Snack Order Role-play,error_correction,Fix the line: I want a banana and juice.,"I want a banana and juice, please.",,Pre-A1.2,REG polite asking,"I want a banana and juice, please.",Speaking prep,medium,politeness omission,AEW2-U009-Repair-POLITE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q09,Lesson 6,Snack Order Role-play,error_correction,"Fix the line: I want a apple and water, please.","I want an apple and water, please.",,Pre-A1.2,GRM a/an fixed chunks,"I want an apple and water, please.",Speaking prep,medium,a/an chunk error,AEW2-U009-Repair-AAN-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q10,Lesson 6,Snack Order Role-play,matching,Match the speaker to the line.,"helper=Here you are.; learner=I want a cookie and milk, please.",,Pre-A1.2,SI role-play lines,helper; learner,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q11,Lesson 6,Snack Order Role-play,mcq,Which line is ready for role-play?,"I want a cookie and milk, please.",Cookie milk please want. | Here you are. | A cookie is purple.,Pre-A1.2,SI role-play line,"I want a cookie and milk, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-02,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L6-Q12,Lesson 6,Snack Order Role-play,true_false,Thank you can be the last line.,True,False,Pre-A1.2,SI role-play order,Thank you can be the last line.,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG13/IMG14/IMG15/IMG19 + role-play model
AEW2-U009-L7-Q01,Lesson 7,Project Rehearsal,mcq,Choose one snack for a snack order card.,apple,water | milk | juice,Pre-A1.2,PRJ choose snack,apple,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-01,IMG16/IMG17 + project model card
AEW2-U009-L7-Q02,Lesson 7,Project Rehearsal,mcq,Choose one drink for a snack order card.,juice,sandwich | cookie | banana,Pre-A1.2,PRJ choose drink,juice,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-01,IMG16/IMG17 + project model card
AEW2-U009-L7-Q03,Lesson 7,Project Rehearsal,mcq,Choose a good project choice.,a banana and milk,water and milk | a cookie and an apple | juice and water,Pre-A1.2,PRJ snack + drink,a banana and milk,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-01,IMG16/IMG17 + project model card
AEW2-U009-L7-Q04,Lesson 7,Project Rehearsal,gap_fill,"Complete: I want an apple and water, _____.",please,,Pre-A1.2,PRJ project line,please,Speaking prep,easy,sequence/role-play confusion,AEW2-U009-Repair-POLITE-01,IMG16/IMG17 + project model card
AEW2-U009-L7-Q05,Lesson 7,Project Rehearsal,sentence_build,Build the project line: I / want / a sandwich / and / juice / please,"I want a sandwich and juice, please.",,Pre-A1.2,PRJ project line,"I want a sandwich and juice, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-02,IMG16/IMG17 + project model card
AEW2-U009-L7-Q06,Lesson 7,Project Rehearsal,mcq,Check three things. What are they?,"snack, drink, please","name, color, number | toy, box, under | head, hand, foot",Pre-A1.2,PRJ self-check,"snack, drink, please",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,IMG16/IMG17 + project model card
AEW2-U009-L7-Q07,Lesson 7,Project Rehearsal,true_false,The project needs a snack card and a short voice line.,True,False,Pre-A1.2,PRJ portfolio evidence,card and voice,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,IMG16/IMG17 + project model card
AEW2-U009-L7-Q08,Lesson 7,Project Rehearsal,choose_best_reply,Helper: Hello. Learner: ____,"I want an orange and water, please.",Here you are. | Thank you. | Look and point.,Pre-A1.2,PRJ role-play line,"I want an orange and water, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-02,IMG16/IMG17 + project model card
AEW2-U009-L7-Q09,Lesson 7,Project Rehearsal,choose_best_reply,"Learner: I want a cookie and milk, please. Helper: ____",Here you are.,Thank you. | I want water. | It is green.,Pre-A1.2,PRJ helper line,Here you are.,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-ROLE-01,IMG16/IMG17 + project model card
AEW2-U009-L7-Q10,Lesson 7,Project Rehearsal,error_correction,Fix the project line: I want banana and juice please.,"I want a banana and juice, please.",,Pre-A1.2,PRJ project line,"I want a banana and juice, please.",Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-02,IMG16/IMG17 + project model card
AEW2-U009-L7-Q11,Lesson 7,Project Rehearsal,matching,Match the card part.,"snack=a sandwich; drink=milk; line=I want a sandwich and milk, please.",,Pre-A1.2,PRJ card parts,snack; drink; line,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,IMG16/IMG17 + project model card
AEW2-U009-L7-Q12,Lesson 7,Project Rehearsal,mcq,Choose the progress line for this unit.,I can ask politely.,I can tell a long story. | I can compare camps. | I can give directions.,Pre-A1.2,STR confidence check,I can ask politely.,Speaking prep,medium,sequence/role-play confusion,AEW2-U009-Repair-PROJ-03,IMG16/IMG17 + project model card
AEW2-U009-W-Q01,Watch,Toto and the Snack Card,mcq,What is the video mainly about?,The team chooses snacks politely.,The team plays with toys. | The team counts to twenty. | The team talks about weather.,Pre-A1.2,LST main idea,The team chooses snacks politely.,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q02,Watch,Toto and the Snack Card,mcq,Who wants an apple?,Leo,Mia | Emma | Toto,Pre-A1.2,LST detail,Leo,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q03,Watch,Toto and the Snack Card,mcq,What drink does Mia want?,juice,water | milk | banana,Pre-A1.2,LST detail,juice,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q04,Watch,Toto and the Snack Card,mcq,What snack does Emma want?,sandwich,apple | orange | cookie,Pre-A1.2,LST detail,sandwich,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q05,Watch,Toto and the Snack Card,sequence,Put the video choices in order.,Leo apple | Mia juice | Emma sandwich | Thank you,,Pre-A1.2,LST sequence,Leo apple | Mia juice | Emma sandwich | Thank you,Listening,medium,sequence/role-play confusion,AEW2-U009-Repair-WATCH-02,Watch script + Unit 9 images
AEW2-U009-W-Q06,Watch,Toto and the Snack Card,true_false,Toto sits by the table.,True,False,Pre-A1.2,LST detail,Toto,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q07,Watch,Toto and the Snack Card,gap_fill,"Complete the caption: I want an apple, _____.",please,,Pre-A1.2,"CHK I want ..., please.",please,Listening,easy,sequence/role-play confusion,AEW2-U009-Repair-WATCH-03,Watch script + Unit 9 images
AEW2-U009-W-Q08,Watch,Toto and the Snack Card,gap_fill,"Complete the caption: I want _____, please.",juice,,Pre-A1.2,VOC drink words,juice,Listening,easy,vocabulary confusion,AEW2-U009-Repair-WATCH-01,Watch script + Unit 9 images
AEW2-U009-W-Q09,Watch,Toto and the Snack Card,mcq,Which chunk is in the video?,an apple,a apple | apple an | apple a,Pre-A1.2,GRM a/an fixed chunks,an apple,Listening,medium,a/an chunk error,AEW2-U009-Repair-AAN-01,Watch script + Unit 9 images
AEW2-U009-W-Q10,Watch,Toto and the Snack Card,mcq,Which words are polite?,please and thank you,banana and cookie | water and milk | head and hand,Pre-A1.2,REG polite asking,please and thank you,Listening,medium,politeness omission,AEW2-U009-Repair-POLITE-02,Watch script + Unit 9 images
AEW2-U009-W-Q11,Watch,Toto and the Snack Card,mcq,Which line helps the project?,"I want a snack and a drink, please.",Where is the toy? | Touch your ear. | How many books?,Pre-A1.2,PRJ project connection,"I want a snack and a drink, please.",Listening,medium,sequence/role-play confusion,AEW2-U009-Repair-WATCH-04,Watch script + Unit 9 images
