item_id,section,level,quiz_type,kp_focus,prompt,option_a,option_b,option_c,correct_answer,try_again_feedback,correct_feedback,image_ref,audio_ref
U3-L1-12,L1,Pre-A1.1,listen_choose,numbers 0–5,Listen: “five.” Choose the number.,3,4,5,5,"Try again. Look, count, and choose again.",Correct answer: 5,Image 3,audio/l1_12.mp3
U3-L2-01,L2,Pre-A1.1,count_and_choose,numbers 6–10,Look: 6 flowers. Choose the number.,6,8,10,6,"Try again. Look, count, and choose again.",Correct answer: 6,Image 4,audio/l2_01.mp3
U3-L2-02,L2,Pre-A1.1,count_and_choose,numbers 6–10,Look: 7 stars. Choose the number.,5,7,9,7,"Try again. Look, count, and choose again.",Correct answer: 7,Image 4,audio/l2_02.mp3
U3-L2-03,L2,Pre-A1.1,count_and_choose,numbers 6–10,Look: 8 leaves. Choose the number.,6,8,10,8,"Try again. Look, count, and choose again.",Correct answer: 8,Image 4,audio/l2_03.mp3
U3-L2-04,L2,Pre-A1.1,count_and_choose,numbers 6–10,Look: 9 balls. Choose the number.,7,8,9,9,"Try again. Look, count, and choose again.",Correct answer: 9,Image 4,audio/l2_04.mp3
U3-L2-05,L2,Pre-A1.1,count_and_choose,numbers 6–10,Look: number 10. Choose the number.,6,9,10,10,"Try again. Look, count, and choose again.",Correct answer: 10,Image 4,audio/l2_05.mp3
U3-L2-06,L2,Pre-A1.1,word_to_number,numbers 6–10,Choose the number word: 6 = ___.,six,seven,ten,six,"Try again. Look, count, and choose again.",Correct answer: six,Image 5,audio/l2_06.mp3
U3-L2-07,L2,Pre-A1.1,word_to_number,numbers 6–10,Choose the number word: 8 = ___.,six,eight,nine,eight,"Try again. Look, count, and choose again.",Correct answer: eight,Image 5,audio/l2_07.mp3
U3-L2-08,L2,Pre-A1.1,word_to_number,numbers 6–10,Choose the number word: 10 = ___.,ten,two,zero,ten,"Try again. Look, count, and choose again.",Correct answer: ten,Image 5,audio/l2_08.mp3
U3-L2-09,L2,Pre-A1.1,sequence,numbers 6–10,"Choose the next number: 6, 7, 8, ___.",5,9,10,9,"Try again. Look, count, and choose again.",Correct answer: 9,Image 5,audio/l2_09.mp3
U3-L2-10,L2,Pre-A1.1,sequence,numbers 6–10,"Choose the next number: 8, 9, ___.",6,7,10,10,"Try again. Look, count, and choose again.",Correct answer: 10,Image 5,audio/l2_10.mp3
U3-L2-11,L2,Pre-A1.1,phrase_match,numbers 6–10; plural noticing,Look: 7 stars. Choose the phrase.,seven stars,seven star,six flowers,seven stars,"Try again. Look, count, and choose again.",Correct answer: seven stars,Image 4,audio/l2_11.mp3
U3-L2-12,L2,Pre-A1.1,listen_choose,numbers 6–10,Listen: “nine.” Choose the number.,7,9,10,9,"Try again. Look, count, and choose again.",Correct answer: 9,Image 5,audio/l2_12.mp3
U3-L3-01,L3,Pre-A1.1,question_match,How many?,Choose the counting question.,How many?,Hello.,Goodbye.,How many?,"Try again. Look, count, and choose again.",Correct answer: How many?,Image 6,audio/l3_01.mp3
U3-L3-02,L3,Pre-A1.1,qa_match,How many?,How many stars? Look: 3 stars.,Three stars.,One star.,Five balls.,Three stars.,"Try again. Look, count, and choose again.",Correct answer: Three stars.,Image 7,audio/l3_02.mp3
U3-L3-03,L3,Pre-A1.1,qa_match,How many?,How many flowers? Look: 4 flowers.,Two flowers.,Four flowers.,Ten stars.,Four flowers.,"Try again. Look, count, and choose again.",Correct answer: Four flowers.,Image 6,audio/l3_03.mp3
U3-L3-04,L3,Pre-A1.1,qa_match,How many?,How many balls? Look: 5 balls.,Five balls.,Six balls.,Three apples.,Five balls.,"Try again. Look, count, and choose again.",Correct answer: Five balls.,Image 7,audio/l3_04.mp3
U3-L3-05,L3,Pre-A1.1,qa_match,How many?,How many books? Look: 7 books.,Seven books.,Six books.,Two books.,Seven books.,"Try again. Look, count, and choose again.",Correct answer: Seven books.,Image 7,audio/l3_05.mp3
U3-L3-06,L3,Pre-A1.1,qa_match,How many?,How many apples? Look: 8 apples.,Eight apples.,Nine apples.,Ten apples.,Eight apples.,"Try again. Look, count, and choose again.",Correct answer: Eight apples.,Image 7,audio/l3_06.mp3
U3-L3-07,L3,Pre-A1.1,dialogue_completion,How many?,Mia: How many? Leo: ___ Look: 6 stars.,Six.,Two.,Ten.,Six.,"Try again. Look, count, and choose again.",Correct answer: Six.,Image 6,audio/l3_07.mp3
U3-L3-08,L3,Pre-A1.1,question_match,How many?,Choose the question for counting flowers.,How many flowers?,"Goodbye, flowers.",I’m flowers.,How many flowers?,"Try again. Look, count, and choose again.",Correct answer: How many flowers?,Image 6,audio/l3_08.mp3
U3-L3-09,L3,Pre-A1.1,qa_match,How many?; plural noticing,How many bags? Look: 2 bags.,Two bags.,One bag.,Five balls.,Two bags.,"Try again. Look, count, and choose again.",Correct answer: Two bags.,Image 7,audio/l3_09.mp3
U3-L3-10,L3,Pre-A1.1,sequence,numbers 1–10,"Choose the next number: 7, 8, 9, ___.",6,10,0,10,"Try again. Look, count, and choose again.",Correct answer: 10,Image 7,audio/l3_10.mp3
U3-L3-11,L3,Pre-A1.1,true_false,How many?,Look: 3 balls. The answer is “Three balls.”,Yes,No,Try again,Yes,"Try again. Look, count, and choose again.",Correct answer: Yes,Image 7,audio/l3_11.mp3
U3-L3-12,L3,Pre-A1.1,qa_match,How many?,How many stars? Look: 10 stars.,Ten stars.,Eight stars.,One star.,Ten stars.,"Try again. Look, count, and choose again.",Correct answer: Ten stars.,Image 7,audio/l3_12.mp3
U3-L4-01,L4,Pre-A1.1,count_and_choose,numbers 11–15,Look: 11 leaves. Choose the number.,11,12,15,11,"Try again. Look, count, and choose again.",Correct answer: 11,Image 8,audio/l4_01.mp3
U3-L4-02,L4,Pre-A1.1,count_and_choose,numbers 11–15,Look: 12 stars. Choose the number.,10,12,14,12,"Try again. Look, count, and choose again.",Correct answer: 12,Image 8,audio/l4_02.mp3
U3-L4-03,L4,Pre-A1.1,count_and_choose,numbers 11–15,Look: 13 flowers. Choose the number.,11,13,15,13,"Try again. Look, count, and choose again.",Correct answer: 13,Image 8,audio/l4_03.mp3
U3-L4-04,L4,Pre-A1.1,count_and_choose,numbers 11–15,Look: 14 stones. Choose the number.,12,14,15,14,"Try again. Look, count, and choose again.",Correct answer: 14,Image 8,audio/l4_04.mp3
U3-L4-05,L4,Pre-A1.1,count_and_choose,numbers 11–15,Look: number 15. Choose the number.,13,14,15,15,"Try again. Look, count, and choose again.",Correct answer: 15,Image 8,audio/l4_05.mp3
U3-L4-06,L4,Pre-A1.1,word_to_number,numbers 11–15,Choose the number word: 11 = ___.,eleven,twelve,fifteen,eleven,"Try again. Look, count, and choose again.",Correct answer: eleven,Image 9,audio/l4_06.mp3
U3-L4-07,L4,Pre-A1.1,word_to_number,numbers 11–15,Choose the number word: 12 = ___.,twelve,ten,twenty,twelve,"Try again. Look, count, and choose again.",Correct answer: twelve,Image 9,audio/l4_07.mp3
U3-L4-08,L4,Pre-A1.1,word_to_number,numbers 11–15,Choose the number word: 15 = ___.,five,fifteen,fifty,fifteen,"Try again. Look, count, and choose again.",Correct answer: fifteen,Image 9,audio/l4_08.mp3
U3-L4-09,L4,Pre-A1.1,sequence,numbers 11–15,"Choose the next number: 11, 12, 13, ___.",14,15,10,14,"Try again. Look, count, and choose again.",Correct answer: 14,Image 9,audio/l4_09.mp3
U3-L4-10,L4,Pre-A1.1,sequence,numbers 11–15,"Choose the next number: 13, 14, ___.",11,12,15,15,"Try again. Look, count, and choose again.",Correct answer: 15,Image 9,audio/l4_10.mp3
U3-L4-11,L4,Pre-A1.1,phrase_match,numbers 11–15; plural noticing,Look: 13 flowers. Choose the phrase.,thirteen flowers,thirteen flower,three flowers,thirteen flowers,"Try again. Look, count, and choose again.",Correct answer: thirteen flowers,Image 9,audio/l4_11.mp3
U3-L4-12,L4,Pre-A1.1,listen_choose,numbers 11–15,Listen: “fourteen.” Choose the number.,12,14,15,14,"Try again. Look, count, and choose again.",Correct answer: 14,Image 9,audio/l4_12.mp3
U3-L5-01,L5,Pre-A1.1,count_and_choose,numbers 16–20,Look: 16 flowers. Choose the number.,16,18,20,16,"Try again. Look, count, and choose again.",Correct answer: 16,Image 10,audio/l5_01.mp3
U3-L5-02,L5,Pre-A1.1,count_and_choose,numbers 16–20,Look: 17 stars. Choose the number.,15,17,19,17,"Try again. Look, count, and choose again.",Correct answer: 17,Image 10,audio/l5_02.mp3
U3-L5-03,L5,Pre-A1.1,count_and_choose,numbers 16–20,Look: 18 leaves. Choose the number.,16,18,20,18,"Try again. Look, count, and choose again.",Correct answer: 18,Image 10,audio/l5_03.mp3
U3-L5-04,L5,Pre-A1.1,count_and_choose,numbers 16–20,Look: 19 stones. Choose the number.,17,19,20,19,"Try again. Look, count, and choose again.",Correct answer: 19,Image 10,audio/l5_04.mp3
U3-L5-05,L5,Pre-A1.1,count_and_choose,numbers 16–20,Look: number 20. Choose the number.,12,18,20,20,"Try again. Look, count, and choose again.",Correct answer: 20,Image 10,audio/l5_05.mp3
U3-L5-06,L5,Pre-A1.1,word_to_number,numbers 16–20,Choose the number word: 16 = ___.,six,sixteen,sixty,sixteen,"Try again. Look, count, and choose again.",Correct answer: sixteen,Image 11,audio/l5_06.mp3
U3-L5-07,L5,Pre-A1.1,word_to_number,numbers 16–20,Choose the number word: 17 = ___.,seventeen,seven,eleven,seventeen,"Try again. Look, count, and choose again.",Correct answer: seventeen,Image 11,audio/l5_07.mp3
U3-L5-08,L5,Pre-A1.1,word_to_number,numbers 16–20,Choose the number word: 20 = ___.,twelve,twenty,two,twenty,"Try again. Look, count, and choose again.",Correct answer: twenty,Image 11,audio/l5_08.mp3
U3-L5-09,L5,Pre-A1.1,sequence,numbers 16–20,"Choose the next number: 16, 17, 18, ___.",15,19,20,19,"Try again. Look, count, and choose again.",Correct answer: 19,Image 11,audio/l5_09.mp3
U3-L5-10,L5,Pre-A1.1,sequence,numbers 16–20,"Choose the next number: 18, 19, ___.",16,17,20,20,"Try again. Look, count, and choose again.",Correct answer: 20,Image 11,audio/l5_10.mp3
U3-L5-11,L5,Pre-A1.1,phrase_match,numbers 16–20; plural noticing,Look: 20 stars. Choose the phrase.,twenty stars,twenty star,two stars,twenty stars,"Try again. Look, count, and choose again.",Correct answer: twenty stars,Image 11,audio/l5_11.mp3
U3-L5-12,L5,Pre-A1.1,listen_choose,numbers 16–20,Listen: “eighteen.” Choose the number.,8,18,20,18,"Try again. Look, count, and choose again.",Correct answer: 18,Image 11,audio/l5_12.mp3
U3-L6-01,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 1 star. Choose the phrase.,one star,one stars,two stars,one star,"Try again. Look, count, and choose again.",Correct answer: one star,Image 12,audio/l6_01.mp3
U3-L6-02,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 2 stars. Choose the phrase.,two star,two stars,one star,two stars,"Try again. Look, count, and choose again.",Correct answer: two stars,Image 12,audio/l6_02.mp3
U3-L6-03,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 1 book. Choose the phrase.,one book,one books,two books,one book,"Try again. Look, count, and choose again.",Correct answer: one book,Image 13,audio/l6_03.mp3
U3-L6-04,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 3 books. Choose the phrase.,three book,three books,one book,three books,"Try again. Look, count, and choose again.",Correct answer: three books,Image 13,audio/l6_04.mp3
U3-L6-05,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 1 apple. Choose the phrase.,one apple,one apples,three apples,one apple,"Try again. Look, count, and choose again.",Correct answer: one apple,Image 13,audio/l6_05.mp3
U3-L6-06,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 4 apples. Choose the phrase.,four apple,four apples,one apple,four apples,"Try again. Look, count, and choose again.",Correct answer: four apples,Image 13,audio/l6_06.mp3
U3-L6-07,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 1 bag. Choose the phrase.,one bag,one bags,two bags,one bag,"Try again. Look, count, and choose again.",Correct answer: one bag,Image 13,audio/l6_07.mp3
U3-L6-08,L6,Pre-A1.1,singular_plural,plural -s noticing,Look: 2 bags. Choose the phrase.,two bag,two bags,one bag,two bags,"Try again. Look, count, and choose again.",Correct answer: two bags,Image 13,audio/l6_08.mp3
U3-L6-09,L6,Pre-A1.1,one_more,plural -s noticing,Look: 5 balls. Choose.,one,more than one,zero,more than one,"Try again. Look, count, and choose again.",Correct answer: more than one,Image 12,audio/l6_09.mp3
U3-L6-10,L6,Pre-A1.1,one_more,plural -s noticing,Look: 1 flower. Choose.,one,more than one,ten,one,"Try again. Look, count, and choose again.",Correct answer: one,Image 13,audio/l6_10.mp3
U3-L6-11,L6,Pre-A1.1,qa_match,How many?; plural -s noticing,How many flowers? Look: 4 flowers.,Four flowers.,Four flower.,One flower.,Four flowers.,"Try again. Look, count, and choose again.",Correct answer: Four flowers.,Image 13,audio/l6_11.mp3
U3-L6-12,L6,Pre-A1.1,phrase_match,plural -s noticing,Choose the good pair.,one ball / four balls,one balls / four ball,two ball / one balls,one ball / four balls,"Try again. Look, count, and choose again.",Correct answer: one ball / four balls,Image 12,audio/l6_12.mp3
U3-L7-01,L7,Pre-A1.1,sequence,numbers 0–20,"Choose the next number: 4, 5, ___.",6,7,8,6,"Try again. Look, count, and choose again.",Correct answer: 6,Image 15,audio/l7_01.mp3
U3-L7-02,L7,Pre-A1.1,sequence,numbers 0–20,"Choose the next number: 9, 10, ___.",0,11,20,11,"Try again. Look, count, and choose again.",Correct answer: 11,Image 15,audio/l7_02.mp3
U3-L7-03,L7,Pre-A1.1,count_and_choose,numbers 0–20,Look: no apples. How many?,0,1,2,0,"Try again. Look, count, and choose again.",Correct answer: 0,Image 15,audio/l7_03.mp3
U3-L7-04,L7,Pre-A1.1,count_and_choose,numbers 0–20,Look: 12 stars. Choose the number.,10,12,20,12,"Try again. Look, count, and choose again.",Correct answer: 12,Image 14,audio/l7_04.mp3
U3-L7-05,L7,Pre-A1.1,question_match,How many?,Choose the counting question.,How many?,Hello.,I’m Toto.,How many?,"Try again. Look, count, and choose again.",Correct answer: How many?,Image 14,audio/l7_05.mp3
U3-L7-06,L7,Pre-A1.1,singular_plural,plural -s noticing,Look: 1 book. Choose the phrase.,one book,one books,two books,one book,"Try again. Look, count, and choose again.",Correct answer: one book,Image 14,audio/l7_06.mp3
U3-L7-07,L7,Pre-A1.1,count_and_choose,numbers 0–20,Look: number 20. Choose the number.,12,15,20,20,"Try again. Look, count, and choose again.",Correct answer: 20,Image 14,audio/l7_07.mp3
U3-L7-08,L7,Pre-A1.1,word_to_number,numbers 0–20,Choose the number word: 15 = ___.,five,fifteen,fifty,fifteen,"Try again. Look, count, and choose again.",Correct answer: fifteen,Image 15,audio/l7_08.mp3
U3-L7-09,L7,Pre-A1.1,phrase_match,How many?; plural -s noticing,Look: 3 apples. Choose the phrase.,three apples,three apple,one apple,three apples,"Try again. Look, count, and choose again.",Correct answer: three apples,Image 14,audio/l7_09.mp3
U3-L7-10,L7,Pre-A1.1,unit_review,Unit 1 review,Choose the goodbye word.,Hello.,Goodbye.,How many?,Goodbye.,"Try again. Look, count, and choose again.",Correct answer: Goodbye.,Image 14,audio/l7_10.mp3
U3-L7-11,L7,Pre-A1.1,count_and_choose,numbers 0–20,Look: 14 stones. Choose the number.,13,14,15,14,"Try again. Look, count, and choose again.",Correct answer: 14,Image 15,audio/l7_11.mp3
U3-L7-12,L7,Pre-A1.1,unit_review,numbers 0–20,Choose the full unit line.,I can count 0 to 20.,I can count 0 to 5.,I can count 6 to 10.,I can count 0 to 20.,"Try again. Look, count, and choose again.",Correct answer: I can count 0 to 20.,Image 15,audio/l7_12.mp3
U3-W-01,W,Pre-A1.1,video_comprehension,Watch: main idea,The video is about ___.,stars,numbers,trail signs,numbers,"Try again. Look, count, and choose again.",Correct answer: numbers,Watch Video,audio/w_01.mp3
U3-W-02,W,Pre-A1.1,video_comprehension,Watch: numbers,Toto follows number ___.,signs,pencils,flowers,signs,"Try again. Look, count, and choose again.",Correct answer: signs,Watch Video,audio/w_02.mp3
U3-W-03,W,Pre-A1.1,video_comprehension,Watch: count 1,What does Toto see first?,one star,two books,five bags,one star,"Try again. Look, count, and choose again.",Correct answer: one star,Watch Video,audio/w_03.mp3
U3-W-04,W,Pre-A1.1,video_comprehension,Watch: How many?,How many flowers in the video line?,two flowers,ten flowers,one flower,two flowers,"Try again. Look, count, and choose again.",Correct answer: two flowers,Watch Video,audio/w_04.mp3
U3-W-05,W,Pre-A1.1,video_comprehension,Watch: count 3,Leo counts ___.,three balls,three bags,three books,three balls,"Try again. Look, count, and choose again.",Correct answer: three balls,Watch Video,audio/w_05.mp3
U3-W-06,W,Pre-A1.1,video_comprehension,Watch: count 4,Mia counts ___.,four leaves,four stars,four apples,four leaves,"Try again. Look, count, and choose again.",Correct answer: four leaves,Watch Video,audio/w_06.mp3
U3-W-07,W,Pre-A1.1,video_comprehension,Watch: count 5,Emma counts ___.,five apples,five dogs,five books,five apples,"Try again. Look, count, and choose again.",Correct answer: five apples,Watch Video,audio/w_07.mp3
U3-W-08,W,Pre-A1.1,video_sequence,Watch: 6–10,Choose the number group from the video.,"6, 7, 8, 9, 10","1, 3, 5, 7, 9","10, 9, 8, 7, 6","6, 7, 8, 9, 10","Try again. Look, count, and choose again.","Correct answer: 6, 7, 8, 9, 10",Watch Video,audio/w_08.mp3
U3-W-09,W,Pre-A1.1,video_sequence,Watch: 11–15,Choose the next group from the video.,"11, 12, 13, 14, 15","12, 14, 16, 18, 20","15, 14, 13, 12, 11","11, 12, 13, 14, 15","Try again. Look, count, and choose again.","Correct answer: 11, 12, 13, 14, 15",Watch Video,audio/w_09.mp3
U3-W-10,W,Pre-A1.1,video_sequence,Watch: 16–20,Choose the final group from the video.,"16, 17, 18, 19, 20","6, 7, 8, 9, 10","0, 1, 2, 3, 4","16, 17, 18, 19, 20","Try again. Look, count, and choose again.","Correct answer: 16, 17, 18, 19, 20",Watch Video,audio/w_10.mp3
U3-W-11,W,Pre-A1.1,video_comprehension,Watch: How many?,How many pencils?,twenty pencils,two pencils,ten pencils,twenty pencils,"Try again. Look, count, and choose again.",Correct answer: twenty pencils,Watch Video,audio/w_11.mp3
U3-W-12,W,Pre-A1.1,video_comprehension,Watch: closing,"At the end, Toto is ___.",happy,sad,angry,happy,"Try again. Look, count, and choose again.",Correct answer: happy,Watch Video,audio/w_12.mp3
U3-P-01,P,Pre-A1.1,project_readiness,project output,What do you make?,a Number Challenge Card,a counting board,a number trail sign,a Number Challenge Card,"Try again. Look, count, and choose again.",Correct answer: a Number Challenge Card,Image 18,audio/p_01.mp3
U3-P-02,P,Pre-A1.1,project_readiness,project output,What must your card show?,numbers,only stickers,only lines,numbers,"Try again. Look, count, and choose again.",Correct answer: numbers,Image 18,audio/p_02.mp3
U3-P-03,P,Pre-A1.1,project_script,Unit 1 review,Choose a good first line.,Hello. I’m ___.,How many stars?,Five balls.,Hello. I’m ___.,"Try again. Look, count, and choose again.",Correct answer: Hello. I’m ___.,Image 18,audio/p_03.mp3
U3-P-04,P,Pre-A1.1,project_script,How many?,Choose the project question.,How many stars?,Count stars.,Five stars.,How many stars?,"Try again. Look, count, and choose again.",Correct answer: How many stars?,Image 18,audio/p_04.mp3
U3-P-05,P,Pre-A1.1,project_script,How many?,Card: 3 stars. Choose the answer.,Three stars.,One star.,Five balls.,Three stars.,"Try again. Look, count, and choose again.",Correct answer: Three stars.,Image 18,audio/p_05.mp3
U3-P-06,P,Pre-A1.1,project_script,How many?,Card: 5 balls. Choose the answer.,Five balls.,Five ball.,Two flowers.,Five balls.,"Try again. Look, count, and choose again.",Correct answer: Five balls.,Image 18,audio/p_06.mp3
U3-P-07,P,Pre-A1.1,project_script,How many?,Card: 2 flowers. Choose the answer.,Two flowers.,Two flower.,One flower.,Two flowers.,"Try again. Look, count, and choose again.",Correct answer: Two flowers.,Image 18,audio/p_07.mp3
U3-P-08,P,Pre-A1.1,singular_plural,plural -s noticing,Project card: 4 balls. Choose the phrase.,four balls,four ball,one ball,four balls,"Try again. Look, count, and choose again.",Correct answer: four balls,Image 19,audio/p_08.mp3
U3-P-09,P,Pre-A1.1,singular_plural,plural -s noticing,Project card: 1 star. Choose the phrase.,one star,one stars,two stars,one star,"Try again. Look, count, and choose again.",Correct answer: one star,Image 19,audio/p_09.mp3
U3-P-10,P,Pre-A1.1,project_script,Unit 1 review,Choose a good last line.,Goodbye.,How many?,Twenty.,Goodbye.,"Try again. Look, count, and choose again.",Correct answer: Goodbye.,Image 20,audio/p_10.mp3
U3-P-11,P,Pre-A1.1,project_sequence,project script,Choose the good order.,Hello → How many? → Answer → Goodbye,Goodbye → Answer → Hello → How many?,Answer → Goodbye → How many? → Hello,Hello → How many? → Answer → Goodbye,"Try again. Look, count, and choose again.",Correct answer: Hello → How many? → Answer → Goodbye,Image 18,audio/p_11.mp3
U3-P-12,P,Pre-A1.1,project_check,portfolio evidence,A good project has ___.,"numbers, pictures, and a voice",only one blank page,"only pictures, no numbers","numbers, pictures, and a voice","Try again. Look, count, and choose again.","Correct answer: numbers, pictures, and a voice",Image 20,audio/p_12.mp3
