audio_key,title,text,spoken_text,voice,file
"10-STORY line","Story","Emma sees a blue sign. ""Twelve!""","Emma sees a blue sign. ""Twelve!""","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-03-EMMA-SEES-A-BLUE-SIGN-TWELVE.mp3"
"10-STORY line","Story","Toto follows the signs.","Toto follows the signs.","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-04-TOTO-FOLLOWS-THE-SIGNS.mp3"
"10-STORY line","Story","They count leaves, stars, flowers, stones, and flags.","They count leaves, stars, flowers, stones, and flags.","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-05-THEY-COUNT-LEAVES-STARS-FLOWERS-STONES-AND-FLAGS.mp3"
"10-STORY line","Story","Emma says, ""We can count more!""","Emma says, ""We can count more!""","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-06-EMMA-SAYS-WE-CAN-COUNT-MORE.mp3"
"11-LISTEN whole","Listen","11 — eleven | 12 — twelve | 13 — thirteen | 14 — fourteen | 15 — fifteen","eleven | twelve | thirteen | fourteen | fifteen","section voices","assets/audio/U3-11-LISTEN-WHOLE-LISTEN.mp3"
"11-LISTEN line","Listen","11 — eleven","eleven","en-US-AnaNeural","assets/audio/U3-11-LISTEN-LINE-01-11-ELEVEN.mp3"
"11-LISTEN line","Listen","12 — twelve","twelve","en-US-AnaNeural","assets/audio/U3-11-LISTEN-LINE-02-12-TWELVE.mp3"
"11-LISTEN line","Listen","13 — thirteen","thirteen","en-US-AnaNeural","assets/audio/U3-11-LISTEN-LINE-03-13-THIRTEEN.mp3"
"11-LISTEN line","Listen","14 — fourteen","fourteen","en-US-AnaNeural","assets/audio/U3-11-LISTEN-LINE-04-14-FOURTEEN.mp3"
"11-LISTEN line","Listen","15 — fifteen","fifteen","en-US-AnaNeural","assets/audio/U3-11-LISTEN-LINE-05-15-FIFTEEN.mp3"
"12-SAY whole","Say","Eleven leaves. | Twelve stars. | Thirteen flowers. | Fourteen stones. | Fifteen flags.","Eleven leaves. | Twelve stars. | Thirteen flowers. | Fourteen stones. | Fifteen flags.","section voices","assets/audio/U3-12-SAY-WHOLE-SAY.mp3"
"12-SAY line","Say","Eleven leaves.","Eleven leaves.","en-US-AnaNeural","assets/audio/U3-12-SAY-LINE-01-ELEVEN-LEAVES.mp3"
"12-SAY line","Say","Twelve stars.","Twelve stars.","en-US-AnaNeural","assets/audio/U3-12-SAY-LINE-02-TWELVE-STARS.mp3"
"12-SAY line","Say","Thirteen flowers.","Thirteen flowers.","en-US-AnaNeural","assets/audio/U3-12-SAY-LINE-03-THIRTEEN-FLOWERS.mp3"
"12-SAY line","Say","Fourteen stones.","Fourteen stones.","en-US-AnaNeural","assets/audio/U3-12-SAY-LINE-04-FOURTEEN-STONES.mp3"
"12-SAY line","Say","Fifteen flags.","Fifteen flags.","en-US-AnaNeural","assets/audio/U3-12-SAY-LINE-05-FIFTEEN-FLAGS.mp3"
"13-STORY whole","Story","The friends are near the finish. | Mia waves. ""Look! 16!"" | Leo points. ""17, 18, 19!"" | Emma sees the last sign. ""20!"" | Toto runs to the finish. | The friends say, ""We can count to twenty!""","The friends are near the finish. | Mia waves. ""Look! 16!"" | Leo points. ""17, 18, 19!"" | Emma sees the last sign. ""20!"" | Toto runs to the finish. | The friends say, ""We can count to twenty!""","section voices","assets/audio/U3-13-STORY-WHOLE-STORY.mp3"
"13-STORY line","Story","The friends are near the finish.","The friends are near the finish.","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-01-THE-FRIENDS-ARE-NEAR-THE-FINISH.mp3"
"13-STORY line","Story","Mia waves. ""Look! 16!""","Mia waves. ""Look! 16!""","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-02-MIA-WAVES-LOOK-16.mp3"
"13-STORY line","Story","Leo points. ""17, 18, 19!""","Leo points. ""17, 18, 19!""","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-03-LEO-POINTS-17-18-19.mp3"
"13-STORY line","Story","Emma sees the last sign. ""20!""","Emma sees the last sign. ""20!""","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-04-EMMA-SEES-THE-LAST-SIGN-20.mp3"
"13-STORY line","Story","Toto runs to the finish.","Toto runs to the finish.","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-05-TOTO-RUNS-TO-THE-FINISH.mp3"
"13-STORY line","Story","The friends say, ""We can count to twenty!""","The friends say, ""We can count to twenty!""","en-GB-MaisieNeural","assets/audio/U3-13-STORY-LINE-06-THE-FRIENDS-SAY-WE-CAN-COUNT-TO-TWENTY.mp3"
"14-LISTEN whole","Listen","16 — sixteen | 17 — seventeen | 18 — eighteen | 19 — nineteen | 20 — twenty","sixteen | seventeen | eighteen | nineteen | twenty","section voices","assets/audio/U3-14-LISTEN-WHOLE-LISTEN.mp3"
"14-LISTEN line","Listen","16 — sixteen","sixteen","en-US-AnaNeural","assets/audio/U3-14-LISTEN-LINE-01-16-SIXTEEN.mp3"
"14-LISTEN line","Listen","17 — seventeen","seventeen","en-US-AnaNeural","assets/audio/U3-14-LISTEN-LINE-02-17-SEVENTEEN.mp3"
"14-LISTEN line","Listen","18 — eighteen","eighteen","en-US-AnaNeural","assets/audio/U3-14-LISTEN-LINE-03-18-EIGHTEEN.mp3"
"14-LISTEN line","Listen","19 — nineteen","nineteen","en-US-AnaNeural","assets/audio/U3-14-LISTEN-LINE-04-19-NINETEEN.mp3"
"14-LISTEN line","Listen","20 — twenty","twenty","en-US-AnaNeural","assets/audio/U3-14-LISTEN-LINE-05-20-TWENTY.mp3"
"15-SAY whole","Say","Sixteen flowers. | Seventeen stars. | Eighteen leaves. | Nineteen stones. | Twenty flags.","Sixteen flowers. | Seventeen stars. | Eighteen leaves. | Nineteen stones. | Twenty flags.","section voices","assets/audio/U3-15-SAY-WHOLE-SAY.mp3"
"15-SAY line","Say","Sixteen flowers.","Sixteen flowers.","en-US-AnaNeural","assets/audio/U3-15-SAY-LINE-01-SIXTEEN-FLOWERS.mp3"
"15-SAY line","Say","Seventeen stars.","Seventeen stars.","en-US-AnaNeural","assets/audio/U3-15-SAY-LINE-02-SEVENTEEN-STARS.mp3"
"15-SAY line","Say","Eighteen leaves.","Eighteen leaves.","en-US-AnaNeural","assets/audio/U3-15-SAY-LINE-03-EIGHTEEN-LEAVES.mp3"
"15-SAY line","Say","Nineteen stones.","Nineteen stones.","en-US-AnaNeural","assets/audio/U3-15-SAY-LINE-04-NINETEEN-STONES.mp3"
"15-SAY line","Say","Twenty flags.","Twenty flags.","en-US-AnaNeural","assets/audio/U3-15-SAY-LINE-05-TWENTY-FLAGS.mp3"
"16-STORY whole","Story","Leo shows one star. | Toto looks at two stars. | Leo says, ""One star. Two stars."" | Mia shows one flower. | Emma shows four flowers. | The friends sort one and more than one.","Leo shows one star. | Toto looks at two stars. | Leo says, ""One star. Two stars."" | Mia shows one flower. | Emma shows four flowers. | The friends sort one and more than one.","section voices","assets/audio/U3-16-STORY-WHOLE-STORY.mp3"
"16-STORY line","Story","Leo shows one star.","Leo shows one star.","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-01-LEO-SHOWS-ONE-STAR.mp3"
"16-STORY line","Story","Toto looks at two stars.","Toto looks at two stars.","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-02-TOTO-LOOKS-AT-TWO-STARS.mp3"
"16-STORY line","Story","Leo says, ""One star. Two stars.""","Leo says, ""One star. Two stars.""","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-03-LEO-SAYS-ONE-STAR-TWO-STARS.mp3"
"16-STORY line","Story","Mia shows one flower.","Mia shows one flower.","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-04-MIA-SHOWS-ONE-FLOWER.mp3"
"16-STORY line","Story","Emma shows four flowers.","Emma shows four flowers.","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-05-EMMA-SHOWS-FOUR-FLOWERS.mp3"
"16-STORY line","Story","The friends sort one and more than one.","The friends sort one and more than one.","en-GB-MaisieNeural","assets/audio/U3-16-STORY-LINE-06-THE-FRIENDS-SORT-ONE-AND-MORE-THAN-ONE.mp3"
"17-LISTEN whole","Listen","one star | two stars | one flower | three flowers | one ball | four balls","one star | two stars | one flower | three flowers | one ball | four balls","section voices","assets/audio/U3-17-LISTEN-WHOLE-LISTEN.mp3"
"17-LISTEN line","Listen","one star","one star","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-01-ONE-STAR.mp3"
"17-LISTEN line","Listen","two stars","two stars","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-02-TWO-STARS.mp3"
"17-LISTEN line","Listen","one flower","one flower","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-03-ONE-FLOWER.mp3"
"17-LISTEN line","Listen","three flowers","three flowers","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-04-THREE-FLOWERS.mp3"
"17-LISTEN line","Listen","one ball","one ball","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-05-ONE-BALL.mp3"
"17-LISTEN line","Listen","four balls","four balls","en-US-AnaNeural","assets/audio/U3-17-LISTEN-LINE-06-FOUR-BALLS.mp3"
"18-SAY whole","Say","One star. Two stars. | One book. Two books. | One apple. Three apples. | One flower. Four flowers.","One star. Two stars. | One book. Two books. | One apple. Three apples. | One flower. Four flowers.","section voices","assets/audio/U3-18-SAY-WHOLE-SAY.mp3"
"18-SAY line","Say","One star. Two stars.","One star. Two stars.","en-US-AnaNeural","assets/audio/U3-18-SAY-LINE-01-ONE-STAR-TWO-STARS.mp3"
"18-SAY line","Say","One book. Two books.","One book. Two books.","en-US-AnaNeural","assets/audio/U3-18-SAY-LINE-02-ONE-BOOK-TWO-BOOKS.mp3"
"18-SAY line","Say","One apple. Three apples.","One apple. Three apples.","en-US-AnaNeural","assets/audio/U3-18-SAY-LINE-03-ONE-APPLE-THREE-APPLES.mp3"
"18-SAY line","Say","One flower. Four flowers.","One flower. Four flowers.","en-US-AnaNeural","assets/audio/U3-18-SAY-LINE-04-ONE-FLOWER-FOUR-FLOWERS.mp3"
"19-STORY whole","Story","It is the final number challenge. | Leo finds the number line. | Mia asks, ""How many?"" | Emma matches pictures and numbers. | Toto sits in the middle of the trail map. | The friends say, ""Great job! We can count!""","It is the final number challenge. | Leo finds the number line. | Mia asks, ""How many?"" | Emma matches pictures and numbers. | Toto sits in the middle of the trail map. | The friends say, ""Great job! We can count!""","section voices","assets/audio/U3-19-STORY-WHOLE-STORY.mp3"
"19-STORY line","Story","It is the final number challenge.","It is the final number challenge.","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-01-IT-IS-THE-FINAL-NUMBER-CHALLENGE.mp3"
"19-STORY line","Story","Leo finds the number line.","Leo finds the number line.","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-02-LEO-FINDS-THE-NUMBER-LINE.mp3"
"19-STORY line","Story","Mia asks, ""How many?""","Mia asks, ""How many?""","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-03-MIA-ASKS-HOW-MANY.mp3"
"19-STORY line","Story","Emma matches pictures and numbers.","Emma matches pictures and numbers.","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-04-EMMA-MATCHES-PICTURES-AND-NUMBERS.mp3"
"19-STORY line","Story","Toto sits in the middle of the trail map.","Toto sits in the middle of the trail map.","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-05-TOTO-SITS-IN-THE-MIDDLE-OF-THE-TRAIL-MAP.mp3"
"19-STORY line","Story","The friends say, ""Great job! We can count!""","The friends say, ""Great job! We can count!""","en-GB-MaisieNeural","assets/audio/U3-19-STORY-LINE-06-THE-FRIENDS-SAY-GREAT-JOB-WE-CAN-COUNT.mp3"
"20-LISTEN whole","Listen","0 to 20 | How many? | Count and check. | One or more? | Great job!","0 to 20 | How many? | Count and check. | One or more? | Great job!","section voices","assets/audio/U3-20-LISTEN-WHOLE-LISTEN.mp3"
"20-LISTEN line","Listen","0 to 20","0 to 20","en-US-AnaNeural","assets/audio/U3-20-LISTEN-LINE-01-0-TO-20.mp3"
"20-LISTEN line","Listen","How many?","How many?","en-US-AnaNeural","assets/audio/U3-20-LISTEN-LINE-02-HOW-MANY.mp3"
"20-LISTEN line","Listen","Count and check.","Count and check.","en-US-AnaNeural","assets/audio/U3-20-LISTEN-LINE-03-COUNT-AND-CHECK.mp3"
"20-LISTEN line","Listen","One or more?","One or more?","en-US-AnaNeural","assets/audio/U3-20-LISTEN-LINE-04-ONE-OR-MORE.mp3"
"20-LISTEN line","Listen","Great job!","Great job!","en-US-AnaNeural","assets/audio/U3-20-LISTEN-LINE-05-GREAT-JOB.mp3"
"21-SAY whole","Say","How many stars? | Twelve stars. | How many flags? | Twenty flags. | Goodbye, Number Trail!","How many stars? | Twelve stars. | How many flags? | Twenty flags. | Goodbye, Number Trail!","section voices","assets/audio/U3-21-SAY-WHOLE-SAY.mp3"
"21-SAY line","Say","How many stars?","How many stars?","en-US-AnaNeural","assets/audio/U3-21-SAY-LINE-01-HOW-MANY-STARS.mp3"
"21-SAY line","Say","Twelve stars.","Twelve stars.","en-US-AnaNeural","assets/audio/U3-21-SAY-LINE-02-TWELVE-STARS.mp3"
"21-SAY line","Say","How many flags?","How many flags?","en-US-AnaNeural","assets/audio/U3-21-SAY-LINE-03-HOW-MANY-FLAGS.mp3"
"21-SAY line","Say","Twenty flags.","Twenty flags.","en-US-AnaNeural","assets/audio/U3-21-SAY-LINE-04-TWENTY-FLAGS.mp3"
"21-SAY line","Say","Goodbye, Number Trail!","Goodbye, Number Trail!","en-US-AnaNeural","assets/audio/U3-21-SAY-LINE-05-GOODBYE-NUMBER-TRAIL.mp3"
"22-PROJECT-MODEL whole","Project Model","Hello. I'm ___. | How many stars? Three stars. | How many balls? Five balls. | How many flowers? Two flowers. | Goodbye.","Hello. I'm ___. | How many stars? Three stars. | How many balls? Five balls. | How many flowers? Two flowers. | Goodbye.","section voices","assets/audio/U3-22-PROJECT-MODEL-WHOLE-PROJECT-MODEL.mp3"
"22-PROJECT-MODEL line","Project Model","Hello. I'm ___.","Hello. I'm ___.","en-US-AnaNeural","assets/audio/U3-22-PROJECT-MODEL-LINE-01-HELLO-I-M.mp3"
"22-PROJECT-MODEL line","Project Model","How many stars? Three stars.","How many stars? Three stars.","en-US-AnaNeural","assets/audio/U3-22-PROJECT-MODEL-LINE-02-HOW-MANY-STARS-THREE-STARS.mp3"
"22-PROJECT-MODEL line","Project Model","How many balls? Five balls.","How many balls? Five balls.","en-US-AnaNeural","assets/audio/U3-22-PROJECT-MODEL-LINE-03-HOW-MANY-BALLS-FIVE-BALLS.mp3"
"22-PROJECT-MODEL line","Project Model","How many flowers? Two flowers.","How many flowers? Two flowers.","en-US-AnaNeural","assets/audio/U3-22-PROJECT-MODEL-LINE-04-HOW-MANY-FLOWERS-TWO-FLOWERS.mp3"
"22-PROJECT-MODEL line","Project Model","Goodbye.","Goodbye.","en-US-AnaNeural","assets/audio/U3-22-PROJECT-MODEL-LINE-05-GOODBYE.mp3"
