audio_id,location,text_or_script,role,status,moodle_relative_path,media_server_recommended_path,notes
AEW2-U001-L4-LISTEN,Lesson 4,Hello. / Hi. / Goodbye. / Bye.,lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L4-LISTEN.mp3,placeholder only
AEW2-U001-AI-L4-MODEL,Lesson 4 AI Checker,Goodbye. or Bye.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L4-MODEL.mp3,placeholder only
AEW2-U001-L5-LISTEN,Lesson 5,"Hello, Leo. / Hi, Mia. / Hello, Emma. / Hello, Toto.",lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L5-LISTEN.mp3,placeholder only
AEW2-U001-AI-L5-MODEL,Lesson 5 AI Checker,"Hello, Leo. / Hi, Mia. / Hello, Emma. / Hello, Toto.",AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L5-MODEL.mp3,placeholder only
AEW2-U001-L6-LISTEN,Lesson 6,I’m Leo. / I’m Mia. / I’m Emma.,lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L6-LISTEN.mp3,placeholder only
AEW2-U001-AI-L6-MODEL,Lesson 6 AI Checker,Learner name + I’m ___ phrase.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L6-MODEL.mp3,placeholder only
AEW2-U001-L7-LISTEN,Lesson 7,Hello. I’m Leo. Goodbye. / Hi. I’m Mia. Bye. / Hello. I’m Emma. Goodbye.,lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L7-LISTEN.mp3,placeholder only
AEW2-U001-AI-L7-MODEL,Lesson 7 AI Checker,Hello. I’m ___. Goodbye.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L7-MODEL.mp3,placeholder only
AEW2-U001-WATCH-SCRIPT,Watch,"Hello! I’m Leo. Hi! I’m Mia. Hello! I’m Emma. Hello, Toto. Goodbye!",watch script block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WATCH-SCRIPT.mp3,placeholder only
AEW2-U001-PROJECT-MODEL,Final Project,Hello. I’m ___. Goodbye.,project model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-PROJECT-MODEL.mp3,placeholder only
U1L1P02-AUDIO,Lesson 1,Listen: “Hello.” Choose the word you hear.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L1P02-AUDIO.mp3,placeholder only
U1L1P10-AUDIO,Lesson 1,Listen: “Hi!” Choose the matching picture.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L1P10-AUDIO.mp3,placeholder only
U1L2P03-AUDIO,Lesson 2,Listen: “I’m Mia.” Choose the name.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L2P03-AUDIO.mp3,placeholder only
U1L2P11-AUDIO,Lesson 2,Listen: “I’m Emma.” Choose the phrase.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L2P11-AUDIO.mp3,placeholder only
U1L3P06-AUDIO,Lesson 3,Listen: “What’s your name?” Choose the phrase.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L3P06-AUDIO.mp3,placeholder only
U1L4P03-AUDIO,Lesson 4,Listen: “Bye.” Choose the word.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L4P03-AUDIO.mp3,placeholder only
U1L5P07-AUDIO,Lesson 5,Listen: “I’m Emma.” Choose the character.,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L5P07-AUDIO.mp3,placeholder only
U1L7P07-AUDIO,Lesson 7,Listen: “Hello. I’m Emma. Goodbye.” What parts are included?,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1L7P07-AUDIO.mp3,placeholder only
U1W01-AUDIO,Watch,What word do you hear first?,practice item audio prompt,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/U1W01-AUDIO.mp3,placeholder only
