id,section,lesson_number,lesson_title,ordinal_in_section,question_type,kp_target,prompt,choice_a,choice_b,choice_c,correct_letter,correct_answer,repair_id,repair_text,image_ids,audio_id
U1L1P11,Lesson 1,1,Say Hello,11,Scene choice,Greeting recognition and production,A child comes into the room. Choose the greeting.,Hello.,Goodbye.,Bye.,A,Hello.,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P12,Lesson 1,1,Say Hello,12,Repair choice,Greeting recognition and production,The child meets a friend and says “Goodbye.” Choose the better word.,Hello,Name,Toto,A,Hello,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L2P01,Lesson 2,2,I’m Leo,1,Picture choice,I’m + name as a memorized chunk,Leo holds a name card. Choose the phrase.,I’m Leo.,I’m Mia.,Goodbye.,A,I’m Leo.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P02,Lesson 2,2,I’m Leo,2,Cloze,I’m + name as a memorized chunk,Complete: “___ Leo.”,I’m,Hi,Bye,A,I’m,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P03,Lesson 2,2,I’m Leo,3,Audio choice,I’m + name as a memorized chunk,Listen: “I’m Mia.” Choose the name.,Leo,Mia,Emma,B,Mia,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,U1L2P03-AUDIO
U1L2P04,Lesson 2,2,I’m Leo,4,Match,I’m + name as a memorized chunk,Match the phrase to Emma.,I’m Leo.,I’m Mia.,I’m Emma.,C,I’m Emma.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P05,Lesson 2,2,I’m Leo,5,Word order,I’m + name as a memorized chunk,Put the words in order.,Leo I’m,I’m Leo,Leo Hello,B,I’m Leo,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P06,Lesson 2,2,I’m Leo,6,Phrase choice,I’m + name as a memorized chunk,Choose the good name phrase.,I’m Leo.,Leo I’m.,Goodbye Leo.,A,I’m Leo.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P07,Lesson 2,2,I’m Leo,7,Picture choice,I’m + name as a memorized chunk,Mia points to herself. Choose the phrase.,I’m Emma.,I’m Mia.,I’m Toto.,B,I’m Mia.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P08,Lesson 2,2,I’m Leo,8,Picture choice,I’m + name as a memorized chunk,Leo points to himself. Choose the phrase.,I’m Leo.,I’m Emma.,Bye.,A,I’m Leo.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P09,Lesson 2,2,I’m Leo,9,Cloze,I’m + name as a memorized chunk,Complete: “Hello. I’m ___.”,Leo,Hello,Goodbye,A,Leo,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P10,Lesson 2,2,I’m Leo,10,Model choice,I’m + name as a memorized chunk,Which card is correct for Mia?,I’m Mia.,I’m Leo.,Goodbye.,A,I’m Mia.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L2P11,Lesson 2,2,I’m Leo,11,Audio choice,I’m + name as a memorized chunk,Listen: “I’m Emma.” Choose the phrase.,I’m Emma.,I’m Mia.,Hi.,A,I’m Emma.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,U1L2P11-AUDIO
U1L2P12,Lesson 2,2,I’m Leo,12,Repair choice,I’m + name as a memorized chunk,Fix: “Hello. Leo.”,Hello. I’m Leo.,Hello. Bye.,I’m Goodbye.,A,Hello. I’m Leo.,U1-RP-IM-NAME,Put I’m before the name. Say: “I’m Leo.”,AEW2-U001-IMG-005;AEW2-U001-IMG-006,
U1L3P01,Lesson 3,3,What’s Your Name?,1,Phrase choice,Fixed name question + answer,Choose the question for a name.,What’s your name?,Goodbye.,I’m Leo.,A,What’s your name?,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P02,Lesson 3,3,What’s Your Name?,2,Response choice,Fixed name question + answer,"Mia asks, “What’s your name?” Choose Leo’s answer.",I’m Leo.,Goodbye.,What’s your name?,A,I’m Leo.,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P03,Lesson 3,3,What’s Your Name?,3,Dialogue order,Fixed name question + answer,Put the dialogue in order.,Hello → What’s your name? → I’m Leo.,I’m Leo → Goodbye → Hello,Name → Hi → Bye,A,Hello → What’s your name? → I’m Leo.,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P04,Lesson 3,3,What’s Your Name?,4,Match,Fixed name question + answer,Match the question to the answer.,What’s your name? → I’m Mia.,Goodbye → I’m Mia.,Hi → Bye.,A,What’s your name? → I’m Mia.,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P05,Lesson 3,3,What’s Your Name?,5,Cloze,Fixed name question + answer,Complete: “What’s your ___?”,name,Leo,bye,A,name,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P06,Lesson 3,3,What’s Your Name?,6,Audio choice,Fixed name question + answer,Listen: “What’s your name?” Choose the phrase.,What’s your name?,I’m Emma.,Goodbye.,A,What’s your name?,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,U1L3P06-AUDIO
U1L3P07,Lesson 3,3,What’s Your Name?,7,Picture choice,Fixed name question + answer,Choose the picture where Mia asks a question.,Mia speaks to Leo,Leo leaves,Toto sleeps,A,Mia speaks to Leo,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P08,Lesson 3,3,What’s Your Name?,8,Response choice,Fixed name question + answer,Mia asks Leo. Leo says:,I’m Leo.,I’m Mia.,Bye.,A,I’m Leo.,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P09,Lesson 3,3,What’s Your Name?,9,Phrase choice,Fixed name question + answer,Which phrase asks for a name?,What’s your name?,I’m Emma.,Hello.,A,What’s your name?,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P10,Lesson 3,3,What’s Your Name?,10,True / false,Fixed name question + answer,“Goodbye” asks for a name.,True,False,,B,False,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P11,Lesson 3,3,What’s Your Name?,11,Cloze,Fixed name question + answer,Complete: “What’s your name?” “___ Mia.”,I’m,Hello,Bye,A,I’m,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L3P12,Lesson 3,3,What’s Your Name?,12,Repair choice,Fixed name question + answer,Fix the exchange: “I’m Leo.” “What’s your name?”,What’s your name? → I’m Leo.,Goodbye → Hello.,I’m Leo → I’m Mia.,A,What’s your name? → I’m Leo.,U1-RP-QA-ORDER,Put the question first: “What’s your name?” Then answer: “I’m ___.”,AEW2-U001-IMG-007;AEW2-U001-IMG-008,
U1L4P01,Lesson 4,4,Hi and Bye,1,Scene choice,Greeting vs goodbye contrast,A child comes into the room. Choose the word.,Hello,Goodbye,Bye,A,Hello,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P02,Lesson 4,4,Hi and Bye,2,Scene choice,Greeting vs goodbye contrast,A child leaves the room. Choose the word.,Hi,Goodbye,Name,B,Goodbye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P03,Lesson 4,4,Hi and Bye,3,Audio choice,Greeting vs goodbye contrast,Listen: “Bye.” Choose the word.,Bye,Hi,Name,A,Bye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,U1L4P03-AUDIO
U1L4P04,Lesson 4,4,Hi and Bye,4,Word-picture match,Greeting vs goodbye contrast,Match goodbye to the picture.,leaving wave,name card,meeting smile,A,leaving wave,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P05,Lesson 4,4,Hi and Bye,5,Phrase choice,Greeting vs goodbye contrast,Choose the short greeting.,Hi,Bye,Name,A,Hi,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P06,Lesson 4,4,Hi and Bye,6,Phrase choice,Greeting vs goodbye contrast,Choose the short goodbye.,Hi,Bye,Hello,B,Bye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P07,Lesson 4,4,Hi and Bye,7,Cloze,Greeting vs goodbye contrast,"Complete: “___, Leo.”",Goodbye,Name,I’m,A,Goodbye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P08,Lesson 4,4,Hi and Bye,8,Sorting,Greeting vs goodbye contrast,Which pair is for leaving?,goodbye + bye,hello + hi,name + I’m,A,goodbye + bye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P09,Lesson 4,4,Hi and Bye,9,Scene choice,Greeting vs goodbye contrast,Mia comes in and smiles. Choose the word.,Hi,Bye,Goodbye,A,Hi,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P10,Lesson 4,4,Hi and Bye,10,Scene choice,Greeting vs goodbye contrast,Leo leaves and waves. Choose the word.,Hello,Bye,Name,B,Bye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P11,Lesson 4,4,Hi and Bye,11,Sequence choice,Greeting vs goodbye contrast,Choose the last word: “Hello. I’m Mia. ___.”,Goodbye,Name,What’s,A,Goodbye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L4P12,Lesson 4,4,Hi and Bye,12,Repair choice,Greeting vs goodbye contrast,A child leaves and says “Hi.” Choose the better word.,Bye,Name,I’m,A,Bye,U1-RP-HELLO-GOODBYE,Meet = hello/hi. Leave = goodbye/bye. Sort the scene cards.,AEW2-U001-IMG-009;AEW2-U001-IMG-010,
U1L5P01,Lesson 5,5,Meet the Team,1,Picture-name match,Character names + greetings,Choose Leo.,boy with glasses,girl in yellow,small dog,A,boy with glasses,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P02,Lesson 5,5,Meet the Team,2,Picture-name match,Character names + greetings,Choose Mia.,Leo,Mia,Toto,B,Mia,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P03,Lesson 5,5,Meet the Team,3,Picture-name match,Character names + greetings,Choose Emma.,Emma,Leo,Mia,A,Emma,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P04,Lesson 5,5,Meet the Team,4,Picture-name match,Character names + greetings,Choose Toto.,Mia,Emma,Toto,C,Toto,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P05,Lesson 5,5,Meet the Team,5,Phrase match,Character names + greetings,"Match “Hello, Leo.” to the character.",Leo,Mia,Emma,A,Leo,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P06,Lesson 5,5,Meet the Team,6,Phrase match,Character names + greetings,"Match “Hi, Mia.” to the character.",Toto,Mia,Leo,B,Mia,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P07,Lesson 5,5,Meet the Team,7,Audio choice,Character names + greetings,Listen: “I’m Emma.” Choose the character.,Emma,Mia,Leo,A,Emma,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,U1L5P07-AUDIO
U1L5P08,Lesson 5,5,Meet the Team,8,Character clue,Character names + greetings,Which character has glasses?,Leo,Emma,Toto,A,Leo,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P09,Lesson 5,5,Meet the Team,9,Character clue,Character names + greetings,Which character is Toto?,child,small dog,teacher,B,small dog,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P10,Lesson 5,5,Meet the Team,10,Greeting choice,Character names + greetings,Choose a greeting for Emma.,"Hello, Emma.","Goodbye, Leo.",I’m Toto.,A,"Hello, Emma.",U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P11,Lesson 5,5,Meet the Team,11,Sequence choice,Character names + greetings,Choose the team greeting set.,"Hello, Leo. Hi, Mia. Hello, Emma.","Bye, Name, What’s.",I’m Goodbye.,A,"Hello, Leo. Hi, Mia. Hello, Emma.",U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L5P12,Lesson 5,5,Meet the Team,12,Repair choice,Character names + greetings,The picture shows Leo. The card says “Mia.” Choose the fix.,Leo,Bye,Hello,A,Leo,U1-RP-CHARACTER-NAME,Match the name card to the character picture. Try again.,AEW2-U001-IMG-011;AEW2-U001-IMG-012,
U1L6P01,Lesson 6,6,My Name Card,1,Project object choice,Name card preparation; copied phrase I’m ___.,Which object is a name card?,card with a name,door,plant,A,card with a name,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P02,Lesson 6,6,My Name Card,2,Phrase choice,Name card preparation; copied phrase I’m ___.,Choose the phrase for Leo’s card.,I’m Leo.,Goodbye.,What’s?,A,I’m Leo.,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P03,Lesson 6,6,My Name Card,3,Step order,Name card preparation; copied phrase I’m ___.,Choose the correct order.,choose card → write name → say greeting,say goodbye → write hello → leave,name → bye → Toto,A,choose card → write name → say greeting,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P04,Lesson 6,6,My Name Card,4,Checklist,Name card preparation; copied phrase I’m ___.,What does a name card need?,a name,a map,a number test,A,a name,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P05,Lesson 6,6,My Name Card,5,Cloze,Name card preparation; copied phrase I’m ___.,Complete the card: “I’m ___.”,Mia,goodbye,name?,A,Mia,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P06,Lesson 6,6,My Name Card,6,Model choice,Name card preparation; copied phrase I’m ___.,Which card is correct for Emma?,I’m Emma.,Emma I’m.,Bye Emma.,A,I’m Emma.,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P07,Lesson 6,6,My Name Card,7,Phrase choice,Name card preparation; copied phrase I’m ___.,Choose the simple card phrase.,I’m Mia.,Mia hello I.,Goodbye name?,A,I’m Mia.,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P08,Lesson 6,6,My Name Card,8,Repair choice,Name card preparation; copied phrase I’m ___.,The card says “Leo.” What is missing?,I’m,Bye,Toto,A,I’m,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P09,Lesson 6,6,My Name Card,9,Project object match,Name card preparation; copied phrase I’m ___.,Match name card to the picture.,card,chair,window,A,card,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P10,Lesson 6,6,My Name Card,10,Portfolio match,Name card preparation; copied phrase I’m ___.,Which two things go together for the project?,name card + voice,plant + door,book + map,A,name card + voice,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P11,Lesson 6,6,My Name Card,11,Copy phrase,Name card preparation; copied phrase I’m ___.,Choose the phrase to copy on a name card.,I’m ___.,Goodbye?,What’s?,A,I’m ___.,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L6P12,Lesson 6,6,My Name Card,12,Project check,Name card preparation; copied phrase I’m ___.,A complete card has:,name + I’m phrase,goodbye only,no name,A,name + I’m phrase,U1-RP-NAME-CARD,Add your name and I’m ___ to the card.,AEW2-U001-IMG-013;AEW2-U001-IMG-014;AEW2-U001-IMG-015,
U1L7P01,Lesson 7,7,My Voice Greeting,1,Sequence choice,Final greeting sequence,Choose the first word.,Hello.,Name.,Goodbye.,A,Hello.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P02,Lesson 7,7,My Voice Greeting,2,Sequence choice,Final greeting sequence,Choose the name line.,I’m ___.,Bye.,What’s?,A,I’m ___.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P03,Lesson 7,7,My Voice Greeting,3,Sequence choice,Final greeting sequence,Choose the last word.,Goodbye.,Hello.,Name.,A,Goodbye.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P04,Lesson 7,7,My Voice Greeting,4,Ordering,Final greeting sequence,Put the script in order.,Hello → I’m ___ → Goodbye,Goodbye → Hello → I’m ___,I’m ___ → Goodbye → Hello,A,Hello → I’m ___ → Goodbye,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P05,Lesson 7,7,My Voice Greeting,5,Checklist,Final greeting sequence,What helps a good recording?,speak slowly and clearly,hide the card,say nothing,A,speak slowly and clearly,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P06,Lesson 7,7,My Voice Greeting,6,Strategy choice,Final greeting sequence,What can you look at while speaking?,name card,shoe,door,A,name card,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P07,Lesson 7,7,My Voice Greeting,7,Audio checklist,Final greeting sequence,Listen: “Hello. I’m Emma. Goodbye.” What parts are included?,greeting + name + goodbye,goodbye only,name only,A,greeting + name + goodbye,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,U1L7P07-AUDIO
U1L7P08,Lesson 7,7,My Voice Greeting,8,Repair choice,Final greeting sequence,The recording says “Hello. I’m Leo.” What is missing?,Goodbye.,What’s?,Name?,A,Goodbye.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P09,Lesson 7,7,My Voice Greeting,9,Recording choice,Final greeting sequence,Which recording is ready?,Hello. I’m Mia. Goodbye.,Mia.,Goodbye. Hello.,A,Hello. I’m Mia. Goodbye.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P10,Lesson 7,7,My Voice Greeting,10,Phrase choice,Final greeting sequence,Choose a friendly start.,Hello.,Bye.,Name.,A,Hello.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P11,Lesson 7,7,My Voice Greeting,11,Project boundary,Final greeting sequence,Choose the Unit 1 script.,Hello. I’m ___. Goodbye.,What color is it?,I have three toys.,A,Hello. I’m ___. Goodbye.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1L7P12,Lesson 7,7,My Voice Greeting,12,Repair choice,Final greeting sequence,Fix: “Hello. Leo. Goodbye.”,Hello. I’m Leo. Goodbye.,Goodbye. Leo. Hello.,I’m Goodbye.,A,Hello. I’m Leo. Goodbye.,U1-RP-FINAL-GREETING,Use three cards: Hello → I’m ___ → Goodbye. Record again.,AEW2-U001-IMG-016;AEW2-U001-IMG-017,
U1W01,Watch,,The Hello Gate,1,Audio choice,greeting recognition; name phrase recognition; goodbye sequence,What word do you hear first?,Hello,Goodbye,Name,A,Hello,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,U1W01-AUDIO
U1W02,Watch,,The Hello Gate,2,Video detail,greeting recognition; name phrase recognition; goodbye sequence,Who says “I’m Leo”?,Leo,Mia,Emma,A,Leo,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W03,Watch,,The Hello Gate,3,Video detail,greeting recognition; name phrase recognition; goodbye sequence,Who says “I’m Mia”?,Emma,Mia,Toto,B,Mia,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
U1W04,Watch,,The Hello Gate,4,Video detail,greeting recognition; name phrase recognition; goodbye sequence,Who says “I’m Emma”?,Emma,Leo,Mia,A,Emma,U1-RP-WATCH-HELLO-GATE,"Watch again. Listen for Hello, I’m, and Goodbye.",AEW2-U001-IMG-018,
