id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U011-L3-Q03,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,gap_fill,easy,Pre-A1.2,CHK It's + weather,windy,It's ____.,windy,hat,coat,shoes,windy,Correct. It's windy.,Try again. Use a weather word.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q04,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,gap_fill,easy,Pre-A1.2,CHK It's + weather,cloudy,It's ____.,boots,umbrella,cloudy,T-shirt,cloudy,Correct. It's cloudy.,Try again. Use a weather word.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q05,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,mcq,medium,Pre-A1.2,Weather recognition,windy,Leaves move. Choose the sentence.,It's windy.,It's cloudy.,It's rainy.,Choose boots.,It's windy.,Correct. Moving leaves show windy.,Try again. Match moving leaves.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q06,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,mcq,medium,Pre-A1.2,Weather recognition,cloudy,Many clouds. Choose the sentence.,It's sunny.,It's cloudy.,It's windy.,Choose a hat.,It's cloudy.,Correct. Many clouds show cloudy.,Try again. Match clouds.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q07,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,true_false,easy,Pre-A1.2,Weather recognition,windy,Windy can move leaves.,true,false,,,true,Correct. Windy can move leaves.,Try again. Look at the wind clue.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q08,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,true_false,easy,Pre-A1.2,Weather recognition,cloudy,Cloudy means a bright sun only.,true,false,,,false,Correct. Cloudy means clouds.,Try again. Cloudy is not only sun.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q09,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,matching,medium,Pre-A1.2,Weather/clothes link,windy + jacket,Windy day. Choose one good clothes word.,jacket,sandwich,juice,toy,jacket,Correct. A jacket can go with wind.,"Try again. Choose clothes, not food or toy.",AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q10,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,matching,medium,Pre-A1.2,Weather/clothes link,cloudy + sweater,Cloudy day. Choose one clothes word.,sweater,dog,apple,rainy,sweater,Correct. Sweater is a clothes word.,Try again. Choose a clothes word.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q11,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,choose_best_reply,medium,Pre-A1.2,SI simple response,It's cloudy.,A friend points to many clouds. What do you say?,It's cloudy.,It's rainy.,Choose an apple.,This is my dad.,It's cloudy.,Correct. Many clouds means cloudy.,Try again. Match the cloud clue.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q12,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,choose_best_reply,medium,Pre-A1.2,SI simple response,It's windy.,A friend points to moving leaves. What do you say?,It's windy.,It's sunny.,I want milk.,Choose boots.,It's windy.,Correct. Moving leaves means windy.,Try again. Match the wind clue.,AEW2-U011-Repair-ITS-02
AEW2-U011-L4-Q01,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,coat,Choose the coat.,coat,sunny,dog,apple,coat,Correct. coat is a clothes word.,Try again. Look for the coat.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q02,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,hat,Choose the hat.,rainy,hat,boots,milk,hat,Correct. hat is a clothes word.,Try again. Look for the hat.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q03,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,boots,Choose the boots.,boots,cloudy,juice,toy,boots,Correct. boots is a clothes word.,Try again. Look for the boots.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q04,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,T-shirt,Choose the T-shirt.,sandwich,T-shirt,rainy,mom,T-shirt,Correct. T-shirt is a clothes word.,Try again. Look for the T-shirt.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q05,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,shoes,Choose the shoes.,shoes,windy,cookie,dad,shoes,Correct. shoes is a clothes word.,Try again. Look for the shoes.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q06,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,umbrella,Choose the umbrella.,umbrella,sunny,bird,banana,umbrella,Correct. umbrella is a clothes word.,Try again. Look for the umbrella.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q07,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,jacket,Choose the jacket.,cloudy,jacket,fish,water,jacket,Correct. jacket is a clothes word.,Try again. Look for the jacket.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q08,Adventure English World V2,11,Lesson 4,Clothes Basics,mcq,easy,Pre-A1.2,VOC clothes words,sweater,Choose the sweater.,sweater,rainy,orange,ball,sweater,Correct. sweater is a clothes word.,Try again. Look for the sweater.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q09,Adventure English World V2,11,Lesson 4,Clothes Basics,matching,easy,Pre-A1.2,VOC clothes words,umbrella,Match the rainy-day object.,umbrella,T-shirt,hat,shoes,umbrella,Correct. An umbrella can help in rain.,Try again. Look for the object held over your head.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q10,Adventure English World V2,11,Lesson 4,Clothes Basics,matching,medium,Pre-A1.2,VOC clothes words,boots,Match the rainy-day shoes.,boots,hat,T-shirt,sweater,boots,Correct. Boots can go with rain.,Try again. Look for rainy-day shoes.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q11,Adventure English World V2,11,Lesson 4,Clothes Basics,vocabulary_in_context,medium,Pre-A1.2,VOC clothes words,coat and hat,Which pair is clothes only?,coat and hat,sunny and rainy,apple and juice,cat and dog,coat and hat,Correct. Coat and hat are clothes.,Try again. Choose clothes words.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L4-Q12,Adventure English World V2,11,Lesson 4,Clothes Basics,vocabulary_in_context,medium,Pre-A1.2,VOC clothes words,boots and umbrella,Which pair can help on a rainy day?,boots and umbrella,T-shirt and sun,banana and milk,ball and kite,boots and umbrella,Correct. Boots and umbrella can go with rain.,Try again. Choose rainy-day clothes/items.,AEW2-U011-Repair-CLOTHES-01
AEW2-U011-L5-Q01,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,easy,Pre-A1.2,MED choose clothes,hat,It's sunny. Choose one.,hat,boots,umbrella,coat,hat,Correct. A hat can go with sunny weather.,Try again. Look for sunny clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q02,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,easy,Pre-A1.2,MED choose clothes,T-shirt,It's sunny. Choose one.,boots,T-shirt,coat,umbrella,T-shirt,Correct. A T-shirt can go with sunny weather.,Try again. Choose a light clothes word.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q03,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,easy,Pre-A1.2,MED choose clothes,boots,It's rainy. Choose one.,hat,boots,T-shirt,shoes,boots,Correct. Boots can go with rainy weather.,Try again. Look for rainy-day shoes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q04,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,easy,Pre-A1.2,MED choose clothes,umbrella,It's rainy. Choose one.,umbrella,T-shirt,hat,shorts,umbrella,Correct. An umbrella can go with rain.,Try again. Choose the rain item.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q05,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,medium,Pre-A1.2,MED choose clothes,jacket,It's windy. Choose one.,juice,jacket,apple,toy,jacket,Correct. A jacket can go with windy weather.,Try again. Choose clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q06,Adventure English World V2,11,Lesson 5,Choose Clothes,mcq,medium,Pre-A1.2,MED choose clothes,sweater,It's cloudy. Choose one.,sweater,cookie,dog,rainy,sweater,Correct. A sweater is a clothes choice.,Try again. Choose a clothes word.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q07,Adventure English World V2,11,Lesson 5,Choose Clothes,sentence_build,medium,Pre-A1.2,CHK Choose ...,Choose a hat.,Build a choice for sunny weather.,Choose a hat.,It's boots.,I want rain.,This is cloudy.,Choose a hat.,Correct. Choose a hat.,Try again. Use Choose + clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q08,Adventure English World V2,11,Lesson 5,Choose Clothes,sentence_build,medium,Pre-A1.2,CHK Choose ...,Choose boots.,Build a choice for rainy weather.,Choose boots.,It's hat.,This is rain.,I like cloudy.,Choose boots.,Correct. Choose boots.,Try again. Use Choose + clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q09,Adventure English World V2,11,Lesson 5,Choose Clothes,choose_best_reply,medium,Pre-A1.2,SI choice,Choose an umbrella.,Friend: It's rainy. What do you say?,Choose an umbrella.,It's sunny.,I want milk.,This is my friend.,Choose an umbrella.,Correct. Rainy matches umbrella.,Try again. Help with clothes or item.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q10,Adventure English World V2,11,Lesson 5,Choose Clothes,choose_best_reply,medium,Pre-A1.2,SI choice,Choose a T-shirt.,Friend: It's sunny. What do you say?,Choose a T-shirt.,Choose boots.,It's rainy.,I'm Emma.,Choose a T-shirt.,Correct. Sunny can match a T-shirt.,Try again. Match sunny weather.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q11,Adventure English World V2,11,Lesson 5,Choose Clothes,error_correction,medium,Pre-A1.2,MED choose clothes,Choose a hat.,Fix the choice: It's sunny. Choose boots.,Choose a hat.,Choose a coat.,Choose an umbrella.,It's rainy.,Choose a hat.,Correct. A hat is a better sunny choice.,Try again. Choose sunny clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L5-Q12,Adventure English World V2,11,Lesson 5,Choose Clothes,error_correction,medium,Pre-A1.2,MED choose clothes,Choose boots.,Fix the choice: It's rainy. Choose a T-shirt.,Choose boots.,Choose a hat.,It's sunny.,Choose shoes.,Choose boots.,Correct. Boots are better for rainy weather.,Try again. Choose rainy-day clothes.,AEW2-U011-Repair-CHOICE-01
AEW2-U011-L6-Q01,Adventure English World V2,11,Lesson 6,Help a Friend,choose_best_reply,easy,Pre-A1.2,SI help a friend,Choose a coat.,Mia: It's rainy. Help Mia.,Choose a coat.,Choose a T-shirt.,Choose a toy.,I want juice.,Choose a coat.,Correct. A coat can go with rain.,Try again. Help with clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q02,Adventure English World V2,11,Lesson 6,Help a Friend,choose_best_reply,easy,Pre-A1.2,SI help a friend,Choose boots.,Leo: It's rainy. Help Leo.,Choose boots.,Choose a hat.,It's sunny.,This is my sister.,Choose boots.,Correct. Boots can go with rain.,Try again. Help with rainy clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q03,Adventure English World V2,11,Lesson 6,Help a Friend,choose_best_reply,easy,Pre-A1.2,SI help a friend,Choose a hat.,Emma: It's sunny. Help Emma.,Choose a hat.,Choose boots.,Choose an umbrella.,It's rainy.,Choose a hat.,Correct. Hat can go with sun.,Try again. Help with sunny clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q04,Adventure English World V2,11,Lesson 6,Help a Friend,choose_best_reply,easy,Pre-A1.2,SI help a friend,Choose a jacket.,Mia: It's windy. Help Mia.,Choose a jacket.,Choose juice.,Choose a cookie.,It's sunny.,Choose a jacket.,Correct. Jacket can go with windy weather.,Try again. Choose clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q05,Adventure English World V2,11,Lesson 6,Help a Friend,matching,medium,Pre-A1.2,MED choose clothes,cloudy + sweater,Match cloudy day.,sweater,water,ball,fish,sweater,Correct. Sweater is a clothes choice.,Try again. Choose clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q06,Adventure English World V2,11,Lesson 6,Help a Friend,matching,medium,Pre-A1.2,MED choose clothes,rainy + umbrella,Match rainy day.,umbrella,T-shirt,hat,shoes,umbrella,Correct. Umbrella matches rainy.,Try again. Look for rainy-day item.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q07,Adventure English World V2,11,Lesson 6,Help a Friend,sequence,medium,Pre-A1.2,SI help a friend,weather then choice,Choose the good order.,Look at weather. Choose clothes.,Choose clothes. Say hello.,Eat snack. Choose toy.,Count first. Say family.,Look at weather. Choose clothes.,"Correct. First look at weather, then choose clothes.",Try again. Weather comes first.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q08,Adventure English World V2,11,Lesson 6,Help a Friend,gap_fill,medium,Pre-A1.2,CHK Choose ...,Choose,____ a coat.,Choose,It's,Rainy,Sunny,Choose,Correct. Choose a coat.,Try again. Use the action word.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q09,Adventure English World V2,11,Lesson 6,Help a Friend,gap_fill,medium,Pre-A1.2,CHK Choose ...,umbrella,Choose an ____.,umbrella,rainy,sunny,cloudy,umbrella,Correct. Choose an umbrella.,Try again. Use a clothes/item word.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q10,Adventure English World V2,11,Lesson 6,Help a Friend,true_false,medium,Pre-A1.2,MED choice,rainy + boots,It's rainy. Choose boots.,true,false,,,true,Correct. Boots can match rain.,Try again. Think of rainy clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q11,Adventure English World V2,11,Lesson 6,Help a Friend,true_false,medium,Pre-A1.2,MED choice,sunny + umbrella,It's sunny. Choose an umbrella is the only good choice.,true,false,,,false,Correct. A sunny day can use a hat or T-shirt.,Try again. Think of sunny clothes.,AEW2-U011-Repair-HELP-01
AEW2-U011-L6-Q12,Adventure English World V2,11,Lesson 6,Help a Friend,choose_best_reply,medium,Pre-A1.2,SI help a friend,Thank you.,Friend: Choose a hat. Best reply?,Thank you.,It's rainy.,I want milk.,This is my dog.,Thank you.,Correct. Thank you is polite.,Try again. Choose the polite reply.,AEW2-U011-Repair-HELP-01
AEW2-U011-L7-Q01,Adventure English World V2,11,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ card elements,weather picture,A Weather Choice Card needs one ____.,weather picture,toy picture,family name,toy box,weather picture,Correct. The card needs a weather picture.,Try again. Think of the project.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q02,Adventure English World V2,11,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ card elements,clothes pictures,A Weather Choice Card needs matching ____.,clothes pictures,animal sounds,number signs,food words,clothes pictures,Correct. It needs clothes pictures.,Try again. Think of clothes for weather.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q03,Adventure English World V2,11,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ weather sentence,It's rainy.,Choose the weather sentence.,It's rainy.,Choose boots.,This is my mom.,I want juice.,It's rainy.,Correct. It's rainy is a weather sentence.,Try again. Find It's + weather.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q04,Adventure English World V2,11,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ choice chunk,Choose boots.,Choose the clothes choice.,Choose boots.,It's cloudy.,Hello Mia.,I like cats.,Choose boots.,Correct. Choose boots is a clothes choice.,Try again. Find Choose + clothes.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q05,Adventure English World V2,11,Lesson 7,Project Rehearsal,matching,medium,Pre-A1.2,PRJ weather/clothes link,rainy card,Rainy card: choose ____.,boots,T-shirt,hat,sneakers,boots,Correct. Boots can go on a rainy card.,Try again. Think rainy.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q06,Adventure English World V2,11,Lesson 7,Project Rehearsal,matching,medium,Pre-A1.2,PRJ weather/clothes link,sunny card,Sunny card: choose ____.,hat,boots,coat,umbrella,hat,Correct. Hat can go on a sunny card.,Try again. Think sunny.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q07,Adventure English World V2,11,Lesson 7,Project Rehearsal,sentence_build,medium,Pre-A1.2,PRJ model sentence,It's cloudy.,Build a weather sentence.,It's cloudy.,Choose cloudy.,Cloudy boots.,This is boots.,It's cloudy.,Correct. It's cloudy.,Try again. Use It's + weather.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q08,Adventure English World V2,11,Lesson 7,Project Rehearsal,sentence_build,medium,Pre-A1.2,PRJ model chunk,Choose a sweater.,Build a clothes choice.,Choose a sweater.,It's sweater.,Sweater is weather.,I want cloudy.,Choose a sweater.,Correct. Choose a sweater.,Try again. Use Choose + clothes.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q09,Adventure English World V2,11,Lesson 7,Project Rehearsal,sequence,medium,Pre-A1.2,PRJ process,project steps,Choose the good project order.,Choose weather. Choose clothes. Share card.,Share card. Choose weather. Choose clothes.,Choose toy. Choose snack. Share card.,Count. Read. Sleep.,Choose weather. Choose clothes. Share card.,"Correct. Weather, clothes, then share.",Try again. Project starts with weather.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q10,Adventure English World V2,11,Lesson 7,Project Rehearsal,true_false,medium,Pre-A1.2,PRJ card elements,weather + clothes,A Weather Choice Card shows weather and clothes.,true,false,,,true,Correct. Weather and clothes are on the card.,Try again. Look at the model card.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q11,Adventure English World V2,11,Lesson 7,Project Rehearsal,true_false,medium,Pre-A1.2,PRJ card elements,long writing blocked,The project needs a long story.,true,false,,,false,Correct. The project is short and picture-supported.,Try again. This is a Pre-A1 card.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-L7-Q12,Adventure English World V2,11,Lesson 7,Project Rehearsal,choose_best_reply,medium,Pre-A1.2,PRJ presentation,It's sunny. Choose a hat.,Present a sunny card.,It's sunny. Choose a hat.,It's rainy. Choose boots.,I want an apple.,This is my brother.,It's sunny. Choose a hat.,Correct. This presents a sunny card.,Try again. Match sunny with a hat.,AEW2-U011-Repair-PROJECT-01
AEW2-U011-W-Q01,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,easy,Pre-A1.2,LST main idea,weather window,What is the Watch about?,weather window,snack table,toy box,family tree,weather window,Correct. It is about the Weather Window.,Try again. Look at the window and weather.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q02,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,easy,Pre-A1.2,LST detail,sunny,Mia sees the sun. What is it?,sunny,rainy,windy,cloudy,sunny,Correct. Sun means sunny.,Try again. Match the sun.,AEW2-U011-Repair-WATCH-01
AEW2-U011-W-Q03,Adventure English World V2,11,Watch,Watch: The Weather Window,mcq,easy,Pre-A1.2,LST detail,rainy,Emma sees rain. What is it?,rainy,sunny,windy,hat,rainy,Correct. Rain means rainy.,Try again. Match rain.,AEW2-U011-Repair-WATCH-01
