"audio_id","text","voice","character","file"
"AEW2-U002-AUD-024","Hello. I’m Mia.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-024.mp3"
"AEW2-U002-AUD-025","Hello. I’m Mia. It’s yellow. It’s green. Goodbye.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-025.mp3"
"AEW2-U002-AUD-026","Hi.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-026.mp3"
"AEW2-U002-AUD-027","I’m ___.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-027.mp3"
"AEW2-U002-AUD-028","I’m Emma.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-028.mp3"
"AEW2-U002-AUD-029","I’m Leo.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-029.mp3"
"AEW2-U002-AUD-030","I’m Mia.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-030.mp3"
"AEW2-U002-AUD-031","It’s black.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-031.mp3"
"AEW2-U002-AUD-032","It’s blue.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-032.mp3"
"AEW2-U002-AUD-033","It’s brown.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-033.mp3"
"AEW2-U002-AUD-034","It’s green.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-034.mp3"
"AEW2-U002-AUD-035","It’s orange.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-035.mp3"
"AEW2-U002-AUD-036","It’s pink.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-036.mp3"
"AEW2-U002-AUD-037","It’s purple.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-037.mp3"
"AEW2-U002-AUD-038","It’s red.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-038.mp3"
"AEW2-U002-AUD-039","It’s white.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-039.mp3"
"AEW2-U002-AUD-040","It’s yellow.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-040.mp3"
"AEW2-U002-AUD-041","Leo: It’s red.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-041.mp3"
"AEW2-U002-AUD-042","Mia: It’s blue.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-042.mp3"
"AEW2-U002-AUD-043","orange","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-043.mp3"
"AEW2-U002-AUD-044","orange box","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-044.mp3"
"AEW2-U002-AUD-045","orange, purple, pink","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-045.mp3"
"AEW2-U002-AUD-046","pink","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-046.mp3"
"AEW2-U002-AUD-047","pink bag","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-047.mp3"
"AEW2-U002-AUD-048","purple","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-048.mp3"
"AEW2-U002-AUD-049","purple book","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-049.mp3"
"AEW2-U002-AUD-050","red","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-050.mp3"
"AEW2-U002-AUD-051","red book","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-051.mp3"
"AEW2-U002-AUD-052","red, blue, yellow, green","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-052.mp3"
"AEW2-U002-AUD-053","Red, blue.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-053.mp3"
"AEW2-U002-AUD-054","retry recording if needed","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-054.mp3"
"AEW2-U002-AUD-055","short voice greeting","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-055.mp3"
"AEW2-U002-AUD-056","teacher or AI feedback","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-056.mp3"
"AEW2-U002-AUD-057","Toto: It’s green.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-057.mp3"
"AEW2-U002-AUD-058","What color?","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-058.mp3"
"AEW2-U002-AUD-059","white","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-059.mp3"
"AEW2-U002-AUD-060","white box","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-060.mp3"
"AEW2-U002-AUD-061","yellow","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-061.mp3"
"AEW2-U002-AUD-062","yellow pencil","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-062.mp3"
"AEW2-U002-AUD-063","Yellow, green.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-063.mp3"
