Image ID,Image Type,Lesson Link,CEFR/KP Link,Lexical Link,Quiz Link,Skill Link,Characters,Setting,Clothing Rule,Negative Prompt,Text in Image,Aspect Ratio,Display Width,Expandable,Accessibility Note
AEW2_U009_IMG11,lesson anchor,Lesson 5 / Drinks,Drink vocabulary; choice,"water, milk, juice",AEW2-U009-L5-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG12,choice scene,Lesson 5 / Snack and Drink Choice,Snack + drink choice; I want ... please,"apple, banana, sandwich, cookie, water, milk, juice",AEW2-U009-L5-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG13,lesson anchor,Lesson 6 / Snack Order Role-play,"Role-play; I want ..., please","helper, snack, drink, please",AEW2-U009-L6-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG14,order tray visual,Lesson 6 / Snack Order Role-play,Snack order; snack + drink,"apple, sandwich, drink cup",AEW2-U009-L6-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,60-75%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG15,review scene,Lesson 6 / Snack Review,Review snack/drink words; polite choices,"apple, banana, orange, sandwich, cookie, water, milk, juice",AEW2-U009-L6-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG16,project rehearsal,Lesson 7 / Project Rehearsal,Project rehearsal; snack order role-play,"I want, please, snack, drink, card",AEW2-U009-L7-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG17,project model,Lesson 7 / Project Model,Project model; snack order card,"snack choice, drink choice, learner portrait",AEW2-U009-L7-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,70-90%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG18,repair visual,Repair / A / An Repair,Repair fixed chunks: a/an,"apple, orange, banana, sandwich, cookie",repair items across unit,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,60-75%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG19,repair visual,Repair / I Want / Please Repair,"Repair polite chunk: I want ..., please","I want, please, snack, drink",repair items across unit,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,60-75%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG20,final project scene,Final Project / Project Sharing,Final project; snack order role-play sharing,"snack order card, snack, drink, please",AEW2-U009-P-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,80-90%,yes except cover,Important language repeated in HTML lesson content.
