item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link
U006-L1-Q11,L1,Hello Gate,multiple_choice,Which word is a greeting?,Hello,Blue; Seven; Fish,Pre-A1.1,category recognition,greeting,vocabulary/grammar recognition,medium,L1,U006-Repair-L1
U006-L1-Q12,L1,Hello Gate,multiple_choice,Choose the last line for Lesson 1.,Goodbye.,It’s red.; How many?; Point.,Pre-A1.1,greeting chunk,Goodbye.,vocabulary/grammar recognition,medium,L1,U006-Repair-L1
U006-L2-Q01,L2,Color Clue,multiple_choice,Look at the red pencil. What color is it?,red,dog; five; listen,Pre-A1.1,colors,red,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q02,L2,Color Clue,multiple_choice,Look at the blue book. What color is it?,blue,dog; five; listen,Pre-A1.1,colors,blue,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q03,L2,Color Clue,multiple_choice,Look at the yellow bag. What color is it?,yellow,dog; five; listen,Pre-A1.1,colors,yellow,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q04,L2,Color Clue,multiple_choice,Look at the green crayon. What color is it?,green,dog; five; listen,Pre-A1.1,colors,green,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q05,L2,Color Clue,multiple_choice,Look at the orange ball. What color is it?,orange,dog; five; listen,Pre-A1.1,colors,orange,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q06,L2,Color Clue,multiple_choice,Look at the purple notebook. What color is it?,purple,dog; five; listen,Pre-A1.1,colors,purple,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q07,L2,Color Clue,multiple_choice,Look at the pink star. What color is it?,pink,dog; five; listen,Pre-A1.1,colors,pink,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q08,L2,Color Clue,multiple_choice,Look at the black marker. What color is it?,black,dog; five; listen,Pre-A1.1,colors,black,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q09,L2,Color Clue,multiple_choice,Look at the white card. What color is it?,white,dog; five; listen,Pre-A1.1,colors,white,vocabulary/grammar recognition,easy,L2,U006-Repair-L2
U006-L2-Q10,L2,Color Clue,multiple_choice,Choose the good color sentence.,It’s red.,Red it.; I’m red.; How red?,Pre-A1.1,It’s + color,It’s red.,vocabulary/grammar recognition,medium,L2,U006-Repair-L2
U006-L2-Q11,L2,Color Clue,matching,Match the color clue to the object.,red → pencil; blue → book; yellow → bag,red → pencil; blue → book; yellow → bag; All matches correct,Pre-A1.1,color-object match,red pencil; blue book; yellow bag,vocabulary/grammar recognition,medium,L2,U006-Repair-L2
U006-L2-Q12,L2,Color Clue,multiple_choice,Fix the line: “Green.”,It’s green.,I’m green.; How many green?; Green dog.,Pre-A1.1,repair It’s + color,It’s green.,vocabulary/grammar recognition,medium,L2,U006-Repair-L2
U006-L3-Q01,L3,Number Bridge,multiple_choice,How many? Count the dog.,one,red; cat; open,Pre-A1.1,numbers / How many,one,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q02,L3,Number Bridge,multiple_choice,How many? Count the cats.,two,red; cat; open,Pre-A1.1,numbers / How many,two,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q03,L3,Number Bridge,multiple_choice,How many? Count the birds.,three,red; cat; open,Pre-A1.1,numbers / How many,three,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q04,L3,Number Bridge,multiple_choice,How many? Count the fish.,four,red; cat; open,Pre-A1.1,numbers / How many,four,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q05,L3,Number Bridge,multiple_choice,How many? Count the pencils.,five,red; cat; open,Pre-A1.1,numbers / How many,five,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q06,L3,Number Bridge,multiple_choice,How many? Count the stars.,six,red; cat; open,Pre-A1.1,numbers / How many,six,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q07,L3,Number Bridge,multiple_choice,How many? Count the leaves.,seven,red; cat; open,Pre-A1.1,numbers / How many,seven,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q08,L3,Number Bridge,multiple_choice,How many? Count the crayons.,eight,red; cat; open,Pre-A1.1,numbers / How many,eight,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q09,L3,Number Bridge,multiple_choice,How many? Count the balls.,nine,red; cat; open,Pre-A1.1,numbers / How many,nine,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q10,L3,Number Bridge,multiple_choice,How many? Count the badges.,ten,red; cat; open,Pre-A1.1,numbers / How many,ten,vocabulary/grammar recognition,easy,L3,U006-Repair-L3
U006-L3-Q11,L3,Number Bridge,multiple_choice,Choose the answer to “How many?” when you see 3 birds.,Three.,Bird.; Hello.; Draw.,Pre-A1.1,How many?,Three.,vocabulary/grammar recognition,medium,L3,U006-Repair-L3
U006-L3-Q12,L3,Number Bridge,multiple_choice,Choose the good number order.,"one, two, three, four","one, three, two, four; four, two, one, three; two, one, four, three",Pre-A1.1,number sequence,"one, two, three, four",vocabulary/grammar recognition,medium,L3,U006-Repair-L3
U006-L4-Q01,L4,Action Door,multiple_choice,Look at the ear icon. Choose the action word.,listen,cat; blue; ten,Pre-A1.1,classroom actions,listen,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q02,L4,Action Door,multiple_choice,Look at the eye icon. Choose the action word.,look,cat; blue; ten,Pre-A1.1,classroom actions,look,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q03,L4,Action Door,multiple_choice,Look at the pointing finger. Choose the action word.,point,cat; blue; ten,Pre-A1.1,classroom actions,point,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q04,L4,Action Door,multiple_choice,Look at the pencil and paper. Choose the action word.,draw,cat; blue; ten,Pre-A1.1,classroom actions,draw,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q05,L4,Action Door,multiple_choice,Look at the open book. Choose the action word.,open,cat; blue; ten,Pre-A1.1,classroom actions,open,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q06,L4,Action Door,multiple_choice,Look at the closed book. Choose the action word.,close,cat; blue; ten,Pre-A1.1,classroom actions,close,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q07,L4,Action Door,multiple_choice,Look at the speaking mouth. Choose the action word.,say,cat; blue; ten,Pre-A1.1,classroom actions,say,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q08,L4,Action Door,multiple_choice,The teacher gives an ear clue. Choose the command.,Listen.,Fish.; Goodbye.; Purple.,Pre-A1.1,classroom actions,Listen.,vocabulary/grammar recognition,easy,L4,U006-Repair-L4
U006-L4-Q09,L4,Action Door,multiple_choice,A child points to a badge. Choose the command.,Point.,Open.; Dog.; Seven.,Pre-A1.1,classroom actions,Point.,vocabulary/grammar recognition,medium,L4,U006-Repair-L4
U006-L4-Q10,L4,Action Door,multiple_choice,Which word is NOT a classroom action?,cat,draw; listen; open,Pre-A1.1,category recognition,cat,vocabulary/grammar recognition,medium,L4,U006-Repair-L4
U006-L4-Q11,L4,Action Door,multiple_choice,Choose a good action order.,Listen. Look. Point.,Cat. Blue. Five.; Hello. Frog. Red.; Draw dog goodbye.,Pre-A1.1,action sequence,Listen. Look. Point.,vocabulary/grammar recognition,medium,L4,U006-Repair-L4
U006-L4-Q12,L4,Action Door,gap_fill,Complete the command for a pencil clue: ___.,Draw.,,Pre-A1.1,classroom actions,Draw.,vocabulary/grammar recognition,medium,L4,U006-Repair-L4
U006-L5-Q01,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: cat.,cat,red; three; open,Pre-A1.1,animal words,cat,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q02,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: dog.,dog,red; three; open,Pre-A1.1,animal words,dog,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q03,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: bird.,bird,red; three; open,Pre-A1.1,animal words,bird,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q04,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: fish.,fish,red; three; open,Pre-A1.1,animal words,fish,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q05,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: frog.,frog,red; three; open,Pre-A1.1,animal words,frog,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q06,L5,Animal Garden,multiple_choice,Look at the animal. Choose the word: turtle.,turtle,red; three; open,Pre-A1.1,animal words,turtle,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q07,L5,Animal Garden,multiple_choice,Choose the good animal sentence.,It’s a cat.,Cat it.; I’m cat.; How cat?,Pre-A1.1,It’s a + animal,It’s a cat.,vocabulary/grammar recognition,medium,L5,U006-Repair-L5
U006-L5-Q08,L5,Animal Garden,multiple_choice,Choose the line with like.,I like cats.,It’s blue.; How many?; Open the book.,Pre-A1.1,I like + animals,I like cats.,vocabulary/grammar recognition,medium,L5,U006-Repair-L5
U006-L5-Q09,L5,Animal Garden,multiple_choice,Choose the line with don’t like.,I don’t like frogs.,I’m frog.; Frogs red.; Listen frogs.,Pre-A1.1,I don’t like + animals,I don’t like frogs.,vocabulary/grammar recognition,medium,L5,U006-Repair-L5
U006-L5-Q10,L5,Animal Garden,multiple_choice,A heart is near the cat. Choose the line.,I like cats.,I don’t like cats.; How many cats?; Goodbye cats.,Pre-A1.1,like icon,I like cats.,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q11,L5,Animal Garden,multiple_choice,Toto is a small dog. Choose the animal word.,dog,fish; frog; bird,Pre-A1.1,animal words,dog,vocabulary/grammar recognition,easy,L5,U006-Repair-L5
U006-L5-Q12,L5,Animal Garden,matching,Choose the animal group.,"cat, bird, turtle","red, blue, green; one, two, three; listen, look, draw",Pre-A1.1,category recognition,"cat, bird, turtle",vocabulary/grammar recognition,medium,L5,U006-Repair-L5
U006-L6-Q01,L6,Five-Clue Trail,multiple_choice,A waving hand badge shows which clue?,greeting,animal; number; color,Pre-A1.1,category review,greeting,vocabulary/grammar recognition,easy,L6,U006-Repair-L6
U006-L6-Q02,L6,Five-Clue Trail,multiple_choice,A paint badge shows which clue?,color,number; animal; name,Pre-A1.1,category review,color,vocabulary/grammar recognition,easy,L6,U006-Repair-L6
U006-L6-Q03,L6,Five-Clue Trail,multiple_choice,Number stones show which clue?,number,animal; greeting; action,Pre-A1.1,category review,number,vocabulary/grammar recognition,easy,L6,U006-Repair-L6
U006-L6-Q04,L6,Five-Clue Trail,multiple_choice,A pencil/action badge shows which clue?,action,color; animal; name,Pre-A1.1,category review,action,vocabulary/grammar recognition,easy,L6,U006-Repair-L6
U006-L6-Q05,L6,Five-Clue Trail,multiple_choice,A paw badge shows which clue?,animal,number; greeting; color,Pre-A1.1,category review,animal,vocabulary/grammar recognition,easy,L6,U006-Repair-L6
U006-L6-Q06,L6,Five-Clue Trail,gap_fill,Complete: Hello. ___ Leo.,I’m,,Pre-A1.1,greeting chunk,I’m Leo.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L6-Q07,L6,Five-Clue Trail,multiple_choice,Choose the color clue sentence.,It’s green.,It’s a frog.; How many?; Goodbye.,Pre-A1.1,color review,It’s green.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L6-Q08,L6,Five-Clue Trail,multiple_choice,How many stars? Choose the answer.,Five.,Green.; Cat.; Listen.,Pre-A1.1,number review,Five.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L6-Q09,L6,Five-Clue Trail,multiple_choice,Choose the action word for an open-book clue.,Open.,Bird.; Yellow.; Hello.,Pre-A1.1,action review,Open.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L6-Q10,L6,Five-Clue Trail,multiple_choice,Choose the animal clue sentence.,It’s a turtle.,It’s purple.; I’m turtle.; How many turtle?,Pre-A1.1,animal review,It’s a turtle.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L6-Q11,L6,Five-Clue Trail,multiple_choice,Choose the five-clue order.,hello → color → number → action → animal,animal → action → hello → number → color; color → animal → action → hello → number; number → hello → animal → color → action,Pre-A1.1,mixed sequence,hello → color → number → action → animal,vocabulary/grammar recognition,hard,L6,U006-Repair-L6
U006-L6-Q12,L6,Five-Clue Trail,multiple_choice,Choose the review phrase.,I like dogs.,Dogs blue.; Goodbye dogs.; How dogs?,Pre-A1.1,like review,I like dogs.,vocabulary/grammar recognition,medium,L6,U006-Repair-L6
U006-L7-Q01,L7,My Mini Mission,multiple_choice,Choose the first project line.,Hello.,Turtle.; Six.; Draw.,Pre-A1.1,project phrase,Hello.,vocabulary/grammar recognition,easy,L7,U006-Repair-L7
U006-L7-Q02,L7,My Mini Mission,multiple_choice,Choose the name line.,I’m Leo.,Leo blue.; How many Leo?; Leo open.,Pre-A1.1,project phrase,I’m Leo.,vocabulary/grammar recognition,easy,L7,U006-Repair-L7
U006-L7-Q03,L7,My Mini Mission,multiple_choice,Choose a color line.,It’s blue.,It’s a bird.; How many?; Goodbye.,Pre-A1.1,project color,It’s blue.,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q04,L7,My Mini Mission,multiple_choice,Choose a number line for 3 stars.,I see three stars.,I see green.; I see a cat.; I see listen.,Pre-A1.1,project number,I see three stars.,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q05,L7,My Mini Mission,multiple_choice,Choose an animal like line.,I like cats.,It’s red.; Point.; How many?,Pre-A1.1,project animal,I like cats.,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q06,L7,My Mini Mission,multiple_choice,Choose the last project line.,Goodbye.,Open.; Five.; Dog.,Pre-A1.1,project phrase,Goodbye.,vocabulary/grammar recognition,easy,L7,U006-Repair-L7
U006-L7-Q07,L7,My Mini Mission,multiple_choice,Choose the good project start.,Hello → I’m… → It’s…,It’s… → Goodbye → Hello; Animal → Color → I’m; Draw → Hello → Seven,Pre-A1.1,project sequence,Hello → I’m… → It’s…,vocabulary/grammar recognition,hard,L7,U006-Repair-L7
U006-L7-Q08,L7,My Mini Mission,multiple_choice,What do you make in this project?,a mini mission card,a color badge only; a number badge only; an animal card only,Pre-A1.1,project object,mini mission card,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q09,L7,My Mini Mission,multiple_choice,Choose the phrase for a bird picture with a heart.,I like birds.,I don’t color.; Birds seven.; Open birds.,Pre-A1.1,like phrase,I like birds.,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q10,L7,My Mini Mission,multiple_choice,Choose an action for a pointing hand picture.,Point.,Fish.; Purple.; Two.,Pre-A1.1,action review,Point.,vocabulary/grammar recognition,easy,L7,U006-Repair-L7
U006-L7-Q11,L7,My Mini Mission,true_false,"A mini mission card can show a color, a number, an action, and an animal.",True,False,Pre-A1.1,project readiness,project card,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-L7-Q12,L7,My Mini Mission,multiple_choice,Choose a good project self-check.,I have four picture choices.,I have one color only.; I have one number only.; I have one animal only.,Pre-A1.1,self-check,I have four picture choices.,vocabulary/grammar recognition,medium,L7,U006-Repair-L7
U006-W-Q01,W,Toto’s Mini Quest,multiple_choice,What is the Watch video about?,five review badges,one color badge; one number badge; one animal badge,Pre-A1.1,watch main idea,five badges,reading/listening support,easy,W,U006-Repair-W
U006-W-Q02,W,Toto’s Mini Quest,multiple_choice,Who is in the Watch video?,"Leo, Mia, Emma, and Toto",Leo only; Toto only; Mia only,Pre-A1.1,watch characters,"Leo, Mia, Emma, and Toto",reading/listening support,easy,W,U006-Repair-W
U006-W-Q03,W,Toto’s Mini Quest,multiple_choice,Badge one says which review word?,Hello,Orange; Ten; Frog,Pre-A1.1,watch detail,Hello,reading/listening support,easy,W,U006-Repair-W
U006-W-Q04,W,Toto’s Mini Quest,multiple_choice,What color does badge two show?,blue,cat; open; six,Pre-A1.1,watch color,blue,reading/listening support,easy,W,U006-Repair-W
U006-W-Q05,W,Toto’s Mini Quest,multiple_choice,How many in the number clue?,five,red; dog; draw,Pre-A1.1,watch number,five,reading/listening support,easy,W,U006-Repair-W
U006-W-Q06,W,Toto’s Mini Quest,multiple_choice,Which action is in the Watch video?,Point,Turtle; Pink; Goodbye only,Pre-A1.1,watch action,Point,reading/listening support,easy,W,U006-Repair-W
U006-W-Q07,W,Toto’s Mini Quest,multiple_choice,Which animal is in the Watch animal clue?,dog,cat; bird; fish,Pre-A1.1,watch animal,dog,reading/listening support,easy,W,U006-Repair-W
U006-W-Q08,W,Toto’s Mini Quest,multiple_choice,What does Mia like?,cats,dogs; birds; frogs,Pre-A1.1,watch detail,Mia likes cats.,reading/listening support,medium,W,U006-Repair-W
U006-W-Q09,W,Toto’s Mini Quest,multiple_choice,What does Emma like?,birds,cats; dogs; fish,Pre-A1.1,watch detail,Emma likes birds.,reading/listening support,medium,W,U006-Repair-W
U006-W-Q10,W,Toto’s Mini Quest,multiple_choice,Choose the Watch badge order.,hello → color → number → action → animal,animal → number → hello → color → action; color → action → animal → hello → number; number → animal → action → color → hello,Pre-A1.1,watch sequence,hello → color → number → action → animal,reading/listening support,hard,W,U006-Repair-W
U006-W-Q11,W,Toto’s Mini Quest,multiple_choice,What does the team make at the end?,a mini picture mission card,a color badge; a number badge; an animal badge,Pre-A1.1,watch project link,mini picture mission card,reading/listening support,medium,W,U006-Repair-W
U006-W-Q12,W,Toto’s Mini Quest,true_false,Toto helps the team in the Watch video.,True,False,Pre-A1.1,watch comprehension,Toto helps the team.,reading/listening support,easy,W,U006-Repair-W
U006-P-Q01,P,My Mini Picture Mission,multiple_choice,Choose the project title.,My Mini Picture Mission,Color Clue; Number Bridge; Animal Garden,Pre-A1.1,project title,My Mini Picture Mission,vocabulary/grammar recognition,easy,P,U006-Repair-P
U006-P-Q02,P,My Mini Picture Mission,multiple_choice,Choose a greeting for your project.,Hello.,Six.; Green.; Frog.,Pre-A1.1,project greeting,Hello.,vocabulary/grammar recognition,easy,P,U006-Repair-P
U006-P-Q03,P,My Mini Picture Mission,multiple_choice,Choose a name line.,I’m Mia.,Mia red.; Mia how many.; Open Mia.,Pre-A1.1,project name,I’m Mia.,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q04,P,My Mini Picture Mission,multiple_choice,Choose a color line for a purple badge.,It’s purple.,It’s a bird.; How many?; Point.,Pre-A1.1,project color,It’s purple.,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q05,P,My Mini Picture Mission,multiple_choice,Choose a number line for 4 stars.,I see four stars.,I see a frog.; I see listen.; I see goodbye.,Pre-A1.1,project number,I see four stars.,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q06,P,My Mini Picture Mission,multiple_choice,Choose an action word for a drawing picture.,Draw.,Cat.; Blue.; Hello.,Pre-A1.1,project action,Draw.,vocabulary/grammar recognition,easy,P,U006-Repair-P
U006-P-Q07,P,My Mini Picture Mission,multiple_choice,Choose an animal line.,I like birds.,Birds purple.; How many birds?; Goodbye birds only.,Pre-A1.1,project animal,I like birds.,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q08,P,My Mini Picture Mission,multiple_choice,Choose a closing line.,Goodbye.,Dog.; Nine.; Open.,Pre-A1.1,project closing,Goodbye.,vocabulary/grammar recognition,easy,P,U006-Repair-P
U006-P-Q09,P,My Mini Picture Mission,multiple_choice,What does your card need?,"color, number, action, animal",color only; number only; animal only,Pre-A1.1,project requirements,"color, number, action, animal",vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q10,P,My Mini Picture Mission,multiple_choice,"If the color is wrong, what can you do?",Look again.,Say goodbye.; Point.; Try again.,Pre-A1.1,repair strategy,Look again.,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q11,P,My Mini Picture Mission,multiple_choice,What do you record for your portfolio?,short speaking recording,color badge only; number badge only; animal card only,Pre-A1.1,portfolio evidence,short speaking recording,vocabulary/grammar recognition,medium,P,U006-Repair-P
U006-P-Q12,P,My Mini Picture Mission,true_false,"After the project, I can use early words and phrases in a picture mission.",True,False,Pre-A1.1,self-assessment,can-do statement,vocabulary/grammar recognition,medium,P,U006-Repair-P
