id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
U006-L3-Q02,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,two,How many? Count the cats.,two,red,cat,open,two,Correct. The answer is two.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q03,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,three,How many? Count the birds.,three,red,cat,open,three,Correct. The answer is three.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q04,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,four,How many? Count the fish.,four,red,cat,open,four,Correct. The answer is four.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q05,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,five,How many? Count the pencils.,five,red,cat,open,five,Correct. The answer is five.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q06,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,six,How many? Count the stars.,six,red,cat,open,six,Correct. The answer is six.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q07,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,seven,How many? Count the leaves.,seven,red,cat,open,seven,Correct. The answer is seven.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q08,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,eight,How many? Count the crayons.,eight,red,cat,open,eight,Correct. The answer is eight.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q09,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,nine,How many? Count the balls.,nine,red,cat,open,nine,Correct. The answer is nine.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q10,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,ten,How many? Count the badges.,ten,red,cat,open,ten,Correct. The answer is ten.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q11,Adventure English World V2,6,L3,Number Bridge,multiple_choice,medium,Pre-A1.1,How many?,Three.,Choose the answer to “How many?” when you see 3 birds.,Three.,Bird.,Hello.,Draw.,Three.,Correct. Answer with the number.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L3-Q12,Adventure English World V2,6,L3,Number Bridge,multiple_choice,medium,Pre-A1.1,number sequence,"one, two, three, four",Choose the good number order.,"one, two, three, four","one, three, two, four","four, two, one, three","two, one, four, three","one, two, three, four",Correct. This is the counting order.,Try again. Look at the picture and model line.,U006-Repair-L3
U006-L4-Q01,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,listen,Look at the ear icon. Choose the action word.,listen,cat,blue,ten,listen,Correct. The action is listen.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q02,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,look,Look at the eye icon. Choose the action word.,look,cat,blue,ten,look,Correct. The action is look.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q03,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,point,Look at the pointing finger. Choose the action word.,point,cat,blue,ten,point,Correct. The action is point.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q04,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,draw,Look at the pencil and paper. Choose the action word.,draw,cat,blue,ten,draw,Correct. The action is draw.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q05,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,open,Look at the open book. Choose the action word.,open,cat,blue,ten,open,Correct. The action is open.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q06,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,close,Look at the closed book. Choose the action word.,close,cat,blue,ten,close,Correct. The action is close.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q07,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,say,Look at the speaking mouth. Choose the action word.,say,cat,blue,ten,say,Correct. The action is say.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q08,Adventure English World V2,6,L4,Action Door,multiple_choice,easy,Pre-A1.1,classroom actions,Listen.,The teacher gives an ear clue. Choose the command.,Listen.,Fish.,Goodbye.,Purple.,Listen.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q09,Adventure English World V2,6,L4,Action Door,multiple_choice,medium,Pre-A1.1,classroom actions,Point.,A child points to a badge. Choose the command.,Point.,Open.,Dog.,Seven.,Point.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q10,Adventure English World V2,6,L4,Action Door,multiple_choice,medium,Pre-A1.1,category recognition,cat,Which word is NOT a classroom action?,cat,draw,listen,open,cat,"Correct. Cat is an animal, not an action.",Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q11,Adventure English World V2,6,L4,Action Door,multiple_choice,medium,Pre-A1.1,action sequence,Listen. Look. Point.,Choose a good action order.,Listen. Look. Point.,Cat. Blue. Five.,Hello. Frog. Red.,Draw dog goodbye.,Listen. Look. Point.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L4
U006-L4-Q12,Adventure English World V2,6,L4,Action Door,gap_fill,medium,Pre-A1.1,classroom actions,Draw.,Complete the command for a pencil clue: ___.,,,,,Draw.,Correct. Draw.,Try again. Look at the pencil and paper clue.,U006-Repair-L4
U006-L5-Q01,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,cat,Look at the animal. Choose the word: cat.,cat,red,three,open,cat,Correct. It is a cat.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q02,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,dog,Look at the animal. Choose the word: dog.,dog,red,three,open,dog,Correct. It is a dog.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q03,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,bird,Look at the animal. Choose the word: bird.,bird,red,three,open,bird,Correct. It is a bird.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q04,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,fish,Look at the animal. Choose the word: fish.,fish,red,three,open,fish,Correct. It is a fish.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q05,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,frog,Look at the animal. Choose the word: frog.,frog,red,three,open,frog,Correct. It is a frog.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q06,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,turtle,Look at the animal. Choose the word: turtle.,turtle,red,three,open,turtle,Correct. It is a turtle.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q07,Adventure English World V2,6,L5,Animal Garden,multiple_choice,medium,Pre-A1.1,It’s a + animal,It’s a cat.,Choose the good animal sentence.,It’s a cat.,Cat it.,I’m cat.,How cat?,It’s a cat.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q08,Adventure English World V2,6,L5,Animal Garden,multiple_choice,medium,Pre-A1.1,I like + animals,I like cats.,Choose the line with like.,I like cats.,It’s blue.,How many?,Open the book.,I like cats.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q09,Adventure English World V2,6,L5,Animal Garden,multiple_choice,medium,Pre-A1.1,I don’t like + animals,I don’t like frogs.,Choose the line with don’t like.,I don’t like frogs.,I’m frog.,Frogs red.,Listen frogs.,I don’t like frogs.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q10,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,like icon,I like cats.,A heart is near the cat. Choose the line.,I like cats.,I don’t like cats.,How many cats?,Goodbye cats.,I like cats.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q11,Adventure English World V2,6,L5,Animal Garden,multiple_choice,easy,Pre-A1.1,animal words,dog,Toto is a small dog. Choose the animal word.,dog,fish,frog,bird,dog,Correct.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L5-Q12,Adventure English World V2,6,L5,Animal Garden,matching,medium,Pre-A1.1,category recognition,"cat, bird, turtle",Choose the animal group.,"cat, bird, turtle","red, blue, green","one, two, three","listen, look, draw","cat, bird, turtle",Correct. These are animals.,Try again. Look at the picture and model line.,U006-Repair-L5
U006-L6-Q01,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,easy,Pre-A1.1,category review,greeting,A waving hand badge shows which clue?,greeting,animal,number,color,greeting,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q02,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,easy,Pre-A1.1,category review,color,A paint badge shows which clue?,color,number,animal,name,color,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q03,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,easy,Pre-A1.1,category review,number,Number stones show which clue?,number,animal,greeting,action,number,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q04,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,easy,Pre-A1.1,category review,action,A pencil/action badge shows which clue?,action,color,animal,name,action,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q05,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,easy,Pre-A1.1,category review,animal,A paw badge shows which clue?,animal,number,greeting,color,animal,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q06,Adventure English World V2,6,L6,Five-Clue Trail,gap_fill,medium,Pre-A1.1,greeting chunk,I’m Leo.,Complete: Hello. ___ Leo.,,,,,I’m,Correct. I’m Leo.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q07,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,medium,Pre-A1.1,color review,It’s green.,Choose the color clue sentence.,It’s green.,It’s a frog.,How many?,Goodbye.,It’s green.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q08,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,medium,Pre-A1.1,number review,Five.,How many stars? Choose the answer.,Five.,Green.,Cat.,Listen.,Five.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q09,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,medium,Pre-A1.1,action review,Open.,Choose the action word for an open-book clue.,Open.,Bird.,Yellow.,Hello.,Open.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q10,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,medium,Pre-A1.1,animal review,It’s a turtle.,Choose the animal clue sentence.,It’s a turtle.,It’s purple.,I’m turtle.,How many turtle?,It’s a turtle.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q11,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,hard,Pre-A1.1,mixed sequence,hello → color → number → action → animal,Choose the five-clue order.,hello → color → number → action → animal,animal → action → hello → number → color,color → animal → action → hello → number,number → hello → animal → color → action,hello → color → number → action → animal,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L6-Q12,Adventure English World V2,6,L6,Five-Clue Trail,multiple_choice,medium,Pre-A1.1,like review,I like dogs.,Choose the review phrase.,I like dogs.,Dogs blue.,Goodbye dogs.,How dogs?,I like dogs.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L6
U006-L7-Q01,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,easy,Pre-A1.1,project phrase,Hello.,Choose the first project line.,Hello.,Turtle.,Six.,Draw.,Hello.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q02,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,easy,Pre-A1.1,project phrase,I’m Leo.,Choose the name line.,I’m Leo.,Leo blue.,How many Leo?,Leo open.,I’m Leo.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q03,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,project color,It’s blue.,Choose a color line.,It’s blue.,It’s a bird.,How many?,Goodbye.,It’s blue.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q04,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,project number,I see three stars.,Choose a number line for 3 stars.,I see three stars.,I see green.,I see a cat.,I see listen.,I see three stars.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q05,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,project animal,I like cats.,Choose an animal like line.,I like cats.,It’s red.,Point.,How many?,I like cats.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q06,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,easy,Pre-A1.1,project phrase,Goodbye.,Choose the last project line.,Goodbye.,Open.,Five.,Dog.,Goodbye.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q07,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,hard,Pre-A1.1,project sequence,Hello → I’m… → It’s…,Choose the good project start.,Hello → I’m… → It’s…,It’s… → Goodbye → Hello,Animal → Color → I’m,Draw → Hello → Seven,Hello → I’m… → It’s…,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q08,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,project object,mini mission card,What do you make in this project?,a mini mission card,a color badge only,a number badge only,an animal card only,a mini mission card,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q09,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,like phrase,I like birds.,Choose the phrase for a bird picture with a heart.,I like birds.,I don’t color.,Birds seven.,Open birds.,I like birds.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q10,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,easy,Pre-A1.1,action review,Point.,Choose an action for a pointing hand picture.,Point.,Fish.,Purple.,Two.,Point.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q11,Adventure English World V2,6,L7,My Mini Mission,true_false,medium,Pre-A1.1,project readiness,project card,"A mini mission card can show a color, a number, an action, and an animal.",True,False,,,True,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-L7-Q12,Adventure English World V2,6,L7,My Mini Mission,multiple_choice,medium,Pre-A1.1,self-check,I have four picture choices.,Choose a good project self-check.,I have four picture choices.,I have one color only.,I have one number only.,I have one animal only.,I have four picture choices.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L7
U006-W-Q01,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch main idea,five badges,What is the Watch video about?,five review badges,one color badge,one number badge,one animal badge,five review badges,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q02,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch characters,"Leo, Mia, Emma, and Toto",Who is in the Watch video?,"Leo, Mia, Emma, and Toto",Leo only,Toto only,Mia only,"Leo, Mia, Emma, and Toto",Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q03,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch detail,Hello,Badge one says which review word?,Hello,Orange,Ten,Frog,Hello,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q04,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch color,blue,What color does badge two show?,blue,cat,open,six,blue,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q05,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch number,five,How many in the number clue?,five,red,dog,draw,five,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q06,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch action,Point,Which action is in the Watch video?,Point,Turtle,Pink,Goodbye only,Point,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q07,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,easy,Pre-A1.1,watch animal,dog,Which animal is in the Watch animal clue?,dog,cat,bird,fish,dog,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q08,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,medium,Pre-A1.1,watch detail,Mia likes cats.,What does Mia like?,cats,dogs,birds,frogs,cats,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q09,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,medium,Pre-A1.1,watch detail,Emma likes birds.,What does Emma like?,birds,cats,dogs,fish,birds,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q10,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,hard,Pre-A1.1,watch sequence,hello → color → number → action → animal,Choose the Watch badge order.,hello → color → number → action → animal,animal → number → hello → color → action,color → action → animal → hello → number,number → animal → action → color → hello,hello → color → number → action → animal,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q11,Adventure English World V2,6,W,Toto’s Mini Quest,multiple_choice,medium,Pre-A1.1,watch project link,mini picture mission card,What does the team make at the end?,a mini picture mission card,a color badge,a number badge,an animal badge,a mini picture mission card,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-W-Q12,Adventure English World V2,6,W,Toto’s Mini Quest,true_false,easy,Pre-A1.1,watch comprehension,Toto helps the team.,Toto helps the team in the Watch video.,True,False,,,True,Correct.,Try again. Look at the picture and model line.,U006-Repair-W
U006-P-Q01,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,easy,Pre-A1.1,project title,My Mini Picture Mission,Choose the project title.,My Mini Picture Mission,Color Clue,Number Bridge,Animal Garden,My Mini Picture Mission,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q02,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,easy,Pre-A1.1,project greeting,Hello.,Choose a greeting for your project.,Hello.,Six.,Green.,Frog.,Hello.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q03,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,project name,I’m Mia.,Choose a name line.,I’m Mia.,Mia red.,Mia how many.,Open Mia.,I’m Mia.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q04,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,project color,It’s purple.,Choose a color line for a purple badge.,It’s purple.,It’s a bird.,How many?,Point.,It’s purple.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q05,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,project number,I see four stars.,Choose a number line for 5 stars.,I see five stars.,I see a frog.,I see listen.,I see goodbye.,I see five stars.,Correct. Five stars match the project model card.,Try again. Look at the stars on the project model card.,U006-Repair-P
U006-P-Q06,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,easy,Pre-A1.1,project action,Draw.,Choose an action word for a drawing picture.,Draw.,Cat.,Blue.,Hello.,Draw.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q07,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,project animal,I like birds.,Choose an animal line.,I like birds.,Birds purple.,How many birds?,Goodbye birds only.,I like birds.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q08,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,easy,Pre-A1.1,project closing,Goodbye.,Choose a closing line.,Goodbye.,Dog.,Nine.,Open.,Goodbye.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q09,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,project requirements,"color, number, action, animal",What does your card need?,"color, number, action, animal",color only,number only,animal only,"color, number, action, animal",Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q10,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,repair strategy,Look again.,"If the color is wrong, what can you do?",Look again.,Say goodbye.,Point.,Try again.,Look again.,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
U006-P-Q11,Adventure English World V2,6,P,My Mini Picture Mission,multiple_choice,medium,Pre-A1.1,portfolio evidence,short speaking recording,What do you record for your portfolio?,short speaking recording,color badge only,number badge only,animal card only,short speaking recording,Correct.,Try again. Look at the picture and model line.,U006-Repair-P
