audio_id,section,character,voice,text,audio_file,sha256
adventure-u6-14-1,model-line,Model,en-US-AnaNeural,It’s green.,assets/audio/generated/14_model-line_01.mp3,f3336c3ca977cfe09837293201e4f2790f24985d30c793b8bda8b49117ef9e70
adventure-u6-14-model,model-line,combined,mixed,It’s green.,assets/audio/generated/14_model-line_model.mp3,f3336c3ca977cfe09837293201e4f2790f24985d30c793b8bda8b49117ef9e70
adventure-u6-15-1,model-line,Model,en-US-AnaNeural,It’s purple.,assets/audio/generated/15_model-line_01.mp3,5259ec6a2f7b84a696da85479b0f23d798a6b41e3c2a40852e00594a9235f73a
adventure-u6-15-model,model-line,combined,mixed,It’s purple.,assets/audio/generated/15_model-line_model.mp3,5259ec6a2f7b84a696da85479b0f23d798a6b41e3c2a40852e00594a9235f73a
adventure-u6-16-1,model-line,Model,en-US-AnaNeural,How many? One.,assets/audio/generated/16_model-line_01.mp3,8d82010930c8beda67ecaa563dbaf32b46a4e33bd10207e965cd629ef13c97b7
adventure-u6-16-model,model-line,combined,mixed,How many? One.,assets/audio/generated/16_model-line_model.mp3,8d82010930c8beda67ecaa563dbaf32b46a4e33bd10207e965cd629ef13c97b7
adventure-u6-17-1,model-line,Model,en-US-AnaNeural,How many? Two.,assets/audio/generated/17_model-line_01.mp3,3a3558b2b15b1f32a8c9a8336ad9f3c45ba3eb34ba523fa50285565a512622f3
adventure-u6-17-model,model-line,combined,mixed,How many? Two.,assets/audio/generated/17_model-line_model.mp3,3a3558b2b15b1f32a8c9a8336ad9f3c45ba3eb34ba523fa50285565a512622f3
adventure-u6-18-1,model-line,Model,en-US-AnaNeural,How many? Three.,assets/audio/generated/18_model-line_01.mp3,c2dd070d331fa3bb9b92070a06e03c9f857caaed0fffe91b9f31c33b49fc4bc9
adventure-u6-18-model,model-line,combined,mixed,How many? Three.,assets/audio/generated/18_model-line_model.mp3,c2dd070d331fa3bb9b92070a06e03c9f857caaed0fffe91b9f31c33b49fc4bc9
adventure-u6-19-1,model-line,Model,en-US-AnaNeural,How many? Five.,assets/audio/generated/19_model-line_01.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-19-model,model-line,combined,mixed,How many? Five.,assets/audio/generated/19_model-line_model.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-20-1,model-line,Model,en-US-AnaNeural,Listen.,assets/audio/generated/20_model-line_01.mp3,96e75c68a08563a9e2c3e8bf174731864b4c3754870185d8722eac8556edb37c
adventure-u6-20-model,model-line,combined,mixed,Listen.,assets/audio/generated/20_model-line_model.mp3,96e75c68a08563a9e2c3e8bf174731864b4c3754870185d8722eac8556edb37c
adventure-u6-21-1,model-line,Model,en-US-AnaNeural,Look.,assets/audio/generated/21_model-line_01.mp3,69230297fd4fdcd4ced4411b27837b5abc90b4fc22553c1ef0ee1f67c43a7f98
adventure-u6-21-model,model-line,combined,mixed,Look.,assets/audio/generated/21_model-line_model.mp3,69230297fd4fdcd4ced4411b27837b5abc90b4fc22553c1ef0ee1f67c43a7f98
adventure-u6-22-1,model-line,Model,en-US-AnaNeural,Point.,assets/audio/generated/22_model-line_01.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-22-model,model-line,combined,mixed,Point.,assets/audio/generated/22_model-line_model.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-23-1,model-line,Model,en-US-AnaNeural,Draw.,assets/audio/generated/23_model-line_01.mp3,81680932fa8d9093341f9f134bd37488069f3605511db753ca5c882671b23fd6
adventure-u6-23-model,model-line,combined,mixed,Draw.,assets/audio/generated/23_model-line_model.mp3,81680932fa8d9093341f9f134bd37488069f3605511db753ca5c882671b23fd6
adventure-u6-24-1,model-line,Model,en-US-AnaNeural,Open.,assets/audio/generated/24_model-line_01.mp3,ac90c476b77ec523b7a3a4d86c103c34e9db931d95c4a3eca4637264eb745401
adventure-u6-24-model,model-line,combined,mixed,Open.,assets/audio/generated/24_model-line_model.mp3,ac90c476b77ec523b7a3a4d86c103c34e9db931d95c4a3eca4637264eb745401
adventure-u6-25-1,model-line,Model,en-US-AnaNeural,Close.,assets/audio/generated/25_model-line_01.mp3,9f33eacca4c8d7c7ebece206e4159f66f3b0d0d048fcad0e75b92f16e6c2702c
adventure-u6-25-model,model-line,combined,mixed,Close.,assets/audio/generated/25_model-line_model.mp3,9f33eacca4c8d7c7ebece206e4159f66f3b0d0d048fcad0e75b92f16e6c2702c
adventure-u6-26-1,model-line,Model,en-US-AnaNeural,Say it.,assets/audio/generated/26_model-line_01.mp3,6941db48ba96e38799a5102e3953808e13995eff306aae126859375a664d0b2f
adventure-u6-26-model,model-line,combined,mixed,Say it.,assets/audio/generated/26_model-line_model.mp3,6941db48ba96e38799a5102e3953808e13995eff306aae126859375a664d0b2f
adventure-u6-27-1,model-line,Model,en-US-AnaNeural,It’s a cat.,assets/audio/generated/27_model-line_01.mp3,fee2f03e6224d459cdc730719458654e406a96fe234db528b4cb06e5ac03766d
adventure-u6-27-model,model-line,combined,mixed,It’s a cat.,assets/audio/generated/27_model-line_model.mp3,fee2f03e6224d459cdc730719458654e406a96fe234db528b4cb06e5ac03766d
adventure-u6-28-1,model-line,Model,en-US-AnaNeural,It’s a dog.,assets/audio/generated/28_model-line_01.mp3,80d17d2eb62f79e8c6fb804e4322f6865786044f3b4b405a4bdfb42a59a4c211
adventure-u6-28-model,model-line,combined,mixed,It’s a dog.,assets/audio/generated/28_model-line_model.mp3,80d17d2eb62f79e8c6fb804e4322f6865786044f3b4b405a4bdfb42a59a4c211
adventure-u6-29-1,model-line,Model,en-US-AnaNeural,It’s a bird.,assets/audio/generated/29_model-line_01.mp3,48f037793ca87c7d48adf837fe6b4978b49ba7fc2e2dc9a3a4c4f190c80afbd3
adventure-u6-29-model,model-line,combined,mixed,It’s a bird.,assets/audio/generated/29_model-line_model.mp3,48f037793ca87c7d48adf837fe6b4978b49ba7fc2e2dc9a3a4c4f190c80afbd3
adventure-u6-30-1,model-line,Model,en-US-AnaNeural,I like cats.,assets/audio/generated/30_model-line_01.mp3,6ca784cf4f5584eb83661a4ebf00b30488563086a688c47f922872ff0d24ce91
adventure-u6-30-model,model-line,combined,mixed,I like cats.,assets/audio/generated/30_model-line_model.mp3,6ca784cf4f5584eb83661a4ebf00b30488563086a688c47f922872ff0d24ce91
adventure-u6-31-1,model-line,Model,en-US-AnaNeural,I don’t like frogs.,assets/audio/generated/31_model-line_01.mp3,546f600682d0ec738ae171cea457aac9172c35ac5db7c64824a184ae61c25399
adventure-u6-31-model,model-line,combined,mixed,I don’t like frogs.,assets/audio/generated/31_model-line_model.mp3,546f600682d0ec738ae171cea457aac9172c35ac5db7c64824a184ae61c25399
adventure-u6-32-1,model-line,Model,en-US-AnaNeural,Hello.,assets/audio/generated/32_model-line_01.mp3,9320ecbfccd173e22a45e13b137e17300787e763fd2f35924b209f35a149e80d
adventure-u6-32-model,model-line,combined,mixed,Hello.,assets/audio/generated/32_model-line_model.mp3,9320ecbfccd173e22a45e13b137e17300787e763fd2f35924b209f35a149e80d
adventure-u6-33-1,model-line,Model,en-US-AnaNeural,It’s blue.,assets/audio/generated/33_model-line_01.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-33-model,model-line,combined,mixed,It’s blue.,assets/audio/generated/33_model-line_model.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-34-1,model-line,Model,en-US-AnaNeural,How many? Five.,assets/audio/generated/34_model-line_01.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-34-model,model-line,combined,mixed,How many? Five.,assets/audio/generated/34_model-line_model.mp3,ae0beb279896c00a85bb0590a756bdd475bdf124dbc7c46e29aed49ce32e5d9b
adventure-u6-35-1,model-line,Model,en-US-AnaNeural,Point.,assets/audio/generated/35_model-line_01.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-35-model,model-line,combined,mixed,Point.,assets/audio/generated/35_model-line_model.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-36-1,model-line,Model,en-US-AnaNeural,It’s a dog.,assets/audio/generated/36_model-line_01.mp3,80d17d2eb62f79e8c6fb804e4322f6865786044f3b4b405a4bdfb42a59a4c211
adventure-u6-36-model,model-line,combined,mixed,It’s a dog.,assets/audio/generated/36_model-line_model.mp3,80d17d2eb62f79e8c6fb804e4322f6865786044f3b4b405a4bdfb42a59a4c211
adventure-u6-37-1,model-line,Model,en-US-AnaNeural,Hello. I’m .,assets/audio/generated/37_model-line_01.mp3,95f48ab08f1d3f95a4a9cfa94727c4090fff2feaac48db09f503760a389da750
adventure-u6-37-model,model-line,combined,mixed,Hello. I’m .,assets/audio/generated/37_model-line_model.mp3,95f48ab08f1d3f95a4a9cfa94727c4090fff2feaac48db09f503760a389da750
adventure-u6-38-1,model-line,Model,en-US-AnaNeural,It’s blue.,assets/audio/generated/38_model-line_01.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-38-model,model-line,combined,mixed,It’s blue.,assets/audio/generated/38_model-line_model.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-39-1,model-line,Model,en-US-AnaNeural,I see five stars.,assets/audio/generated/39_model-line_01.mp3,987bc9768815cd6478ca1e7fc46f29c8d081c015c8bfa81ceab463f4fc2aae63
adventure-u6-39-model,model-line,combined,mixed,I see five stars.,assets/audio/generated/39_model-line_model.mp3,987bc9768815cd6478ca1e7fc46f29c8d081c015c8bfa81ceab463f4fc2aae63
adventure-u6-40-1,model-line,Model,en-US-AnaNeural,Point.,assets/audio/generated/40_model-line_01.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-40-model,model-line,combined,mixed,Point.,assets/audio/generated/40_model-line_model.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-41-1,model-line,Model,en-US-AnaNeural,I like dogs.,assets/audio/generated/41_model-line_01.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u6-41-model,model-line,combined,mixed,I like dogs.,assets/audio/generated/41_model-line_model.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u6-42-1,model-line,Model,en-US-AnaNeural,Goodbye.,assets/audio/generated/42_model-line_01.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
adventure-u6-42-model,model-line,combined,mixed,Goodbye.,assets/audio/generated/42_model-line_model.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
adventure-u6-43-1,model-line,Model,en-US-AnaNeural,Hello. I’m .,assets/audio/generated/43_model-line_01.mp3,95f48ab08f1d3f95a4a9cfa94727c4090fff2feaac48db09f503760a389da750
adventure-u6-43-model,model-line,combined,mixed,Hello. I’m .,assets/audio/generated/43_model-line_model.mp3,95f48ab08f1d3f95a4a9cfa94727c4090fff2feaac48db09f503760a389da750
adventure-u6-44-1,model-line,Model,en-US-AnaNeural,It’s blue.,assets/audio/generated/44_model-line_01.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-44-model,model-line,combined,mixed,It’s blue.,assets/audio/generated/44_model-line_model.mp3,e496208057ce6f774fed89b479fde6a66baf0ac0edcb571640e339b61acb4d5d
adventure-u6-45-1,model-line,Model,en-US-AnaNeural,I see five stars.,assets/audio/generated/45_model-line_01.mp3,987bc9768815cd6478ca1e7fc46f29c8d081c015c8bfa81ceab463f4fc2aae63
adventure-u6-45-model,model-line,combined,mixed,I see five stars.,assets/audio/generated/45_model-line_model.mp3,987bc9768815cd6478ca1e7fc46f29c8d081c015c8bfa81ceab463f4fc2aae63
adventure-u6-46-1,model-line,Model,en-US-AnaNeural,Point.,assets/audio/generated/46_model-line_01.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-46-model,model-line,combined,mixed,Point.,assets/audio/generated/46_model-line_model.mp3,8003ae3ba32e9c2e4f5b31cfab2908c22dab65826f3f6a9543771b54b3fe780b
adventure-u6-47-1,model-line,Model,en-US-AnaNeural,I like dogs.,assets/audio/generated/47_model-line_01.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u6-47-model,model-line,combined,mixed,I like dogs.,assets/audio/generated/47_model-line_model.mp3,bc6ceb59f75c20927699356982b451dafe3051a906e49cdc80dd24537c20d15a
adventure-u6-48-1,model-line,Model,en-US-AnaNeural,Goodbye.,assets/audio/generated/48_model-line_01.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
adventure-u6-48-model,model-line,combined,mixed,Goodbye.,assets/audio/generated/48_model-line_model.mp3,854bb0eb3b8401f05bc6245972bce0eaa3ec17793e14361198185a5e77ddd7ed
