Item_ID,Section,Item_No,Skill,KP_Target,Source_Image,Item_Type,Prompt,Option_A,Option_B,Option_C,Option_D,Correct_Option,Correct_Answer,Feedback,Difficulty,Repair_Link
AEW2-U010-L1-Q12,Lesson 1,12,Listening prep,VOC friend,"IMG02, IMG03",listen_and_choose,Listen: friend. Which card do you choose?,friend card,grandma card,dad card,dog card,A,friend card,Correct. Friend is the teammate card.,Easy,Listen again and point
AEW2-U010-L2-Q01,Lesson 2,1,Grammar chunk,This is my ___,"IMG04, IMG05",gap_choice,Complete: This is my ___. (mom card),mom,dad,dog,friend,A,mom,Correct. This is my mom.,Easy,This is my frame
AEW2-U010-L2-Q02,Lesson 2,2,Grammar chunk,This is my ___,"IMG04, IMG05",sentence_choice,Choose the sentence for the dad card.,This is my dad.,This is my mom.,Who’s this?,It’s my dog.,A,This is my dad.,Correct. Use This is my + dad.,Easy,This is my frame
AEW2-U010-L2-Q03,Lesson 2,3,Grammar chunk,This is my ___,"IMG04, IMG05",sentence_choice,Choose the sentence for the friend card.,This is my friend.,This is my grandma.,This is dog.,Who’s this?,A,This is my friend.,Correct. Friend uses the same frame.,Easy,This is my frame
AEW2-U010-L2-Q04,Lesson 2,4,Grammar chunk,This is my ___,"IMG04, IMG05",sentence_choice,Choose the sentence for the dog card.,This is my dog.,This is my dad.,This is my sister.,It’s my mom.,A,This is my dog.,Correct. Toto is a dog.,Easy,This is my frame
AEW2-U010-L2-Q05,Lesson 2,5,Grammar chunk,This is my ___,"IMG04, IMG05",error_correction,Which sentence is correct?,This is my mom.,This my mom.,This is mom.,Is my mom.,A,This is my mom.,Correct. Use This is my.,Easy,This is my frame
AEW2-U010-L2-Q06,Lesson 2,6,Sentence order,This is my ___,"IMG04, IMG05",word_order,Put the words in order for a dad card.,This / is / my / dad.,Dad / my / is / this.,My / dad / this / is.,Is / this / dad / my.,A,This / is / my / dad.,Correct. This is my dad.,Easy,Sentence order repair
AEW2-U010-L2-Q07,Lesson 2,7,Matching,This is my ___,"IMG04, IMG05",matching,Match two cards to two sentences.,mom → This is my mom.; dad → This is my dad.,mom → This is my dad.; dad → This is my mom.,mom → Who’s this?; dad → It’s my dog.,mom → This is my dog.; dad → This is my friend.,A,mom → This is my mom.; dad → This is my dad.,Correct. Each card matches its word.,Easy,Card sentence match
AEW2-U010-L2-Q08,Lesson 2,8,Grammar chunk,my,"IMG04, IMG05",gap_choice,Complete: This is ___ mom.,my,this,who,dog,A,my,Correct. The frame is This is my.,Easy,my repair
AEW2-U010-L2-Q09,Lesson 2,9,Reading,This is my ___,"IMG04, IMG05",sentence_choice,Choose the two correct lines for mom + dad cards.,This is my mom. This is my dad.,This is my dog. This is my friend.,Who’s this? It’s my dog.,Mom dad friend dog.,A,This is my mom. This is my dad.,Correct. The lines match mom and dad.,Easy,Read picture and sentence
AEW2-U010-L2-Q10,Lesson 2,10,Grammar chunk,This is my ___,"IMG04, IMG05",gap_choice,Complete: This is my ___. (friend card),friend,mom,grandpa,dog,A,friend,Correct. This is my friend.,Easy,This is my frame
AEW2-U010-L2-Q11,Lesson 2,11,Reading,Sentence form,"IMG04, IMG05",sentence_choice,Choose the best sentence.,This is my dad.,this is my dad,This is dad my.,This is my.,A,This is my dad.,Correct. It is a full sentence.,Easy,Sentence frame
AEW2-U010-L2-Q12,Lesson 2,12,Speaking prep,This is my ___,"IMG04, IMG05",sentence_choice,You show a Toto card. What can you say?,This is my dog.,This is my mom.,Who’s this?,It’s my grandma.,A,This is my dog.,Correct. Toto is a dog.,Easy,Speaking model
AEW2-U010-L3-Q01,Lesson 3,1,Spoken interaction,Who’s this?,"IMG06, IMG07",sentence_choice,Choose the question for a mystery card.,Who’s this?,This is my mom.,It’s my dog.,friend,A,Who’s this?,Correct. Who’s this? is the question.,Easy,Question vs answer
AEW2-U010-L3-Q02,Lesson 3,2,Spoken interaction,It’s my ___,"IMG06, IMG07",reply_choice,A: Who’s this? B: ___ (mom card),It’s my mom.,Who’s this?,This is my dog.,mom,A,It’s my mom.,Correct. Use It’s my + word.,Easy,Answer frame
AEW2-U010-L3-Q03,Lesson 3,3,Spoken interaction,It’s my ___,"IMG06, IMG07",reply_choice,A: Who’s this? B: ___ (dad card),It’s my dad.,This is my sister.,Who’s this?,It’s dog.,A,It’s my dad.,Correct. It’s my dad.,Easy,Answer frame
AEW2-U010-L3-Q04,Lesson 3,4,Spoken interaction,It’s my ___,"IMG06, IMG07",reply_choice,A: Who’s this? B: ___ (friend card),It’s my friend.,Who’s this?,It’s my grandma.,This is my dad.,A,It’s my friend.,Correct. It’s my friend.,Easy,Answer frame
AEW2-U010-L3-Q05,Lesson 3,5,Spoken interaction,It’s my ___,"IMG06, IMG07",reply_choice,A: Who’s this? B: ___ (dog card),It’s my dog.,It’s my mom.,Who’s this?,This is my brother.,A,It’s my dog.,Correct. It’s my dog.,Easy,Answer frame
AEW2-U010-L3-Q06,Lesson 3,6,Dialogue order,Question + answer,"IMG06, IMG07",sequence,Choose the correct order.,Who’s this? → It’s my dad.,It’s my dad. → Who’s this?,This is my dad. → Who’s this?,Dad → Who’s this?,A,Who’s this? → It’s my dad.,"Correct. Ask first, answer second.",Easy,Dialogue order
AEW2-U010-L3-Q07,Lesson 3,7,Spoken interaction,Question recognition,"IMG06, IMG07",categorize,What is Who’s this?,a question,an answer,a family word,a color,A,a question,Correct. Who’s this? asks about a card.,Easy,Question vs answer
AEW2-U010-L3-Q08,Lesson 3,8,Spoken interaction,Answer recognition,"IMG06, IMG07",sentence_choice,"Choose an answer, not a question.",It’s my friend.,Who’s this?,What color?,Look!,A,It’s my friend.,Correct. It’s my friend is an answer.,Easy,Question vs answer
AEW2-U010-L3-Q09,Lesson 3,9,Grammar chunk,It’s my ___,"IMG06, IMG07",gap_choice,Complete: It’s ___ mom.,my,this,who,dog,A,my,Correct. It’s my mom.,Easy,my repair
AEW2-U010-L3-Q10,Lesson 3,10,Comprehension,Who’s this?,"IMG06, IMG07",true_false,Who’s this? asks about a card.,True,False,,,A,True,Correct. It asks about a person/card.,Easy,Question meaning
AEW2-U010-L3-Q11,Lesson 3,11,Matching,Question + answer,"IMG06, IMG07",matching,Match the dialogue.,Who’s this? → It’s my sister.,Who’s this? → This color is red.,It’s my sister. → Who’s this?,Who’s this? → draw a star,A,Who’s this? → It’s my sister.,Correct. The answer uses It’s my.,Easy,Dialogue match
AEW2-U010-L3-Q12,Lesson 3,12,Spoken interaction,Mini dialogue,"IMG06, IMG07",dialogue_choice,Choose the best mini-dialogue.,A: Who’s this? B: It’s my dog.,A: It’s my dog. B: Who’s this?,A: Mom. B: Dad.,A: This is. B: My dog.,A,A: Who’s this? B: It’s my dog.,Correct. The question and answer match.,Easy,Dialogue model
AEW2-U010-L4-Q01,Lesson 4,1,Vocabulary,family/friend sorting,"IMG08, IMG09",categorize,Where does mom go?,family,friend,color,number,A,family,Correct. Mom is a family word.,Easy,Sort board
AEW2-U010-L4-Q02,Lesson 4,2,Vocabulary,family/friend sorting,"IMG08, IMG09",categorize,Where does dad go?,family,friend,color,number,A,family,Correct. Dad is a family word.,Easy,Sort board
AEW2-U010-L4-Q03,Lesson 4,3,Vocabulary,family/friend sorting,"IMG08, IMG09",categorize,Where does friend go?,friend,family,number,weather,A,friend,Correct. Friend goes with friend.,Easy,Sort board
AEW2-U010-L4-Q04,Lesson 4,4,Vocabulary,dog/Toto,"IMG08, IMG09",word_choice,What word matches Toto?,dog,dad,mom,grandma,A,dog,Correct. Toto is a dog.,Easy,Picture-word review
AEW2-U010-L4-Q05,Lesson 4,5,Grammar chunk,This is my friend.,"IMG08, IMG09",sentence_choice,Choose the sentence for a friend card.,This is my friend.,This is my dad.,Who’s this?,This is my grandma.,A,This is my friend.,Correct. Use friend for a teammate card.,Easy,This is my frame
AEW2-U010-L4-Q06,Lesson 4,6,Project choice,inclusive choice,"IMG08, IMG09",choice,You do not want to use a family card. What can you choose?,a friend card,a long family story,an address,a phone number,A,a friend card,Correct. You can use a friend card.,Easy,Project choice
AEW2-U010-L4-Q07,Lesson 4,7,Matching,family words,"IMG08, IMG09",matching,Choose the family group.,"mom, dad, sister, brother","red, blue, green, yellow","one, two, three, four","run, jump, sit, stand",A,"mom, dad, sister, brother",Correct. These are family words.,Easy,Family word review
AEW2-U010-L4-Q08,Lesson 4,8,Categorizing,family/friend,"IMG08, IMG09",matching,Choose the correct sort.,mom + dad → family,mom + dad → friend,friend → family only,dog → color,A,mom + dad → family,Correct. Mom and dad go in family.,Easy,Sort board
AEW2-U010-L4-Q09,Lesson 4,9,Categorizing,friend,"IMG08, IMG09",matching,Choose the correct sort.,friend card → friend,friend card → number,friend card → weather,friend card → color,A,friend card → friend,Correct. Friend card goes in the friend column.,Easy,Sort board
AEW2-U010-L4-Q10,Lesson 4,10,Project choice,friend option,"IMG08, IMG09",true_false,A friend card can be in my poster.,True,False,,,A,True,Correct. Family or friend cards are okay.,Easy,Project choice
AEW2-U010-L4-Q11,Lesson 4,11,Vocabulary,blocked/off-topic vocabulary,"IMG08, IMG09",odd_one_out,Which word is NOT a Unit 10 family/friend word?,robot,mom,dad,friend,A,robot,"Correct. Robot is from toys, not Unit 10.",Medium,Vocabulary boundary
AEW2-U010-L4-Q12,Lesson 4,12,Grammar chunk,singular friend,"IMG08, IMG09",error_correction,Choose the correct sentence.,This is my friend.,This is my friends.,This my friend.,Friend this my.,A,This is my friend.,Correct. Use This is my friend.,Easy,This is my frame
AEW2-U010-L5-Q01,Lesson 5,1,Reading,read-match,"IMG10, IMG11",read_and_choose,Read: This is my mom. Choose the card.,mom card,dad card,dog card,friend card,A,mom card,Correct. The sentence says mom.,Easy,Read picture first
AEW2-U010-L5-Q02,Lesson 5,2,Reading,read-match,"IMG10, IMG11",read_and_choose,Read: This is my dad. Choose the card.,dad card,mom card,friend card,dog card,A,dad card,Correct. The sentence says dad.,Easy,Read picture first
AEW2-U010-L5-Q03,Lesson 5,3,Reading,read-match,"IMG10, IMG11",read_and_choose,Read: This is my friend. Choose the card.,friend card,grandma card,dad card,dog card,A,friend card,Correct. The sentence says friend.,Easy,Read picture first
AEW2-U010-L5-Q04,Lesson 5,4,Reading,read-match,"IMG10, IMG11",read_and_choose,Read: This is Toto. Choose the card.,Toto/dog card,mom card,dad card,sister card,A,Toto/dog card,Correct. Toto is the dog.,Easy,Read picture first
AEW2-U010-L5-Q05,Lesson 5,5,Reading,true/false,"IMG10, IMG11",true_false,Picture: mom card. Sentence: This is my mom.,True,False,,,A,True,Correct. The picture and sentence match.,Easy,Read and match
AEW2-U010-L5-Q06,Lesson 5,6,Reading,true/false,"IMG10, IMG11",true_false,Picture: dad card. Sentence: This is my friend.,False,True,,,A,False,Correct. Dad is not friend.,Easy,Read and match
AEW2-U010-L5-Q07,Lesson 5,7,Reading,sentence recognition,"IMG10, IMG11",sentence_choice,Choose the line with friend.,This is my friend.,This is my mom.,This is my dad.,This is Toto.,A,This is my friend.,Correct. Friend is in the line.,Easy,Word scan
AEW2-U010-L5-Q08,Lesson 5,8,Reading,sentence words,"IMG10, IMG11",word_choice,What is the first word in This is my mom?,This,mom,my,is,A,This,Correct. The sentence starts with This.,Easy,Sentence frame
AEW2-U010-L5-Q09,Lesson 5,9,Reading,punctuation,"IMG10, IMG11",choice,Which ending mark do you see in This is my dad.?,.,?,!,",",A,.,Correct. This line ends with a period.,Medium,Reading detail
AEW2-U010-L5-Q10,Lesson 5,10,Reading,detail,"IMG10, IMG11",detail_choice,Mini text: This is my mom. This is my dad. This is my friend. How many cards?,3,1,2,5,A,3,Correct. There are three lines/cards.,Medium,Count the lines
AEW2-U010-L5-Q11,Lesson 5,11,Reading,This is my ___,"IMG10, IMG11",gap_choice,Complete: This is my ___. (Toto card),dog,dad,mom,grandpa,A,dog,Correct. Toto is a dog.,Easy,Picture clue
AEW2-U010-L5-Q12,Lesson 5,12,Reading,title/main idea,"IMG10, IMG11",main_idea,Choose the best title for the mini reading.,My Family and Friends,My Red Ball,My Number Trail,My Weather Card,A,My Family and Friends,Correct. The reading is about family and friends.,Medium,Main idea with pictures
AEW2-U010-L6-Q01,Lesson 6,1,Project prep,poster vocabulary,"IMG12, IMG13",choice,What do you put on the tree poster?,photo cards,shoes,lunch boxes,weather clouds,A,photo cards,Correct. Use photo cards on the poster.,Easy,Project steps
AEW2-U010-L6-Q02,Lesson 6,2,Project prep,This is my ___,"IMG12, IMG13",sentence_choice,Choose a good project line.,This is my mom.,Mom dad dog.,Who’s my?,This friend is.,A,This is my mom.,Correct. It is a clear project line.,Easy,Phrase bank
AEW2-U010-L6-Q03,Lesson 6,3,Project prep,Who’s this?,"IMG12, IMG13",sentence_choice,Choose the question from the phrase bank.,Who’s this?,This is my mom.,It’s my dad.,dog,A,Who’s this?,Correct. Who’s this? is the question.,Easy,Phrase bank
AEW2-U010-L6-Q04,Lesson 6,4,Project prep,It’s my ___,"IMG12, IMG13",gap_choice,Complete the answer frame: It’s my ___.,friend,who,this,is,A,friend,Correct. It’s my friend.,Easy,Answer frame
AEW2-U010-L6-Q05,Lesson 6,5,Project prep,labels,"IMG12, IMG13",word_choice,Choose the label under a Toto card.,dog,mom,dad,grandma,A,dog,Correct. Toto is a dog.,Easy,Label choice
AEW2-U010-L6-Q06,Lesson 6,6,Project choice,friend option,"IMG12, IMG13",choice,Which card is okay for your poster?,friend card,address card,phone number card,family history card,A,friend card,Correct. A friend card is okay.,Easy,Project safety
AEW2-U010-L6-Q07,Lesson 6,7,Project prep,project sequence,"IMG12, IMG13",sequence,Choose the best project order.,Choose cards → put on tree → say lines,Say lines → hide cards → choose tree,Put glue everywhere → write long story → stop,Count to twenty → draw weather → say dog,A,Choose cards → put on tree → say lines,Correct. This is the simple project order.,Medium,Project steps
AEW2-U010-L6-Q08,Lesson 6,8,Project prep,card count,"IMG12, IMG13",true_false,Use 3 or 4 cards for your poster.,True,False,,,A,True,Correct. Use 3 or 4 cards.,Easy,Project checklist
AEW2-U010-L6-Q09,Lesson 6,9,Vocabulary,off-topic word,"IMG12, IMG13",odd_one_out,Which word does not fit the poster?,blue,mom,friend,dog,A,blue,"Correct. Blue is a color, not a poster person/card word.",Medium,Vocabulary boundary
AEW2-U010-L6-Q10,Lesson 6,10,Grammar chunk,This is my ___,"IMG12, IMG13",gap_choice,Complete: This is ___ friend.,my,who,it,dog,A,my,Correct. This is my friend.,Easy,This is my frame
AEW2-U010-L6-Q11,Lesson 6,11,Project prep,self-check,"IMG12, IMG13",choice,Which self-check helps your presentation?,"3 lines, clear voice, smile","Run fast, shout, hide",Use long family history,Write an address,A,"3 lines, clear voice, smile",Correct. This is the self-check.,Easy,Presentation checklist
AEW2-U010-L6-Q12,Lesson 6,12,Project prep,Toto line,"IMG12, IMG13",sentence_choice,Choose the line for a Toto card.,This is Toto.,This is my grandma.,Who’s Toto my?,This dog my.,A,This is Toto.,Correct. Use This is Toto.,Easy,Project phrase bank
AEW2-U010-L7-Q01,Lesson 7,1,Speaking prep,presentation opening,"IMG14, IMG15",sentence_choice,Choose a friendly first word.,Hello.,Goodbye.,Under.,Robot.,A,Hello.,Correct. Hello starts the presentation.,Easy,Presentation model
AEW2-U010-L7-Q02,Lesson 7,2,Speaking prep,This is my ___,"IMG14, IMG15",sentence_choice,Choose the line for a mom card.,This is my mom.,This is my dog.,Who’s this?,It’s my friend.,A,This is my mom.,Correct. This matches the mom card.,Easy,Presentation model
AEW2-U010-L7-Q03,Lesson 7,3,Speaking prep,This is my friend.,"IMG14, IMG15",sentence_choice,Choose the line for a friend card.,This is my friend.,This is my dad.,This is Toto.,Who’s this?,A,This is my friend.,Correct. This matches the friend card.,Easy,Presentation model
AEW2-U010-L7-Q04,Lesson 7,4,Speaking prep,This is Toto.,"IMG14, IMG15",sentence_choice,Choose the line for Toto.,This is Toto.,This is my mom.,It’s my sister.,Who’s this?,A,This is Toto.,Correct. This line introduces Toto.,Easy,Presentation model
AEW2-U010-L7-Q05,Lesson 7,5,Speaking strategy,clear voice,"IMG14, IMG15",choice,Which card means speak clearly?,clear voice,small voice,no voice,fast run,A,clear voice,Correct. Use a clear voice.,Easy,Self-check cards
AEW2-U010-L7-Q06,Lesson 7,6,Speaking strategy,3 lines,"IMG14, IMG15",choice,How many lines do you need?,3 lines,30 lines,0 lines,a long story,A,3 lines,Correct. Three simple lines are enough.,Easy,Self-check cards
AEW2-U010-L7-Q07,Lesson 7,7,Speaking strategy,smile,"IMG14, IMG15",choice,Which self-check is friendly?,smile,hide,shout,run away,A,smile,Correct. A smile helps show confidence.,Easy,Self-check cards
AEW2-U010-L7-Q08,Lesson 7,8,Speaking prep,presentation order,"IMG14, IMG15",sequence,Choose a good presentation order.,Hello. → This is my mom. → This is my friend.,This is my friend. → Hello. → Who’s this?,Dog. → Mom. → Run.,Who’s this? → Who’s this? → Who’s this?,A,Hello. → This is my mom. → This is my friend.,"Correct. Start with Hello, then show cards.",Medium,Presentation order
AEW2-U010-L7-Q09,Lesson 7,9,Speaking strategy,self-check,"IMG14, IMG15",odd_one_out,Which is NOT on the self-check cards?,hide,3 lines,clear voice,smile,A,hide,Correct. Hide is not a good presentation check.,Easy,Self-check cards
AEW2-U010-L7-Q10,Lesson 7,10,Spoken interaction,Who’s this? reply,"IMG14, IMG15",reply_choice,A friend asks: Who’s this? You show a friend card. What do you say?,It’s my friend.,Who’s this?,This is my mom.,It’s my dad.,A,It’s my friend.,Correct. That answers the question.,Easy,Question-answer review
AEW2-U010-L7-Q11,Lesson 7,11,Portfolio,evidence,"IMG14, IMG15",choice,What is your portfolio evidence?,poster + voice lines,only a pencil,a weather card,a shopping list,A,poster + voice lines,Correct. Show the poster and say your lines.,Medium,Portfolio checklist
AEW2-U010-L7-Q12,Lesson 7,12,Project choice,friend option,"IMG14, IMG15",true_false,It is okay to show a friend card.,True,False,,,A,True,Correct. Friend cards are okay.,Easy,Inclusive project choice
AEW2-U010-W-Q01,Watch,1,Listening/Viewing,Watch detail,IMG16–IMG20,detail_choice,Frame 1: What does Toto find?,photo cards,a lunch box,a toy car,a pencil,A,photo cards,Correct. Toto finds photo cards.,Easy,Replay frame 1
AEW2-U010-W-Q02,Watch,2,Listening/Viewing,Watch detail,IMG16–IMG20,detail_choice,Frame 1: What is near the cards?,a blank tree poster,a weather window,a sports field,a birthday cake,A,a blank tree poster,Correct. The tree poster is ready.,Easy,Replay frame 1
AEW2-U010-W-Q03,Watch,3,Listening/Viewing,VOC mom,IMG16–IMG20,word_choice,Frame 2: Leo shows a ___ card.,mom,dog,friend,brother,A,mom,Correct. Leo shows a mom card.,Easy,Replay frame 2
AEW2-U010-W-Q04,Watch,4,Listening/Viewing,This is my ___,IMG16–IMG20,sentence_choice,Frame 2: What caption matches?,This is my mom.,Who’s this?,It’s my friend.,This is Toto.,A,This is my mom.,Correct. The caption matches Leo’s card.,Easy,Caption match
AEW2-U010-W-Q05,Watch,5,Listening/Viewing,Who’s this?,IMG16–IMG20,sentence_choice,Frame 3: What does Mia ask?,Who’s this?,This is my mom.,It’s my dog.,Goodbye.,A,Who’s this?,Correct. Mia asks Who’s this?,Easy,Replay frame 3
AEW2-U010-W-Q06,Watch,6,Listening/Viewing,Watch detail,IMG16–IMG20,detail_choice,Frame 3: Who thinks about the answer?,Emma,Toto,Leo,the teacher,A,Emma,Correct. Emma thinks about the answer.,Easy,Replay frame 3
AEW2-U010-W-Q07,Watch,7,Listening/Viewing,VOC friend,IMG16–IMG20,word_choice,Frame 4: Emma shows a ___ card.,friend,grandpa,sister,dad,A,friend,Correct. Emma shows a friend card.,Easy,Replay frame 4
AEW2-U010-W-Q08,Watch,8,Listening/Viewing,It’s my ___,IMG16–IMG20,reply_choice,Frame 4: Choose the best reply.,It’s my friend.,Who’s this?,This is my mom.,It’s my dad.,A,It’s my friend.,Correct. It’s my friend.,Easy,Caption match
AEW2-U010-W-Q09,Watch,9,Listening/Viewing,main idea,IMG16–IMG20,main_idea,Frame 5: What do they finish?,a tree poster,a toy box,a snack order,a weather card,A,a tree poster,Correct. They finish a tree poster.,Easy,Replay frame 5
AEW2-U010-W-Q10,Watch,10,Listening/Viewing,sequence,IMG16–IMG20,sequence,Choose the story order.,Toto finds cards → Leo says mom → Mia asks → Emma says friend → poster is finished,Poster is finished → Toto finds cards → snack time → Leo runs → goodbye,Mia asks → poster is finished → Toto finds cards → color quest → dog,Leo says mom → dog sleeps → weather → poster → number trail,A,Toto finds cards → Leo says mom → Mia asks → Emma says friend → poster is finished,Correct. That is the Watch story order.,Medium,Story sequence
AEW2-U010-W-Q11,Watch,11,Listening/Viewing,Watch vocabulary,IMG16–IMG20,word_choice,Which word is in the Watch story?,friend,rainy,ticket,robot,A,friend,Correct. Friend is a Unit 10 word.,Easy,Watch vocabulary
AEW2-U010-W-Q12,Watch,12,Project connection,project output,IMG16–IMG20,choice,What can you make after the Watch story?,a family/friend poster,a restaurant menu,a map of town,a sports card,A,a family/friend poster,Correct. The Watch story helps the final project.,Easy,Project connection
AEW2-U010-P-Q01,Project,1,Project readiness,project title,IMG21–IMG24,choice,Choose the project title.,My Family/Friend Poster,My Toy Location Page,My Snack Order,My Weather Window,A,My Family/Friend Poster,Correct. This is Unit 10’s project.,Easy,Project overview
AEW2-U010-P-Q02,Project,2,Project readiness,This is my ___,IMG21–IMG24,sentence_choice,Choose the line for a mom card.,This is my mom.,This is my dog.,Who’s this?,It’s my friend.,A,This is my mom.,Correct. This line matches the mom card.,Easy,Phrase bank
AEW2-U010-P-Q03,Project,3,Project readiness,This is my friend.,IMG21–IMG24,sentence_choice,Choose the line for a friend card.,This is my friend.,This is my dad.,This is Toto.,Who’s this?,A,This is my friend.,Correct. This line matches the friend card.,Easy,Phrase bank
AEW2-U010-P-Q04,Project,4,Project readiness,This is Toto.,IMG21–IMG24,sentence_choice,Choose the line for Toto.,This is Toto.,This is my grandma.,Who’s this?,It’s my sister.,A,This is Toto.,Correct. This line introduces Toto.,Easy,Phrase bank
AEW2-U010-P-Q05,Project,5,Project readiness,This is my ___,IMG21–IMG24,gap_choice,Complete: This is ___ mom.,my,who,dog,this,A,my,Correct. Use my in the frame.,Easy,This is my frame
AEW2-U010-P-Q06,Project,6,Project readiness,Who’s this?,IMG21–IMG24,sentence_choice,Choose the question to ask about a card.,Who’s this?,This is my mom.,It’s my dad.,Hello.,A,Who’s this?,Correct. Who’s this? asks about a card.,Easy,Question frame
AEW2-U010-P-Q07,Project,7,Project readiness,It’s my ___,IMG21–IMG24,reply_choice,A: Who’s this? B: ___ (dad card),It’s my dad.,Who’s this?,This is my friend.,It’s my dog.,A,It’s my dad.,Correct. It’s my dad answers the question.,Easy,Answer frame
AEW2-U010-P-Q08,Project,8,Project readiness,sentence order,IMG21–IMG24,word_order,Put the words in order.,This / is / my / friend.,Friend / my / is / this.,My / this / friend / is.,Is / friend / this / my.,A,This / is / my / friend.,Correct. This is my friend.,Easy,Sentence order
AEW2-U010-P-Q09,Project,9,Project readiness,project checklist,IMG21–IMG24,true_false,Use 3 or 4 cards on your poster.,True,False,,,A,True,Correct. Use 3 or 4 cards.,Easy,Project checklist
AEW2-U010-P-Q10,Project,10,Project readiness,speaking checklist,IMG21–IMG24,choice,Choose a good speaking check.,clear voice,tiny hidden voice,no card,run away,A,clear voice,Correct. Use a clear voice.,Easy,Speaking checklist
AEW2-U010-P-Q11,Project,11,Repair,use phrase bank,IMG21–IMG24,choice,You forget a line. What can help?,Look at the phrase bank.,Hide the poster.,Write an address.,Use a long story.,A,Look at the phrase bank.,Correct. The phrase bank helps.,Easy,Repair path
AEW2-U010-P-Q12,Project,12,Portfolio,portfolio evidence,IMG21–IMG24,choice,Choose the final evidence.,I can show my poster!,I can cook lunch!,I can buy a ticket!,I can run fast!,A,I can show my poster!,Correct. This is the end-of-unit evidence.,Easy,Portfolio checklist
