audio_id,section,text,suggested_file,status
U3-AUD-063,L4,Eleven leaves.,assets/audio/l4_063.mp3,placeholder
U3-AUD-064,L4,Twelve stars.,assets/audio/l4_064.mp3,placeholder
U3-AUD-065,L4,Thirteen flowers.,assets/audio/l4_065.mp3,placeholder
U3-AUD-066,L4,Fourteen stones.,assets/audio/l4_066.mp3,placeholder
U3-AUD-067,L4,Fifteen flags.,assets/audio/l4_067.mp3,placeholder
U3-AUD-068,L5,The friends are near the finish.,assets/audio/l5_068.mp3,placeholder
U3-AUD-069,L5,Mia waves. “Look! 16!”,assets/audio/l5_069.mp3,placeholder
U3-AUD-070,L5,"Leo points. “17, 18, 19!”",assets/audio/l5_070.mp3,placeholder
U3-AUD-071,L5,Emma sees the last sign. “20!”,assets/audio/l5_071.mp3,placeholder
U3-AUD-072,L5,Toto runs to the finish.,assets/audio/l5_072.mp3,placeholder
U3-AUD-073,L5,"The friends say, “We can count to twenty!”",assets/audio/l5_073.mp3,placeholder
U3-AUD-074,L5,16 — sixteen,assets/audio/l5_074.mp3,placeholder
U3-AUD-075,L5,17 — seventeen,assets/audio/l5_075.mp3,placeholder
U3-AUD-076,L5,18 — eighteen,assets/audio/l5_076.mp3,placeholder
U3-AUD-077,L5,19 — nineteen,assets/audio/l5_077.mp3,placeholder
U3-AUD-078,L5,20 — twenty,assets/audio/l5_078.mp3,placeholder
U3-AUD-079,L5,Sixteen flowers.,assets/audio/l5_079.mp3,placeholder
U3-AUD-080,L5,Seventeen stars.,assets/audio/l5_080.mp3,placeholder
U3-AUD-081,L5,Eighteen leaves.,assets/audio/l5_081.mp3,placeholder
U3-AUD-082,L5,Nineteen stones.,assets/audio/l5_082.mp3,placeholder
U3-AUD-083,L5,Twenty flags.,assets/audio/l5_083.mp3,placeholder
U3-AUD-084,L6,Leo shows one star.,assets/audio/l6_084.mp3,placeholder
U3-AUD-085,L6,Toto looks at two stars.,assets/audio/l6_085.mp3,placeholder
U3-AUD-086,L6,"Leo says, “One star. Two stars.”",assets/audio/l6_086.mp3,placeholder
U3-AUD-087,L6,Mia shows one flower.,assets/audio/l6_087.mp3,placeholder
U3-AUD-088,L6,Emma shows four flowers.,assets/audio/l6_088.mp3,placeholder
U3-AUD-089,L6,The friends sort one and more than one.,assets/audio/l6_089.mp3,placeholder
U3-AUD-090,L6,one star,assets/audio/l6_090.mp3,placeholder
U3-AUD-091,L6,two stars,assets/audio/l6_091.mp3,placeholder
U3-AUD-092,L6,one flower,assets/audio/l6_092.mp3,placeholder
U3-AUD-093,L6,three flowers,assets/audio/l6_093.mp3,placeholder
U3-AUD-094,L6,one ball,assets/audio/l6_094.mp3,placeholder
U3-AUD-095,L6,four balls,assets/audio/l6_095.mp3,placeholder
U3-AUD-096,L6,One star. Two stars.,assets/audio/l6_096.mp3,placeholder
U3-AUD-097,L6,One book. Two books.,assets/audio/l6_097.mp3,placeholder
U3-AUD-098,L6,One apple. Three apples.,assets/audio/l6_098.mp3,placeholder
U3-AUD-099,L6,One flower. Four flowers.,assets/audio/l6_099.mp3,placeholder
U3-AUD-100,L7,It is the final number challenge.,assets/audio/l7_100.mp3,placeholder
U3-AUD-101,L7,Leo finds the number line.,assets/audio/l7_101.mp3,placeholder
U3-AUD-102,L7,"Mia asks, “How many?”",assets/audio/l7_102.mp3,placeholder
U3-AUD-103,L7,Emma matches pictures and numbers.,assets/audio/l7_103.mp3,placeholder
U3-AUD-104,L7,Toto sits in the middle of the trail map.,assets/audio/l7_104.mp3,placeholder
U3-AUD-105,L7,"The friends say, “Great job! We can count!”",assets/audio/l7_105.mp3,placeholder
U3-AUD-106,L7,0 to 20,assets/audio/l7_106.mp3,placeholder
U3-AUD-107,L7,How many?,assets/audio/l7_107.mp3,placeholder
U3-AUD-108,L7,Count and check.,assets/audio/l7_108.mp3,placeholder
U3-AUD-109,L7,One or more?,assets/audio/l7_109.mp3,placeholder
U3-AUD-110,L7,Great job!,assets/audio/l7_110.mp3,placeholder
U3-AUD-111,L7,How many stars?,assets/audio/l7_111.mp3,placeholder
U3-AUD-112,L7,Twelve stars.,assets/audio/l7_112.mp3,placeholder
U3-AUD-113,L7,How many flags?,assets/audio/l7_113.mp3,placeholder
U3-AUD-114,L7,Twenty flags.,assets/audio/l7_114.mp3,placeholder
U3-AUD-115,L7,"Goodbye, Number Trail!",assets/audio/l7_115.mp3,placeholder
U3-AUD-116,W,Hello! It’s the Number Trail.,assets/audio/watch_116.mp3,placeholder
U3-AUD-117,W,Toto runs. Look! One star.,assets/audio/watch_117.mp3,placeholder
U3-AUD-118,W,How many flowers? Two flowers.,assets/audio/watch_118.mp3,placeholder
U3-AUD-119,W,Leo counts. Three balls.,assets/audio/watch_119.mp3,placeholder
U3-AUD-120,W,Mia counts. Four leaves.,assets/audio/watch_120.mp3,placeholder
U3-AUD-121,W,Emma counts. Five apples.,assets/audio/watch_121.mp3,placeholder
U3-AUD-122,W,"The signs go on: six, seven, eight, nine, ten.",assets/audio/watch_122.mp3,placeholder
U3-AUD-123,W,"More signs: eleven, twelve, thirteen, fourteen, fifteen.",assets/audio/watch_123.mp3,placeholder
U3-AUD-124,W,"Final signs: sixteen, seventeen, eighteen, nineteen, twenty.",assets/audio/watch_124.mp3,placeholder
U3-AUD-125,W,How many flags? Twenty flags.,assets/audio/watch_125.mp3,placeholder
U3-AUD-126,W,Toto is happy.,assets/audio/watch_126.mp3,placeholder
U3-AUD-127,W,"Goodbye, Number Trail!",assets/audio/watch_127.mp3,placeholder
U3-AUD-128,P,Hello. I’m ___.,assets/audio/project_128.mp3,placeholder
U3-AUD-129,P,How many stars? Three stars.,assets/audio/project_129.mp3,placeholder
U3-AUD-130,P,How many balls? Five balls.,assets/audio/project_130.mp3,placeholder
U3-AUD-131,P,How many flowers? Two flowers.,assets/audio/project_131.mp3,placeholder
U3-AUD-132,P,Goodbye.,assets/audio/project_132.mp3,placeholder
U3-PRACTICE-U3-L1-01,L1,Look: no stars. How many?,audio/l1_01.mp3,placeholder
U3-PRACTICE-U3-L1-02,L1,Look: 1 star. Choose the number.,audio/l1_02.mp3,placeholder
U3-PRACTICE-U3-L1-03,L1,Look: 2 flowers. Choose the number.,audio/l1_03.mp3,placeholder
U3-PRACTICE-U3-L1-04,L1,Look: 3 balls. Choose the number.,audio/l1_04.mp3,placeholder
U3-PRACTICE-U3-L1-05,L1,Look: 4 leaves. Choose the number.,audio/l1_05.mp3,placeholder
U3-PRACTICE-U3-L1-06,L1,Look: 5 apples. Choose the number.,audio/l1_06.mp3,placeholder
U3-PRACTICE-U3-L1-07,L1,Choose the number word: 0 = ___.,audio/l1_07.mp3,placeholder
U3-PRACTICE-U3-L1-08,L1,Choose the number word: 4 = ___.,audio/l1_08.mp3,placeholder
U3-PRACTICE-U3-L1-09,L1,"Choose the next number: 0, 1, 2, ___.",audio/l1_09.mp3,placeholder
U3-PRACTICE-U3-L1-10,L1,"Choose the next number: 2, 3, 4, ___.",audio/l1_10.mp3,placeholder
U3-PRACTICE-U3-L1-11,L1,Look: 1 star. Choose the phrase.,audio/l1_11.mp3,placeholder
U3-PRACTICE-U3-L1-12,L1,Listen: “five.” Choose the number.,audio/l1_12.mp3,placeholder
U3-PRACTICE-U3-L2-01,L2,Look: 6 flowers. Choose the number.,audio/l2_01.mp3,placeholder
U3-PRACTICE-U3-L2-02,L2,Look: 7 stars. Choose the number.,audio/l2_02.mp3,placeholder
U3-PRACTICE-U3-L2-03,L2,Look: 8 leaves. Choose the number.,audio/l2_03.mp3,placeholder
U3-PRACTICE-U3-L2-04,L2,Look: 9 balls. Choose the number.,audio/l2_04.mp3,placeholder
U3-PRACTICE-U3-L2-05,L2,Look: number 10. Choose the number.,audio/l2_05.mp3,placeholder
U3-PRACTICE-U3-L2-06,L2,Choose the number word: 6 = ___.,audio/l2_06.mp3,placeholder
U3-PRACTICE-U3-L2-07,L2,Choose the number word: 8 = ___.,audio/l2_07.mp3,placeholder
U3-PRACTICE-U3-L2-08,L2,Choose the number word: 10 = ___.,audio/l2_08.mp3,placeholder
U3-PRACTICE-U3-L2-09,L2,"Choose the next number: 6, 7, 8, ___.",audio/l2_09.mp3,placeholder
U3-PRACTICE-U3-L2-10,L2,"Choose the next number: 8, 9, ___.",audio/l2_10.mp3,placeholder
U3-PRACTICE-U3-L2-11,L2,Look: 7 stars. Choose the phrase.,audio/l2_11.mp3,placeholder
U3-PRACTICE-U3-L2-12,L2,Listen: “nine.” Choose the number.,audio/l2_12.mp3,placeholder
U3-PRACTICE-U3-L3-01,L3,Choose the counting question.,audio/l3_01.mp3,placeholder
U3-PRACTICE-U3-L3-02,L3,How many stars? Look: 3 stars.,audio/l3_02.mp3,placeholder
U3-PRACTICE-U3-L3-03,L3,How many flowers? Look: 4 flowers.,audio/l3_03.mp3,placeholder
U3-PRACTICE-U3-L3-04,L3,How many balls? Look: 5 balls.,audio/l3_04.mp3,placeholder
U3-PRACTICE-U3-L3-05,L3,How many books? Look: 7 books.,audio/l3_05.mp3,placeholder
U3-PRACTICE-U3-L3-06,L3,How many apples? Look: 8 apples.,audio/l3_06.mp3,placeholder
U3-PRACTICE-U3-L3-07,L3,Mia: How many? Leo: ___ Look: 6 stars.,audio/l3_07.mp3,placeholder
U3-PRACTICE-U3-L3-08,L3,Choose the question for counting flowers.,audio/l3_08.mp3,placeholder
U3-PRACTICE-U3-L3-09,L3,How many bags? Look: 2 bags.,audio/l3_09.mp3,placeholder
U3-PRACTICE-U3-L3-10,L3,"Choose the next number: 7, 8, 9, ___.",audio/l3_10.mp3,placeholder
U3-PRACTICE-U3-L3-11,L3,Look: 3 balls. The answer is “Three balls.”,audio/l3_11.mp3,placeholder
U3-PRACTICE-U3-L3-12,L3,How many stars? Look: 10 stars.,audio/l3_12.mp3,placeholder
U3-PRACTICE-U3-L4-01,L4,Look: 11 leaves. Choose the number.,audio/l4_01.mp3,placeholder
U3-PRACTICE-U3-L4-02,L4,Look: 12 stars. Choose the number.,audio/l4_02.mp3,placeholder
U3-PRACTICE-U3-L4-03,L4,Look: 13 flowers. Choose the number.,audio/l4_03.mp3,placeholder
U3-PRACTICE-U3-L4-04,L4,Look: 14 stones. Choose the number.,audio/l4_04.mp3,placeholder
U3-PRACTICE-U3-L4-05,L4,Look: number 15. Choose the number.,audio/l4_05.mp3,placeholder
U3-PRACTICE-U3-L4-06,L4,Choose the number word: 11 = ___.,audio/l4_06.mp3,placeholder
U3-PRACTICE-U3-L4-07,L4,Choose the number word: 12 = ___.,audio/l4_07.mp3,placeholder
U3-PRACTICE-U3-L4-08,L4,Choose the number word: 15 = ___.,audio/l4_08.mp3,placeholder
U3-PRACTICE-U3-L4-09,L4,"Choose the next number: 11, 12, 13, ___.",audio/l4_09.mp3,placeholder
U3-PRACTICE-U3-L4-10,L4,"Choose the next number: 13, 14, ___.",audio/l4_10.mp3,placeholder
U3-PRACTICE-U3-L4-11,L4,Look: 13 flowers. Choose the phrase.,audio/l4_11.mp3,placeholder
U3-PRACTICE-U3-L4-12,L4,Listen: “fourteen.” Choose the number.,audio/l4_12.mp3,placeholder
U3-PRACTICE-U3-L5-01,L5,Look: 16 flowers. Choose the number.,audio/l5_01.mp3,placeholder
U3-PRACTICE-U3-L5-02,L5,Look: 17 stars. Choose the number.,audio/l5_02.mp3,placeholder
U3-PRACTICE-U3-L5-03,L5,Look: 18 leaves. Choose the number.,audio/l5_03.mp3,placeholder
U3-PRACTICE-U3-L5-04,L5,Look: 19 stones. Choose the number.,audio/l5_04.mp3,placeholder
U3-PRACTICE-U3-L5-05,L5,Look: number 20. Choose the number.,audio/l5_05.mp3,placeholder
U3-PRACTICE-U3-L5-06,L5,Choose the number word: 16 = ___.,audio/l5_06.mp3,placeholder
U3-PRACTICE-U3-L5-07,L5,Choose the number word: 17 = ___.,audio/l5_07.mp3,placeholder
U3-PRACTICE-U3-L5-08,L5,Choose the number word: 20 = ___.,audio/l5_08.mp3,placeholder
U3-PRACTICE-U3-L5-09,L5,"Choose the next number: 16, 17, 18, ___.",audio/l5_09.mp3,placeholder
U3-PRACTICE-U3-L5-10,L5,"Choose the next number: 18, 19, ___.",audio/l5_10.mp3,placeholder
U3-PRACTICE-U3-L5-11,L5,Look: 20 stars. Choose the phrase.,audio/l5_11.mp3,placeholder
U3-PRACTICE-U3-L5-12,L5,Listen: “eighteen.” Choose the number.,audio/l5_12.mp3,placeholder
U3-PRACTICE-U3-L6-01,L6,Look: 1 star. Choose the phrase.,audio/l6_01.mp3,placeholder
U3-PRACTICE-U3-L6-02,L6,Look: 2 stars. Choose the phrase.,audio/l6_02.mp3,placeholder
U3-PRACTICE-U3-L6-03,L6,Look: 1 book. Choose the phrase.,audio/l6_03.mp3,placeholder
U3-PRACTICE-U3-L6-04,L6,Look: 3 books. Choose the phrase.,audio/l6_04.mp3,placeholder
U3-PRACTICE-U3-L6-05,L6,Look: 1 apple. Choose the phrase.,audio/l6_05.mp3,placeholder
U3-PRACTICE-U3-L6-06,L6,Look: 4 apples. Choose the phrase.,audio/l6_06.mp3,placeholder
U3-PRACTICE-U3-L6-07,L6,Look: 1 bag. Choose the phrase.,audio/l6_07.mp3,placeholder
U3-PRACTICE-U3-L6-08,L6,Look: 2 bags. Choose the phrase.,audio/l6_08.mp3,placeholder
U3-PRACTICE-U3-L6-09,L6,Look: 5 balls. Choose.,audio/l6_09.mp3,placeholder
U3-PRACTICE-U3-L6-10,L6,Look: 1 flower. Choose.,audio/l6_10.mp3,placeholder
U3-PRACTICE-U3-L6-11,L6,How many flowers? Look: 4 flowers.,audio/l6_11.mp3,placeholder
U3-PRACTICE-U3-L6-12,L6,Choose the good pair.,audio/l6_12.mp3,placeholder
U3-PRACTICE-U3-L7-01,L7,"Choose the next number: 4, 5, ___.",audio/l7_01.mp3,placeholder
U3-PRACTICE-U3-L7-02,L7,"Choose the next number: 9, 10, ___.",audio/l7_02.mp3,placeholder
U3-PRACTICE-U3-L7-03,L7,Look: no apples. How many?,audio/l7_03.mp3,placeholder
U3-PRACTICE-U3-L7-04,L7,Look: 12 stars. Choose the number.,audio/l7_04.mp3,placeholder
U3-PRACTICE-U3-L7-05,L7,Choose the counting question.,audio/l7_05.mp3,placeholder
U3-PRACTICE-U3-L7-06,L7,Look: 1 book. Choose the phrase.,audio/l7_06.mp3,placeholder
U3-PRACTICE-U3-L7-07,L7,Look: number 20. Choose the number.,audio/l7_07.mp3,placeholder
U3-PRACTICE-U3-L7-08,L7,Choose the number word: 15 = ___.,audio/l7_08.mp3,placeholder
U3-PRACTICE-U3-L7-09,L7,Look: 3 apples. Choose the phrase.,audio/l7_09.mp3,placeholder
U3-PRACTICE-U3-L7-10,L7,Choose the goodbye word.,audio/l7_10.mp3,placeholder
U3-PRACTICE-U3-L7-11,L7,Look: 14 stones. Choose the number.,audio/l7_11.mp3,placeholder
U3-PRACTICE-U3-L7-12,L7,Choose the full unit line.,audio/l7_12.mp3,placeholder
U3-PRACTICE-U3-W-01,W,The video is about ___.,audio/w_01.mp3,placeholder
U3-PRACTICE-U3-W-02,W,Toto follows number ___.,audio/w_02.mp3,placeholder
U3-PRACTICE-U3-W-03,W,What does Toto see first?,audio/w_03.mp3,placeholder
U3-PRACTICE-U3-W-04,W,How many flowers in the video line?,audio/w_04.mp3,placeholder
U3-PRACTICE-U3-W-05,W,Leo counts ___.,audio/w_05.mp3,placeholder
U3-PRACTICE-U3-W-06,W,Mia counts ___.,audio/w_06.mp3,placeholder
U3-PRACTICE-U3-W-07,W,Emma counts ___.,audio/w_07.mp3,placeholder
U3-PRACTICE-U3-W-08,W,Choose the number group from the video.,audio/w_08.mp3,placeholder
U3-PRACTICE-U3-W-09,W,Choose the next group from the video.,audio/w_09.mp3,placeholder
U3-PRACTICE-U3-W-10,W,Choose the final group from the video.,audio/w_10.mp3,placeholder
U3-PRACTICE-U3-W-11,W,How many pencils?,audio/w_11.mp3,placeholder
U3-PRACTICE-U3-W-12,W,"At the end, Toto is ___.",audio/w_12.mp3,placeholder
U3-PRACTICE-U3-P-01,P,What do you make?,audio/p_01.mp3,placeholder
U3-PRACTICE-U3-P-02,P,What must your card show?,audio/p_02.mp3,placeholder
U3-PRACTICE-U3-P-03,P,Choose a good first line.,audio/p_03.mp3,placeholder
U3-PRACTICE-U3-P-04,P,Choose the project question.,audio/p_04.mp3,placeholder
U3-PRACTICE-U3-P-05,P,Card: 3 stars. Choose the answer.,audio/p_05.mp3,placeholder
U3-PRACTICE-U3-P-06,P,Card: 5 balls. Choose the answer.,audio/p_06.mp3,placeholder
U3-PRACTICE-U3-P-07,P,Card: 2 flowers. Choose the answer.,audio/p_07.mp3,placeholder
U3-PRACTICE-U3-P-08,P,Project card: 4 balls. Choose the phrase.,audio/p_08.mp3,placeholder
U3-PRACTICE-U3-P-09,P,Project card: 1 star. Choose the phrase.,audio/p_09.mp3,placeholder
U3-PRACTICE-U3-P-10,P,Choose a good last line.,audio/p_10.mp3,placeholder
U3-PRACTICE-U3-P-11,P,Choose the good order.,audio/p_11.mp3,placeholder
U3-PRACTICE-U3-P-12,P,A good project has ___.,audio/p_12.mp3,placeholder
