id,section,type,prompt,options,correct_answer,feedback
AWV2-U005-L5-Q11,Lesson 5 Practice,choice,Listen: “I don’t like turtles.”,I like turtles. | I don’t like turtles. | It’s a turtle.,I don’t like turtles.,Correct.
AWV2-U005-L5-Q12,Lesson 5 Practice,choice,Choose a gentle choice sentence.,I don’t like frogs. | Frogs bad. | No frog bad.,I don’t like frogs.,Correct. Use kind English.
AWV2-U005-L6-Q01,Lesson 6 Practice,choice,"In the story, Toto sees a ___.",dog | pencil | book,dog,Correct.
AWV2-U005-L6-Q02,Lesson 6 Practice,choice,"In the story, Toto sees a ___.",cat | chair | bag,cat,Correct.
AWV2-U005-L6-Q03,Lesson 6 Practice,choice,"In the story, Toto sees a ___.",rabbit | desk | red,rabbit,Correct.
AWV2-U005-L6-Q04,Lesson 6 Practice,choice,"In the story, Toto sees a ___.",duck | hello | open,duck,Correct.
AWV2-U005-L6-Q05,Lesson 6 Practice,text,Put the trail in order: dog / cat / rabbit / duck,,dog → cat → rabbit → duck,Correct trail.
AWV2-U005-L6-Q06,Lesson 6 Practice,choice,True or False: Toto sees a dog.,True | False,True,Correct.
AWV2-U005-L6-Q07,Lesson 6 Practice,choice,True or False: Toto sees a fish in this story.,True | False,False,Correct. Fish is not in this story.
AWV2-U005-L6-Q08,Lesson 6 Practice,choice,Complete: Toto sees a ___.,rabbit | pencil | window,rabbit,Correct.
AWV2-U005-L6-Q09,Lesson 6 Practice,choice,Complete: Toto sees a ___.,duck | book | teacher,duck,Correct.
AWV2-U005-L6-Q10,Lesson 6 Practice,matching,Match story word to picture.,dog | cat | rabbit | duck,dog→dog; cat→cat; rabbit→rabbit; duck→duck,Good matching.
AWV2-U005-L6-Q11,Lesson 6 Practice,choice,What is the story about?,animal friends | colors only | numbers only,animal friends,Correct.
AWV2-U005-L6-Q12,Lesson 6 Practice,choice,Choose the story sentence.,Toto sees a cat. | Cat sees Toto a. | Toto cat sees a.,Toto sees a cat.,Correct sentence.
AWV2-U005-L7-Q01,Lesson 7 Practice,choice,Choose an animal word for a card.,dog | hello | listen,dog,Correct. Dog is an animal word.
AWV2-U005-L7-Q02,Lesson 7 Practice,choice,Choose an animal word for a card.,cat | open | goodbye,cat,Correct. Cat is an animal word.
AWV2-U005-L7-Q03,Lesson 7 Practice,choice,Complete: My animal: ___.,dog | look | close,dog,Correct.
AWV2-U005-L7-Q04,Lesson 7 Practice,choice,Complete: My animal: ___.,rabbit | hello | listen,rabbit,Correct.
AWV2-U005-L7-Q05,Lesson 7 Practice,choice,Choose the sentence for a dog card.,It’s a dog. | It’s a cat. | It’s a fish.,It’s a dog.,Correct.
AWV2-U005-L7-Q06,Lesson 7 Practice,choice,Choose the sentence for a rabbit card.,It’s a rabbit. | It’s a duck. | It’s a bird.,It’s a rabbit.,Correct.
AWV2-U005-L7-Q07,Lesson 7 Practice,choice,Choose the “like” sentence for a cat card.,I like cats. | I like dogs. | I like fish.,I like cats.,Correct.
AWV2-U005-L7-Q08,Lesson 7 Practice,choice,Choose the “like” sentence for a turtle card.,I like turtles. | I like birds. | I like cats.,I like turtles.,Correct.
AWV2-U005-L7-Q09,Lesson 7 Practice,text,Put in order: a / dog / It’s,,It’s a dog.,Correct.
AWV2-U005-L7-Q10,Lesson 7 Practice,text,Put in order: like / rabbits / I,,I like rabbits.,Correct.
AWV2-U005-L7-Q11,Lesson 7 Practice,matching,Match card to sentence.,It’s a fish. | It’s a duck. | It’s a turtle.,fish→It’s a fish.; duck→It’s a duck.; turtle→It’s a turtle.,Good matching.
AWV2-U005-L7-Q12,Lesson 7 Practice,choice,Choose the two project sentences.,It’s a dog. I like dogs. | Dog hello cat. | I’m bird dog.,It’s a dog. I like dogs.,Correct project model.
AWV2-U005-W-Q01,Watch Practice,choice,What is the video about?,animal friends | phone numbers | weather,animal friends,Correct.
AWV2-U005-W-Q02,Watch Practice,choice,Toto sees a ___.,dog | chair | book,dog,Correct.
AWV2-U005-W-Q03,Watch Practice,choice,Mia likes ___.,cats | turtles | frogs,cats,Correct.
AWV2-U005-W-Q04,Watch Practice,choice,Emma likes ___.,birds | ducks | fish,birds,Correct.
AWV2-U005-W-Q05,Watch Practice,choice,Leo likes ___.,dogs | frogs | turtles,dogs,Correct.
AWV2-U005-W-Q06,Watch Practice,choice,"Leo says, “I don’t like ___.”",frogs | cats | dogs,frogs,Correct.
AWV2-U005-W-Q07,Watch Practice,text,Put the video animals in order: dog / cat / bird / rabbit,,dog → cat → bird → rabbit,Correct sequence.
AWV2-U005-W-Q08,Watch Practice,choice,True or False: Toto sees a cat.,True | False,True,Correct.
AWV2-U005-W-Q09,Watch Practice,choice,"True or False: Emma says, “I like dogs.”",True | False,False,Correct. Emma likes birds.
AWV2-U005-W-Q10,Watch Practice,choice,Choose the animal word.,rabbit | hello | close,rabbit,Correct. Rabbit is an animal.
AWV2-U005-W-Q11,Watch Practice,choice,Choose the video sentence.,I like cats. | Cats like I. | I cats like.,I like cats.,Correct.
AWV2-U005-W-Q12,Watch Practice,choice,What can you choose for your card?,an animal | a phone number | a flag,an animal,Correct. Choose an animal.
AWV2-U005-P-Q01,Project Readiness Practice,choice,What do you choose first?,an animal | a phone number | a country,an animal,Correct. Choose an animal.
AWV2-U005-P-Q02,Project Readiness Practice,choice,Which word can go on the animal card?,dog | open | goodbye,dog,Correct.
AWV2-U005-P-Q03,Project Readiness Practice,choice,Which word can go on the animal card?,rabbit | listen | hello,rabbit,Correct.
AWV2-U005-P-Q04,Project Readiness Practice,text,Complete: My animal: ___.,,dog,Correct. Dog works.
AWV2-U005-P-Q05,Project Readiness Practice,choice,Choose a project sentence.,It’s a cat. | Cat a it’s. | It’s cat a.,It’s a cat.,Correct.
AWV2-U005-P-Q06,Project Readiness Practice,choice,Choose a project sentence.,I like birds. | Birds like I. | I birds like.,I like birds.,Correct.
AWV2-U005-P-Q07,Project Readiness Practice,text,Put in order: It’s / a / turtle,,It’s a turtle.,Correct.
AWV2-U005-P-Q08,Project Readiness Practice,text,Put in order: I / like / ducks,,I like ducks.,Correct.
AWV2-U005-P-Q09,Project Readiness Practice,matching,Match card to sentence.,I like dogs. | I like cats. | I like rabbits.,dog→I like dogs.; cat→I like cats.; rabbit→I like rabbits.,Good matching.
AWV2-U005-P-Q10,Project Readiness Practice,text,Fix: I like rabbit.,,I like rabbits.,Correct.
AWV2-U005-P-Q11,Project Readiness Practice,choice,Choose the best project speech.,It’s a fish. I like fish. | Fish hello dog. | I fish a.,It’s a fish. I like fish.,Correct project speech.
AWV2-U005-P-Q12,Project Readiness Practice,choice,What do you show at the end?,animal choice card | phone form | map,animal choice card,Correct.
