audio_key,text,category,voice,file
"Point, please.","Point, please.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-015-POINT-PLEASE.mp3"
"Teacher: Listen, please. Teacher: Look, please. Teacher: Point, please. Leo: I can point.","Teacher: Listen, please. Teacher: Look, please. Teacher: Point, please. Leo: I can point.","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-02.mp3"
"One more time.","One more time.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-016-ONE-MORE-TIME.mp3"
"Great!","Great!","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-017-GREAT.mp3"
"Mia: Hello. Emma: Hello. Leo: Say it again. Mia and Emma: Hello!","Mia: Hello. Emma: Hello. Leo: Say it again. Mia and Emma: Hello!","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-03.mp3"
"Stand up, please.","Stand up, please.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-018-STAND-UP-PLEASE.mp3"
"Teacher: Stand up, please. Children stand. Teacher: Sit down, please. Children sit.","Teacher: Stand up, please. Children stand. Teacher: Sit down, please. Children sit.","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-04.mp3"
"Open, please.","Open, please.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-019-OPEN-PLEASE.mp3"
"Teacher: Open your book, please. Leo opens his book. Teacher: Close your book, please. Emma closes her book.","Teacher: Open your book, please. Leo opens his book. Teacher: Close your book, please. Emma closes her book.","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-05.mp3"
"Read and write.","Read and write.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-020-READ-AND-WRITE.mp3"
"Write, please.","Write, please.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-021-WRITE-PLEASE.mp3"
"Teacher: Read, please. Emma reads a card. Teacher: Write, please. Leo writes a card.","Teacher: Read, please. Emma reads a card. Teacher: Write, please. Leo writes a card.","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-06.mp3"
"Choose four commands.","Choose four commands.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-022-CHOOSE-FOUR-COMMANDS.mp3"
"Say each command.","Say each command.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-023-SAY-EACH-COMMAND.mp3"
"Add please.","Add please.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-024-ADD-PLEASE.mp3"
"Act it out.","Act it out.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-025-ACT-IT-OUT.mp3"
"Leo: Listen, please. Mia: Stand up, please. Emma: Open your book, please. All: Classroom magic!","Leo: Listen, please. Mia: Stand up, please. Emma: Open your book, please. All: Classroom magic!","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-07.mp3"
"Teacher: Listen, please. Teacher: Look, please. Leo: Point, please. Mia: Stand up, please. Emma: Sit down, please. Teacher: Open your book, please. Teacher: Close your book, please. All: Classroom magic!","Teacher: Listen, please. Teacher: Look, please. Leo: Point, please. Mia: Stand up, please. Emma: Sit down, please. Teacher: Open your book, please. Teacher: Close your book, please. All: Classroom magic!","video_dialog","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-VIDEO-WATCH-AUDIO.mp3"
"Hello. I'm Mia. Listen, please. Look, please. Stand up, please. Open your book, please. Goodbye.","Hello. I'm Mia. Listen, please. Look, please. Stand up, please. Open your book, please. Goodbye.","final_project","en-US-AnaNeural","assets/audio/AEW2-U004-FINAL-PROJECT-01.mp3"
"U4-L1-P04::Listen.","Listen.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-001-U4-L1-P04.mp3"
"U4-L1-P05::Look.","Look.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-002-U4-L1-P05.mp3"
"U4-L1-P06::Say.","Say.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-003-U4-L1-P06.mp3"
"U4-L2-P04::Point.","Point.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-004-U4-L2-P04.mp3"
"U4-L2-P05::Listen.","Listen.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-005-U4-L2-P05.mp3"
"U4-L2-P06::Look.","Look.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-006-U4-L2-P06.mp3"
"U4-L3-P02::Say.","Say.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-007-U4-L3-P02.mp3"
"U4-L3-P03::Say it again.","Say it again.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-008-U4-L3-P03.mp3"
"U4-L3-P04::One more time.","One more time.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-009-U4-L3-P04.mp3"
"U4-L4-P03::Stand up.","Stand up.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-010-U4-L4-P03.mp3"
"U4-L4-P04::Sit down.","Sit down.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-011-U4-L4-P04.mp3"
"U4-L5-P03::Open your book.","Open your book.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-012-U4-L5-P03.mp3"
"U4-L5-P04::Close your book.","Close your book.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-013-U4-L5-P04.mp3"
"U4-L6-P03::Read.","Read.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-014-U4-L6-P03.mp3"
"U4-L6-P04::Write.","Write.","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-015-U4-L6-P04.mp3"
"U4-WATCH-P09::Classroom magic!","Classroom magic!","listening_practice_quiz","en-GB-MaisieNeural","assets/audio/AEW2-U004-LISTENING-016-U4-WATCH-P09.mp3"
