item_id,category,item,language,script_form,pronunciation,cefr_band,unit_introduced,active_receptive_review,domain,grammar_link,register,collocation_expression,review_units,checkpoint_tested,portfolio_required,repair_note
U011-REC-04,Receptive Words,card,English,card,placeholder audio,Pre-A1.2,11,receptive,classroom/project,,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,support with picture
U011-REC-05,Receptive Words,choose,English,choose,placeholder audio,Pre-A1.2,11,receptive,classroom/project,,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,support with picture
U011-REC-06,Receptive Words,look,English,look,placeholder audio,Pre-A1.2,11,receptive,classroom/project,,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,support with picture
U011-REV-01,Review Words,hello,English,hello,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-02,Review Words,I'm,English,I'm,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-03,Review Words,How many?,English,How many?,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-04,Review Words,Where is?,English,Where is?,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-05,Review Words,Touch your,English,Touch your,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-06,Review Words,"I want ..., please",English,"I want ..., please",placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
U011-REV-07,Review Words,This is my,English,This is my,placeholder audio,Pre-A1.2,11,review,spiral review,review from Units 1-10,neutral/friendly,,Unit 12 checkpoint,Unit 12,no,spiral review
