id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U009-L1-Q11,Adventure English World V2,9,Lesson 1,Snack Words,sentence_build,medium,Pre-A1.2,SP repeat snack word,It is a cookie.,Put the words in order: cookie / a / is / It,,,,,It is a cookie.,Correct. It is a cookie.,Try again. Start with It is.,AEW2-U009-Repair-SENT-01
AEW2-U009-L1-Q12,Adventure English World V2,9,Lesson 1,Snack Words,mcq,medium,Pre-A1.2,VOC snack words,bread,Which word is an extra snack picture word?,water,bread,juice,milk,bread,Correct. Bread is an extra snack picture word.,Try again. Choose the food word.,AEW2-U009-Repair-VOC-01
AEW2-U009-L2-Q01,Adventure English World V2,9,Lesson 2,I Want...,mcq,easy,Pre-A1.2,CHK I want ...,I want an apple.,Choose the model line.,I want an apple.,I see a toy.,Touch your head.,It is under the box.,I want an apple.,Correct. This is the I want chunk.,Try again. Start with I want.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q02,Adventure English World V2,9,Lesson 2,I Want...,mcq,easy,Pre-A1.2,CHK I want ...,I want a banana.,What can Leo say for a banana?,I want water.,I want a banana.,This is my family.,Open the book.,I want a banana.,Correct. I want a banana.,Try again. Use I want + snack.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q03,Adventure English World V2,9,Lesson 2,I Want...,mcq,easy,Pre-A1.2,CHK I want ...,I want an orange.,Choose the orange line.,I want a cookie.,I want milk.,I want an orange.,I want water.,I want an orange.,Correct. I want an orange.,Try again. Look for orange.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q04,Adventure English World V2,9,Lesson 2,I Want...,mcq,easy,Pre-A1.2,CHK I want ...,I want a sandwich.,Choose the sandwich line.,I want a sandwich.,I want an apple.,I want juice.,I want milk.,I want a sandwich.,Correct. I want a sandwich.,Try again. Look for sandwich.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q05,Adventure English World V2,9,Lesson 2,I Want...,gap_fill,easy,Pre-A1.2,CHK I want ...,want,Complete: I _____ a cookie.,,,,,want,Correct. I want a cookie.,Try again. The chunk is I want.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q06,Adventure English World V2,9,Lesson 2,I Want...,gap_fill,easy,Pre-A1.2,CHK I want ...,apple,Complete: I want an _____.,,,,,apple,Correct. I want an apple.,Try again. Use the red fruit word.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q07,Adventure English World V2,9,Lesson 2,I Want...,gap_fill,easy,Pre-A1.2,CHK I want ...,banana,Complete: I want a _____.,,,,,banana,Correct. I want a banana.,Try again. Use the yellow fruit word.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q08,Adventure English World V2,9,Lesson 2,I Want...,choose_best_reply,medium,Pre-A1.2,SI simple choice answer,I want a cookie.,Friend: What do you want? Choose the best answer.,I want a cookie.,"Hello, teacher.",It is purple.,Touch your ear.,I want a cookie.,Correct. This answers the choice question.,Try again. Answer with I want + snack.,AEW2-U009-Repair-SI-01
AEW2-U009-L2-Q09,Adventure English World V2,9,Lesson 2,I Want...,sentence_build,medium,Pre-A1.2,CHK I want ...,I want an apple.,Put the words in order: want / I / apple / an,,,,,I want an apple.,Correct. I want an apple.,Try again. Start with I want.,AEW2-U009-Repair-SENT-02
AEW2-U009-L2-Q10,Adventure English World V2,9,Lesson 2,I Want...,sentence_build,medium,Pre-A1.2,CHK I want ...,I want a sandwich.,Put the words in order: a / sandwich / want / I,,,,,I want a sandwich.,Correct. I want a sandwich.,Try again. Start with I want.,AEW2-U009-Repair-SENT-02
AEW2-U009-L2-Q11,Adventure English World V2,9,Lesson 2,I Want...,true_false,easy,Pre-A1.2,CHK I want ...,I want,The words I want show a choice.,True,False,,,True,Correct. I want shows a choice.,Try again. Look at the choice picture.,AEW2-U009-Repair-CHK-01
AEW2-U009-L2-Q12,Adventure English World V2,9,Lesson 2,I Want...,mcq,medium,Pre-A1.2,CHK I want ...,I want a cookie.,Which line is a snack choice?,I want a cookie.,Look and listen.,My name is Leo.,Where is the ball?,I want a cookie.,Correct. This is a snack choice.,Try again. Choose the line with I want.,AEW2-U009-Repair-CHK-01
AEW2-U009-L3-Q01,Adventure English World V2,9,Lesson 3,Please,mcq,easy,Pre-A1.2,REG polite asking,please,Which word makes the snack line polite?,apple,please,banana,cookie,please,Correct. Please makes the line polite.,Try again. Look for the polite word.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q02,Adventure English World V2,9,Lesson 3,Please,mcq,easy,Pre-A1.2,"CHK I want ..., please.","I want an apple, please.",Choose the polite line.,I want an apple.,"I want an apple, please.",Apple.,Look.,"I want an apple, please.",Correct. This line uses please.,Try again. The polite line ends with please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q03,Adventure English World V2,9,Lesson 3,Please,mcq,easy,Pre-A1.2,"CHK I want ..., please.","I want a banana, please.",What can Mia say politely?,"I want a banana, please.",I want a banana.,Banana!,I am Mia.,"I want a banana, please.",Correct. This is polite.,Try again. Add please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q04,Adventure English World V2,9,Lesson 3,Please,gap_fill,easy,Pre-A1.2,REG polite asking,please,"Complete: I want a cookie, _____.",,,,,please,"Correct. I want a cookie, please.",Try again. Add the polite word.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q05,Adventure English World V2,9,Lesson 3,Please,gap_fill,easy,Pre-A1.2,REG polite asking,Thank you.,Complete the reply: Here you are. / _____.,,,,,Thank you.,Correct. Thank you is a polite reply.,Try again. Use the polite reply.,AEW2-U009-Repair-POLITE-02
AEW2-U009-L3-Q06,Adventure English World V2,9,Lesson 3,Please,choose_best_reply,medium,Pre-A1.2,SI helper exchange,Here you are.,"Learner: I want an orange, please. Helper: ____",Here you are.,I want a book.,Touch your nose.,No name.,Here you are.,Correct. The helper says Here you are.,Try again. Choose the helper reply.,AEW2-U009-Repair-SI-02
AEW2-U009-L3-Q07,Adventure English World V2,9,Lesson 3,Please,choose_best_reply,medium,Pre-A1.2,SI polite reply,Thank you.,Helper: Here you are. Learner: ____,Thank you.,I want desk.,"Goodbye, ball.",It is under.,Thank you.,Correct. Thank you is the polite reply.,Try again. Choose the polite reply.,AEW2-U009-Repair-SI-02
AEW2-U009-L3-Q08,Adventure English World V2,9,Lesson 3,Please,sentence_build,medium,Pre-A1.2,"CHK I want ..., please.","I want a sandwich, please.",Put the words in order: I / a sandwich / want / please,,,,,"I want a sandwich, please.","Correct. I want a sandwich, please.",Try again. Start with I want and end with please.,AEW2-U009-Repair-SENT-03
AEW2-U009-L3-Q09,Adventure English World V2,9,Lesson 3,Please,true_false,easy,Pre-A1.2,REG polite asking,please,The word please can come at the end of the snack line.,True,False,,,True,Correct. It can come at the end.,Try again. Look at the model line.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q10,Adventure English World V2,9,Lesson 3,Please,mcq,medium,Pre-A1.2,REG polite asking,"I want juice, please.",Which line is polite?,"I want juice, please.",Juice!,I want juice.,Drink.,"I want juice, please.",Correct. It uses please.,Try again. Choose the line with please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L3-Q11,Adventure English World V2,9,Lesson 3,Please,matching,medium,Pre-A1.2,SI polite exchange,Hello; Here you are.; Thank you.,Match the role-play parts.,Hello.=start; Here you are.=helper gives; Thank you.=polite reply,,,,Hello.=start; Here you are.=helper gives; Thank you.=polite reply,Correct. The role-play parts match.,Try again. Follow the dialogue order.,AEW2-U009-Repair-SI-02
AEW2-U009-L3-Q12,Adventure English World V2,9,Lesson 3,Please,mcq,medium,Pre-A1.2,REG polite asking,please,"What is missing? I want an apple, _____.",please,banana,water,Toto,please,Correct. Please is missing.,Try again. The missing word is the polite word.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L4-Q01,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,mcq,easy,Pre-A1.2,GRM a/an fixed chunks,an apple,Choose the fixed chunk.,a apple,an apple,apple an,apple a,an apple,Correct. The fixed chunk is an apple.,Try again. Copy the model chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q02,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,mcq,easy,Pre-A1.2,GRM a/an fixed chunks,a banana,Choose the fixed chunk.,a banana,an banana,banana a,banana an,a banana,Correct. The fixed chunk is a banana.,Try again. Copy the model chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q03,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,mcq,easy,Pre-A1.2,GRM a/an fixed chunks,an orange,Choose the fixed chunk.,a orange,orange an,an orange,orange a,an orange,Correct. The fixed chunk is an orange.,Try again. Copy the model chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q04,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,mcq,easy,Pre-A1.2,GRM a/an fixed chunks,a sandwich,Choose the fixed chunk.,an sandwich,sandwich a,a sandwich,sandwich an,a sandwich,Correct. The fixed chunk is a sandwich.,Try again. Copy the model chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q05,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,mcq,easy,Pre-A1.2,GRM a/an fixed chunks,a cookie,Choose the fixed chunk.,an cookie,a cookie,cookie an,cookie a,a cookie,Correct. The fixed chunk is a cookie.,Try again. Copy the model chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q06,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,matching,medium,Pre-A1.2,GRM a/an fixed chunks,a banana; an apple; an orange,Match the chunk to the snack.,banana=a banana; apple=an apple; orange=an orange,,,,banana=a banana; apple=an apple; orange=an orange,Correct. The chunks match.,Try again. Use the repair picture.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q07,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,gap_fill,easy,Pre-A1.2,GRM a/an fixed chunks,an,"Complete: I want ___ apple, please.",,,,,an,"Correct. I want an apple, please.",Try again. Copy the apple chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q08,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,gap_fill,easy,Pre-A1.2,GRM a/an fixed chunks,a,"Complete: I want ___ banana, please.",,,,,a,"Correct. I want a banana, please.",Try again. Copy the banana chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q09,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,gap_fill,easy,Pre-A1.2,GRM a/an fixed chunks,an,"Complete: I want ___ orange, please.",,,,,an,"Correct. I want an orange, please.",Try again. Copy the orange chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L4-Q10,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,sentence_build,medium,Pre-A1.2,GRM a/an fixed chunks,"I want an apple, please.",Build the line: I / want / an apple / please,,,,,"I want an apple, please.","Correct. I want an apple, please.",Try again. Keep an apple together.,AEW2-U009-Repair-SENT-04
AEW2-U009-L4-Q11,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,sentence_build,medium,Pre-A1.2,GRM a/an fixed chunks,"I want a cookie, please.",Build the line: a cookie / please / I / want,,,,,"I want a cookie, please.","Correct. I want a cookie, please.",Try again. Keep a cookie together.,AEW2-U009-Repair-SENT-04
AEW2-U009-L4-Q12,Adventure English World V2,9,Lesson 4,A / An Snack Chunks,error_correction,medium,Pre-A1.2,GRM a/an fixed chunks,"I want an orange, please.","Fix the line: I want a orange, please.",,,,,"I want an orange, please.",Correct. Use an orange.,Try again. Copy the orange chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L5-Q01,Adventure English World V2,9,Lesson 5,Drinks,mcq,easy,Pre-A1.2,VOC drink words,water,Choose the drink word: water.,cookie,water,sandwich,banana,water,Correct. Water is a drink.,Try again. Choose the drink word.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q02,Adventure English World V2,9,Lesson 5,Drinks,mcq,easy,Pre-A1.2,VOC drink words,milk,Choose the drink word: milk.,milk,orange,apple,cookie,milk,Correct. Milk is a drink.,Try again. Choose the drink word.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q03,Adventure English World V2,9,Lesson 5,Drinks,mcq,easy,Pre-A1.2,VOC drink words,juice,Choose the drink word: juice.,sandwich,banana,juice,apple,juice,Correct. Juice is a drink.,Try again. Choose the drink word.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q04,Adventure English World V2,9,Lesson 5,Drinks,true_false,easy,Pre-A1.2,VOC snack/drink difference,water,Water is a snack.,True,False,,,False,Correct. Water is a drink.,Try again. Water is a drink.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q05,Adventure English World V2,9,Lesson 5,Drinks,true_false,easy,Pre-A1.2,VOC snack/drink difference,cookie,A cookie is a drink.,True,False,,,False,Correct. A cookie is a snack.,Try again. A cookie is food.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q06,Adventure English World V2,9,Lesson 5,Drinks,matching,easy,Pre-A1.2,VOC drink words,water; milk; juice,Match the drink words.,water=clear drink; milk=white drink; juice=fruit drink,,,,water=clear drink; milk=white drink; juice=fruit drink,Correct. The drink words match.,Try again. Look at the drinks picture.,AEW2-U009-Repair-DRINK-01
AEW2-U009-L5-Q07,Adventure English World V2,9,Lesson 5,Drinks,gap_fill,easy,Pre-A1.2,CHK I want drink please,juice,"Complete: I want _____, please.",,,,,juice,"Correct. I want juice, please.",Try again. Use a drink word.,AEW2-U009-Repair-DRINK-02
AEW2-U009-L5-Q08,Adventure English World V2,9,Lesson 5,Drinks,gap_fill,easy,Pre-A1.2,CHK I want drink please,water,"Complete: I want _____, please.",,,,,water,"Correct. I want water, please.",Try again. Use a drink word.,AEW2-U009-Repair-DRINK-02
AEW2-U009-L5-Q09,Adventure English World V2,9,Lesson 5,Drinks,gap_fill,easy,Pre-A1.2,CHK I want drink please,milk,"Complete: I want _____, please.",,,,,milk,"Correct. I want milk, please.",Try again. Use a drink word.,AEW2-U009-Repair-DRINK-02
AEW2-U009-L5-Q10,Adventure English World V2,9,Lesson 5,Drinks,choose_best_reply,medium,Pre-A1.2,SI simple drink choice,"I want water, please.",Friend: What drink do you want?,"I want water, please.","I want an apple, please.",Touch your hand.,It is on the table.,"I want water, please.",Correct. This answers with a drink.,Try again. Choose the drink answer.,AEW2-U009-Repair-DRINK-02
AEW2-U009-L5-Q11,Adventure English World V2,9,Lesson 5,Drinks,sentence_build,medium,Pre-A1.2,CHK I want drink please,"I want juice, please.",Put the words in order: juice / want / I / please,,,,,"I want juice, please.","Correct. I want juice, please.",Try again. Start with I want.,AEW2-U009-Repair-SENT-05
AEW2-U009-L5-Q12,Adventure English World V2,9,Lesson 5,Drinks,mcq,medium,Pre-A1.2,VOC snack + drink,sandwich and milk,Choose one snack + one drink.,sandwich and milk,water and juice,milk and juice,apple and cookie,sandwich and milk,Correct. Sandwich is a snack and milk is a drink.,Try again. Choose one food word and one drink word.,AEW2-U009-Repair-MIX-01
AEW2-U009-L6-Q01,Adventure English World V2,9,Lesson 6,Snack Order Role-play,sequence,medium,Pre-A1.2,SI role-play order,"Hello. | I want an apple and water, please. | Here you are. | Thank you.",Put the role-play in order.,,,,,"Hello. | I want an apple and water, please. | Here you are. | Thank you.",Correct. This is the role-play order.,Try again. Start with Hello and end with Thank you.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L6-Q02,Adventure English World V2,9,Lesson 6,Snack Order Role-play,choose_best_reply,easy,Pre-A1.2,SI role-play greeting,Hello.,What is a good first line?,Hello.,Thank you.,Here you are.,Cookie.,Hello.,Correct. Hello starts the role-play.,Try again. Start with a greeting.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L6-Q03,Adventure English World V2,9,Lesson 6,Snack Order Role-play,choose_best_reply,medium,Pre-A1.2,SI snack order,"I want a sandwich and juice, please.",Choose a full snack order line.,"I want a sandwich and juice, please.",I am a sandwich.,Here you are.,Touch your nose.,"I want a sandwich and juice, please.",Correct. This is a full snack order line.,Try again. Use I want + snack + drink + please.,AEW2-U009-Repair-ROLE-02
AEW2-U009-L6-Q04,Adventure English World V2,9,Lesson 6,Snack Order Role-play,mcq,medium,Pre-A1.2,VOC snack + drink,an apple and water,Which choice has one snack and one drink?,an apple and water,water and milk,a cookie and a sandwich,juice and milk,an apple and water,Correct. Apple is a snack and water is a drink.,Try again. Choose one food word and one drink word.,AEW2-U009-Repair-MIX-01
AEW2-U009-L6-Q05,Adventure English World V2,9,Lesson 6,Snack Order Role-play,gap_fill,easy,Pre-A1.2,SI helper reply,Here you are.,Complete the helper line: _____.,,,,,Here you are.,Correct. The helper says Here you are.,Try again. Use the helper line.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L6-Q06,Adventure English World V2,9,Lesson 6,Snack Order Role-play,gap_fill,easy,Pre-A1.2,SI polite reply,Thank you.,Complete the learner reply: _____.,,,,,Thank you.,Correct. Thank you is polite.,Try again. Use the polite reply.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L6-Q07,Adventure English World V2,9,Lesson 6,Snack Order Role-play,sentence_build,medium,Pre-A1.2,SI snack order,"I want an orange and milk, please.",Build the order: I / want / an orange / and / milk / please,,,,,"I want an orange and milk, please.","Correct. I want an orange and milk, please.",Try again. Keep the snack and drink words.,AEW2-U009-Repair-SENT-06
AEW2-U009-L6-Q08,Adventure English World V2,9,Lesson 6,Snack Order Role-play,error_correction,medium,Pre-A1.2,REG polite asking,"I want a banana and juice, please.",Fix the line: I want a banana and juice.,,,,,"I want a banana and juice, please.",Correct. The polite word is included.,Try again. Add please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L6-Q09,Adventure English World V2,9,Lesson 6,Snack Order Role-play,error_correction,medium,Pre-A1.2,GRM a/an fixed chunks,"I want an apple and water, please.","Fix the line: I want a apple and water, please.",,,,,"I want an apple and water, please.",Correct. Use an apple.,Try again. Copy the apple chunk.,AEW2-U009-Repair-AAN-01
AEW2-U009-L6-Q10,Adventure English World V2,9,Lesson 6,Snack Order Role-play,matching,medium,Pre-A1.2,SI role-play lines,helper; learner,Match the speaker to the line.,"helper=Here you are.; learner=I want a cookie and milk, please.",,,,"helper=Here you are.; learner=I want a cookie and milk, please.",Correct. The helper and learner lines match.,Try again. Look at the role-play model.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L6-Q11,Adventure English World V2,9,Lesson 6,Snack Order Role-play,mcq,medium,Pre-A1.2,SI role-play line,"I want a cookie and milk, please.",Which line is ready for role-play?,"I want a cookie and milk, please.",Cookie milk please want.,Here you are.,A cookie is purple.,"I want a cookie and milk, please.",Correct. This line is ready.,Try again. Choose the complete I want line.,AEW2-U009-Repair-ROLE-02
AEW2-U009-L6-Q12,Adventure English World V2,9,Lesson 6,Snack Order Role-play,true_false,easy,Pre-A1.2,SI role-play order,Thank you can be the last line.,Thank you can be the last line.,True,False,,,True,Correct. Thank you can be the last line.,Try again. Look at the role-play order.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L7-Q01,Adventure English World V2,9,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ choose snack,apple,Choose one snack for a snack order card.,apple,water,milk,juice,apple,Correct. Apple is a snack.,Try again. Choose a food word.,AEW2-U009-Repair-PROJ-01
AEW2-U009-L7-Q02,Adventure English World V2,9,Lesson 7,Project Rehearsal,mcq,easy,Pre-A1.2,PRJ choose drink,juice,Choose one drink for a snack order card.,sandwich,cookie,banana,juice,juice,Correct. Juice is a drink.,Try again. Choose a drink word.,AEW2-U009-Repair-PROJ-01
AEW2-U009-L7-Q03,Adventure English World V2,9,Lesson 7,Project Rehearsal,mcq,medium,Pre-A1.2,PRJ snack + drink,a banana and milk,Choose a good project choice.,a banana and milk,water and milk,a cookie and an apple,juice and water,a banana and milk,Correct. This has one snack and one drink.,Try again. Choose one snack and one drink.,AEW2-U009-Repair-PROJ-01
AEW2-U009-L7-Q04,Adventure English World V2,9,Lesson 7,Project Rehearsal,gap_fill,easy,Pre-A1.2,PRJ project line,please,"Complete: I want an apple and water, _____.",,,,,please,Correct. Please makes the project line polite.,Try again. Add please.,AEW2-U009-Repair-POLITE-01
AEW2-U009-L7-Q05,Adventure English World V2,9,Lesson 7,Project Rehearsal,sentence_build,medium,Pre-A1.2,PRJ project line,"I want a sandwich and juice, please.",Build the project line: I / want / a sandwich / and / juice / please,,,,,"I want a sandwich and juice, please.",Correct. This project line is ready.,Try again. Use I want + snack + drink + please.,AEW2-U009-Repair-PROJ-02
AEW2-U009-L7-Q06,Adventure English World V2,9,Lesson 7,Project Rehearsal,mcq,medium,Pre-A1.2,PRJ self-check,"snack, drink, please",Check three things. What are they?,"name, color, number","snack, drink, please","toy, box, under","head, hand, foot","snack, drink, please","Correct. Check snack, drink, and please.",Try again. Look at the project model.,AEW2-U009-Repair-PROJ-03
AEW2-U009-L7-Q07,Adventure English World V2,9,Lesson 7,Project Rehearsal,true_false,easy,Pre-A1.2,PRJ portfolio evidence,card and voice,The project needs a snack card and a short voice line.,True,False,,,True,Correct. The card and voice line are portfolio evidence.,Try again. Look at the project steps.,AEW2-U009-Repair-PROJ-03
AEW2-U009-L7-Q08,Adventure English World V2,9,Lesson 7,Project Rehearsal,choose_best_reply,medium,Pre-A1.2,PRJ role-play line,"I want an orange and water, please.",Helper: Hello. Learner: ____,"I want an orange and water, please.",Here you are.,Thank you.,Look and point.,"I want an orange and water, please.",Correct. This is the learner order line.,Try again. Choose the I want line.,AEW2-U009-Repair-PROJ-02
AEW2-U009-L7-Q09,Adventure English World V2,9,Lesson 7,Project Rehearsal,choose_best_reply,medium,Pre-A1.2,PRJ helper line,Here you are.,"Learner: I want a cookie and milk, please. Helper: ____",Thank you.,Here you are.,I want water.,It is green.,Here you are.,Correct. The helper says Here you are.,Try again. Choose the helper reply.,AEW2-U009-Repair-ROLE-01
AEW2-U009-L7-Q10,Adventure English World V2,9,Lesson 7,Project Rehearsal,error_correction,medium,Pre-A1.2,PRJ project line,"I want a banana and juice, please.",Fix the project line: I want banana and juice please.,,,,,"I want a banana and juice, please.",Correct. The chunk and polite word are fixed.,Try again. Use a banana and please.,AEW2-U009-Repair-PROJ-02
AEW2-U009-L7-Q11,Adventure English World V2,9,Lesson 7,Project Rehearsal,matching,medium,Pre-A1.2,PRJ card parts,snack; drink; line,Match the card part.,"snack=a sandwich; drink=milk; line=I want a sandwich and milk, please.",,,,"snack=a sandwich; drink=milk; line=I want a sandwich and milk, please.",Correct. The card parts match.,Try again. Use the model card.,AEW2-U009-Repair-PROJ-03
AEW2-U009-L7-Q12,Adventure English World V2,9,Lesson 7,Project Rehearsal,mcq,medium,Pre-A1.2,STR confidence check,I can ask politely.,Choose the progress line for this unit.,I can ask politely.,I can tell a long story.,I can compare camps.,I can give directions.,I can ask politely.,Correct. This is the Unit 9 progress line.,Try again. Unit 9 is about polite snack asking.,AEW2-U009-Repair-PROJ-03
AEW2-U009-W-Q01,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,easy,Pre-A1.2,LST main idea,The team chooses snacks politely.,What is the video mainly about?,The team chooses snacks politely.,The team plays with toys.,The team counts to twenty.,The team talks about weather.,The team chooses snacks politely.,Correct. The video is about polite snack choices.,Try again. Watch the snack table scenes.,AEW2-U009-Repair-WATCH-01
AEW2-U009-W-Q02,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,easy,Pre-A1.2,LST detail,Leo,Who wants an apple?,Leo,Mia,Emma,Toto,Leo,Correct. Leo wants an apple.,Try again. Watch the apple line.,AEW2-U009-Repair-WATCH-01
AEW2-U009-W-Q03,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,easy,Pre-A1.2,LST detail,juice,What drink does Mia want?,water,milk,juice,banana,juice,Correct. Mia wants juice.,Try again. Watch Mia and the drink.,AEW2-U009-Repair-WATCH-01
AEW2-U009-W-Q04,Adventure English World V2,9,Watch,Toto and the Snack Card,mcq,easy,Pre-A1.2,LST detail,sandwich,What snack does Emma want?,sandwich,apple,orange,cookie,sandwich,Correct. Emma wants a sandwich.,Try again. Watch Emma and the card.,AEW2-U009-Repair-WATCH-01
AEW2-U009-W-Q05,Adventure English World V2,9,Watch,Toto and the Snack Card,sequence,medium,Pre-A1.2,LST sequence,Leo apple | Mia juice | Emma sandwich | Thank you,Put the video choices in order.,,,,,Leo apple | Mia juice | Emma sandwich | Thank you,Correct. This is the video order.,Try again. Watch again from the start.,AEW2-U009-Repair-WATCH-02
AEW2-U009-W-Q06,Adventure English World V2,9,Watch,Toto and the Snack Card,true_false,easy,Pre-A1.2,LST detail,Toto,Toto sits by the table.,True,False,,,True,Correct. Toto sits by the table.,Try again. Watch the Toto scene.,AEW2-U009-Repair-WATCH-01
